file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,variances,,,,,,,,covariances,,,,,custom_variables,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,n2o_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,n2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_irga75_mean,status_code_irga75_mean,ga_diag_code_irga75_mean,agc_mean,fast_t_mean,air_p_mean,cooler_v_mean,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean,ch4_mean,cell_t_mean,int_p_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CH-CHA_202001010100.csv,2020-01-01,01:30,1.0624,0,36000,36000,-0.353808E-01,1,0.612120E-02,6.75480,1,0.765108,3.78225,1,0.456228,2.97184,1,0.402115,0.848556E-01,1,0.102356E-01,-0.142039E-02,1,0.793061E-03,0.326365E-03,1,0.601021E-04,-9999,-9999,-9999,-9999,-9999,-9999,0.138124E-09,0.211815E-11,0.607924E-12,0.896617E-13,20.3796,500.230,504.097,-0.200000,0,312.526,7.67113,7.73043,-0.150000,0,0.896969E-01,2.20166,2.21868,1.35000,0,0.132293E-01,0.324720,0.327230,1.85000,0,285.074,284.382,96559.5,1.17949,1009.49,0.245456E-01,0.549864E-02,0.563171E-02,739.115,1328.92,0.477470E-02,55.6177,589.805,275.800,0.167450,0.349373,0.118922E-01,0.387611,0.123993E-12,0.677754E-14,0.387611,1.81047,122.680,64.3923,1.75816,-9999,0.173195,0.233337,-65.4021,-0.307329E-01,1.78592,-0.327551E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.346030E-01,1.02248,6.77557,1.02592,2.94853,1.17869,2.14046,1.17869,0.661509E-01,1.17869,-0.119341E-02,1.19020,0.274210E-03,1.19020,800000000,800000000,800000000,800000000,800010000,800010000,810110111,811110111,80001,80001,80,81,1,0,0,28,17,7,0,0,0.348279,0.105248,0.131472E-01,0.101981E-01,0.322312E-02,2.63339,0.895392E-05,0.145302E-06,0.569048E-02,0.214046E-02,0.661509E-01,-0.295188E-04,0.678255E-05,16.0000,0.00000,247.000,43.7500,2.56778,98693.9,1.18306,22.0000,96.5056,0.505639,13.2647,293.869,3603.82
CH-CHA_202001010100.csv,2020-01-01,02:00,1.0833,0,36000,36000,-0.355789E-01,1,0.627129E-02,3.82166,1,0.799574,3.27332,1,0.639882,4.57198,1,1.13689,0.734423E-01,1,0.143568E-01,0.178325E-02,1,0.488199E-03,-0.177771E-03,2,0.569264E-04,0.105156,-0.615822E-01,-0.931838E-01,-0.138170E-02,-0.142081E-03,-0.438333E-05,-0.666172E-09,-0.102170E-10,-0.293857E-11,-0.433809E-12,20.3057,498.528,502.369,0.500000E-01,0,311.428,7.64589,7.70480,0.450000,0,0.895711E-01,2.19907,2.21601,-0.450000,0,0.132230E-01,0.324640,0.327141,-0.900000,0,285.138,284.448,96559.5,1.17923,1009.48,0.245511E-01,0.475906E-02,0.561193E-02,736.689,1334.75,0.475899E-02,55.1932,598.058,275.753,-0.239239,-0.874241E-01,0.567781E-01,0.260964,-0.164384E-12,-0.328071E-13,0.260964,1.98824,359.330,200.074,12.5664,-9999,0.173699,0.226296,-116.609,-0.172370E-01,1.16752,-0.184825E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.345500E-01,1.02978,3.87179,1.03074,2.60680,1.18601,3.63089,1.18601,0.584878E-01,1.18601,0.148923E-02,1.19743,-0.148460E-03,1.19743,800000000,800000000,800000000,800000000,800000000,800110010,811110111,811110111,80000,80001,80,81,7,0,1,14,0,3,0,0,0.180720,0.254700,0.171723E-01,0.755057E-02,0.109756E-01,2.68570,0.299247E-05,0.172740E-06,0.325250E-02,0.363089E-02,0.584878E-01,0.368432E-04,-0.367287E-05,16.0000,0.00000,247.000,43.7500,2.66504,98624.3,1.18331,22.0000,96.5076,0.507556,13.2644,293.867,3603.43
CH-CHA_202001010100.csv,2020-01-01,02:30,1.1041,0,36000,36000,-0.109915E-01,0,0.224715E-02,1.41201,0,0.290323,1.20381,0,0.302950,0.701090,0,0.296568,0.270149E-01,0,0.679853E-02,-0.540989E-03,1,0.315285E-03,0.315453E-03,0,0.594856E-04,0.326462,-0.108460,-0.211934E-01,-0.243395E-02,0.737306E-04,-0.141328E-04,0.395089E-10,0.602889E-12,0.174521E-12,0.257276E-13,20.2756,498.141,501.956,-0.200000,0,309.398,7.60142,7.65964,-0.150000,0,0.895627E-01,2.20042,2.21727,2.95000,0,0.132032E-01,0.324381,0.326866,1.65000,0,285.340,284.653,96559.5,1.17840,1009.46,0.245684E-01,0.175056E-02,0.557535E-02,732.414,1352.99,0.473129E-02,54.1328,620.581,275.672,-0.285773,0.709971,0.162617E-01,0.765500,-0.137501E-12,0.194859E-14,0.765500,2.26877,74.2989,111.925,1.21724,-9999,0.965791E-01,0.126187,-54.2506,-0.370503E-01,1.17294,-0.122906E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.108326E-01,1.01467,1.44398,1.02108,0.970219,1.17210,0.514558,1.17210,0.217727E-01,1.17210,-0.456612E-03,1.18479,0.266252E-03,1.18479,800000000,800010000,800000000,800000000,800000000,800000000,810110111,811110111,80001,80011,80,81,0,0,0,9,12,5,0,0,0.963651E-01,0.141941,0.140690E-01,0.509379E-02,0.755272E-02,4.40703,0.314549E-05,0.175017E-06,0.121389E-02,0.514558E-03,0.217727E-01,-0.113040E-04,0.659140E-05,16.0000,0.00000,247.000,43.7500,2.53662,98620.9,1.18127,22.0000,96.5061,0.506056,13.2641,293.856,3606.07
CH-CHA_202001010100.csv,2020-01-01,03:00,1.1249,0,36000,36000,-0.171978E-01,1,0.495723E-02,3.67398,1,0.656616,5.35238,1,0.947473,-0.621328,2,0.938944,0.120113,1,0.212623E-01,-0.170066E-01,1,0.136302E-01,0.388438E-03,1,0.717950E-04,0.191271E-02,0.285876E-01,0.204324,0.641538E-03,0.919196E-03,0.655298E-05,0.221730E-09,0.336352E-11,0.979574E-12,0.143366E-12,20.4275,501.874,505.725,10.0000,0,309.873,7.61314,7.67154,0.200000,0,0.902457E-01,2.21721,2.23422,8.70000,0,0.132080E-01,0.324501,0.326991,1.60000,0,285.342,284.654,96559.5,1.17839,1009.46,0.245686E-01,0.778334E-02,0.558390E-02,733.541,1353.10,0.473859E-02,54.2118,619.561,275.693,-0.699121,0.605845E-01,0.438658E-01,0.703111,0.728128E-13,0.108545E-13,0.703111,2.62147,30.8571,175.047,3.57690,-9999,0.120807,0.378501,-40.8066,-0.492567E-01,0.686421,-0.255662E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.169372E-01,1.01538,3.86760,1.02148,4.40236,1.17253,-0.770230,1.17253,0.987937E-01,1.17253,-0.143519E-01,1.18497,0.327805E-03,1.18497,800000000,800000000,800000000,800000000,800000010,800101010,801110111,811110111,80001,80011,80,81,0,0,0,25,19,19,0,0,0.330137,0.408756,0.181098E-01,0.656649E-02,0.146228E-01,8.50949,0.185577E-02,0.155799E-06,0.325134E-02,-0.770230E-03,0.987937E-01,-0.355306E-03,0.811537E-05,16.0000,0.00000,247.020,43.8750,2.48134,98600.8,1.18078,22.0000,96.5040,0.503972,13.2643,293.858,3606.43
CH-CHA_202001010100.csv,2020-01-01,03:30,1.1458,0,36000,36000,-0.190080E-01,0,0.355028E-02,6.12110,0,0.668965,4.52442,0,0.611002,1.74211,0,0.229539,0.101519,0,0.137097E-01,0.123980E-01,1,0.136463E-01,0.473005E-03,0,0.633713E-04,-0.223425,-0.253385,0.901667E-01,-0.568547E-02,0.129481E-02,0.159055E-04,-0.154189E-09,-0.229950E-11,-0.686198E-12,-0.994579E-13,20.5053,503.521,507.331,0.200000,0,305.807,7.50930,7.56611,0.200000,0,0.912563E-01,2.24086,2.25782,2.90000,0,0.132267E-01,0.324792,0.327249,2.35000,0,285.192,284.514,96559.5,1.17902,1009.40,0.245557E-01,0.657845E-02,0.551063E-02,723.560,1340.60,0.467393E-02,53.9728,617.041,275.501,-1.31293,-0.374466,0.864046E-01,1.36802,0.788907E-14,-0.751947E-14,1.36802,2.82344,352.726,195.919,3.62124,-9999,0.126972,0.206174,-28.4368,-0.706832E-01,1.35290,-0.405076E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.187936E-01,1.01141,6.23131,1.01991,3.61912,1.17270,1.12596,1.17270,0.812061E-01,1.17270,0.104312E-01,1.18855,0.397967E-03,1.18855,800000000,800000000,800000000,800000000,800000000,800000010,800110111,800110111,80001,80001,80,80,0,1,1,3,3,3,0,0,0.222145,0.166100,0.241034E-01,0.858025E-02,0.216190E-02,7.68142,0.276999E-02,0.155731E-06,0.523594E-02,0.112596E-02,0.812061E-01,0.258079E-03,0.984615E-05,16.0000,0.00000,247.000,43.7500,2.08200,98600.6,1.17774,22.0000,96.5032,0.503222,13.2639,293.854,3606.62
CH-CHA_202001010100.csv,2020-01-01,04:00,1.1666,0,36000,36000,-0.193689E-01,1,0.243390E-02,5.28148,1,0.499203,4.21612,1,0.305844,1.81313,1,0.207248,0.945739E-01,1,0.686055E-02,0.118119E-01,1,0.885749E-02,0.359552E-03,1,0.540825E-04,-0.488217,-0.197140,-0.917195E-01,-0.442215E-02,-0.136319E-02,-0.172889E-04,-0.215099E-09,-0.318400E-11,-0.949803E-12,-0.139075E-12,20.4597,501.848,505.604,0.300000,0,302.855,7.42862,7.48421,0.350000,0,0.903429E-01,2.21599,2.23258,1.35000,0,0.132284E-01,0.324476,0.326905,1.25000,0,284.878,284.208,96559.5,1.18032,1009.35,0.245287E-01,0.612839E-02,0.545744E-02,715.804,1313.66,0.462369E-02,54.4894,597.854,275.350,-0.835746,-1.46536,0.682058E-01,1.68832,0.161424E-12,-0.105133E-13,1.68832,3.08506,305.293,240.302,2.31531,-9999,0.128101,0.275894,-33.8436,-0.593909E-01,1.25269,-0.346066E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.191607E-01,1.01087,5.38994,1.02024,3.38269,1.17488,1.23130,1.17488,0.758788E-01,1.17488,0.990343E-02,1.19271,0.301459E-03,1.19271,800000000,800000000,800000000,800000000,800000000,800000010,800010111,801110111,80011,80111,80,81,1,1,1,9,10,6,0,0,0.195186,0.337290,0.193125E-01,0.942466E-02,0.256470E-02,4.54582,0.172657E-02,0.161650E-06,0.452418E-02,0.123130E-02,0.758788E-01,0.244732E-03,0.744962E-05,16.0000,0.00000,247.000,43.7500,1.72327,98600.2,1.17369,22.0000,96.5018,0.501750,13.2629,293.831,3607.34
CH-CHA_202001010100.csv,2020-01-01,04:30,1.1874,0,36000,36000,-0.190288E-01,1,0.195727E-02,6.02919,1,0.489986,3.24679,1,0.233956,1.55100,1,0.110939,0.728279E-01,1,0.524781E-02,0.488683E-02,1,0.104568E-02,0.279067E-03,1,0.285551E-04,-0.543172E-01,0.103226E-01,-0.296514E-01,0.231544E-03,-0.622006E-03,-0.156502E-04,-0.145113E-09,-0.215157E-11,-0.638176E-12,-0.938430E-13,20.4400,501.307,505.061,0.450000,0,303.063,7.43284,7.48850,0.450000,0,0.898910E-01,2.20464,2.22115,5.50000,0,0.132184E-01,0.324191,0.326618,1.50000,0,284.844,284.174,96559.5,1.18046,1009.36,0.245258E-01,0.471925E-02,0.546119E-02,716.210,1310.69,0.462632E-02,54.6438,594.480,275.357,-0.135327,-1.25188,0.468278E-01,1.26005,0.854421E-13,-0.709944E-14,1.26005,2.46156,282.845,263.830,2.12980,-9999,0.126964,0.215690,-28.8641,-0.696368E-01,1.85697,-0.398550E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.188086E-01,1.01171,6.07667,1.01990,2.54409,1.17218,0.981600,1.17218,0.570660E-01,1.17218,0.411558E-02,1.18740,0.235025E-03,1.18740,800000000,800000000,800000000,800000000,800010000,800010010,810110111,811110111,80101,81111,80,81,10,11,3,53,23,4,0,0,0.880966E-01,0.331008,0.122757E-01,0.945351E-02,0.587314E-03,2.45350,0.196384E-04,0.112247E-06,0.510000E-02,0.981600E-03,0.570660E-01,0.101692E-03,0.580724E-05,16.0000,0.00000,247.000,43.7500,1.96342,98600.4,1.17309,22.0000,96.5019,0.501917,13.2627,293.801,3605.23
CH-CHA_202001010100.csv,2020-01-01,05:00,1.2082,0,36000,36000,-0.180283E-01,0,0.194201E-02,5.55037,0,0.464941,3.93860,0,0.305291,2.12838,0,0.372462,0.883469E-01,0,0.684798E-02,0.212494E-01,0,0.106647E-01,0.389877E-03,0,0.371666E-04,0.200254E-01,-0.550202E-01,-0.343026E-01,-0.123416E-02,0.227595E-02,0.258879E-05,0.686498E-10,0.101605E-11,0.307978E-12,0.444572E-13,20.4137,500.681,504.419,0.300000,0,302.133,7.41033,7.46565,0.350000,0,0.915805E-01,2.24616,2.26293,3.15000,0,0.132198E-01,0.324238,0.326659,1.65000,0,284.855,284.186,96559.5,1.18042,1009.34,0.245267E-01,0.572488E-02,0.544444E-02,714.046,1311.78,0.461230E-02,54.4332,597.738,275.315,-0.942515,-1.14701,0.773989E-01,1.48659,0.238012E-13,0.336292E-14,1.48659,2.80096,316.056,230.590,2.98444,-9999,0.123583,0.159401,-28.9154,-0.695131E-01,1.40923,-0.376953E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.178294E-01,1.01115,5.64121,1.01998,3.14355,1.17341,1.49105,1.17341,0.705132E-01,1.17341,0.178570E-01,1.18998,0.327634E-03,1.18998,800000000,800000000,800000000,800000000,800000000,800000010,800010111,801110111,80001,80101,80,80,1,7,2,3,11,5,0,0,0.138707,0.160890,0.192050E-01,0.621212E-02,0.513788E-02,3.46579,0.186015E-02,0.126658E-06,0.473475E-02,0.149105E-02,0.705132E-01,0.441236E-03,0.809564E-05,16.0000,0.00000,247.000,43.7500,1.68969,98600.1,1.17204,22.0000,96.5018,0.501750,13.2621,293.789,3605.85
CH-CHA_202001010100.csv,2020-01-01,05:30,1.2291,0,36000,36000,-0.155584E-01,0,0.197788E-02,5.37499,0,0.428978,5.09543,0,0.427118,0.835896,1,0.139588,0.114303,0,0.958133E-02,-0.447816E-02,1,0.309346E-02,0.188917E-03,0,0.271887E-04,0.110776,-0.154103,-0.108411,-0.345692E-02,-0.129034E-02,-0.601853E-05,-0.147936E-10,-0.217950E-12,-0.659321E-13,-0.961498E-14,20.3285,498.703,502.394,0.400000,0,299.494,7.34725,7.40163,0.450000,0,0.906002E-01,2.22262,2.23907,1.25000,0,0.132124E-01,0.324128,0.326527,1.30000,0,284.919,284.256,96559.5,1.18016,1009.31,0.245322E-01,0.740686E-02,0.539689E-02,707.982,1317.85,0.457302E-02,53.7224,609.870,275.196,0.268555,-1.29064,0.399631E-01,1.31889,-0.823029E-13,-0.727726E-15,1.31889,2.57101,266.261,281.754,1.73636,-9999,0.114819,0.186601,-23.9459,-0.839392E-01,1.05487,-0.393006E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.153810E-01,1.01153,5.52808,1.01990,4.13335,1.17245,0.389193,1.17245,0.927215E-01,1.17245,-0.376947E-02,1.18801,0.159020E-03,1.18801,800000000,800000000,800000000,800000000,800010000,800010000,800010111,811110111,81001,81101,80,81,6,1,9,60,20,4,0,0,0.137500,0.217323,0.183791E-01,0.892552E-02,0.224411E-02,5.17573,0.181783E-03,0.119647E-06,0.464097E-02,0.389193E-03,0.927215E-01,-0.931563E-04,0.392993E-05,16.0000,0.00000,247.000,43.7500,1.80100,98608.5,1.17089,22.0000,96.5010,0.501028,13.2615,293.789,3607.23
CH-CHA_202001010100.csv,2020-01-01,06:00,1.2499,0,36000,36000,-0.170606E-02,2,0.102856E-02,5.93078,1,0.534781,4.69086,1,0.494297,1.60287,1,0.391122,0.105229,1,0.110884E-01,0.246060E-01,1,0.127422E-01,0.310615E-03,1,0.344064E-04,0.143528E-01,-0.309271E-01,0.163240E-02,-0.693779E-03,0.220469E-02,0.118379E-04,0.758954E-10,0.111615E-11,0.344353E-12,0.493575E-13,20.3292,498.733,502.418,0.350000,0,298.970,7.33459,7.38878,0.400000,0,0.922376E-01,2.26285,2.27957,4.30000,0,0.132208E-01,0.324344,0.326741,1.80000,0,284.927,284.265,96559.5,1.18013,1009.30,0.245329E-01,0.681882E-02,0.538744E-02,706.765,1318.64,0.456514E-02,53.5980,611.875,275.171,0.963960,-0.992616,0.181250E-01,1.38378,-0.841021E-13,0.373332E-14,1.38378,2.94786,232.563,314.161,0.750494,-9999,0.380218E-01,0.308633,-0.788055,-2.55059,1.26433,-0.130957,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.168688E-02,1.01137,6.05267,1.01992,3.77143,1.17279,1.01844,1.17279,0.846034E-01,1.17279,0.206993E-01,1.18873,0.261299E-03,1.18873,800000000,800000000,800000000,800000011,800000010,800011010,800010111,800110111,80000,80100,80,81,3,5,5,59,22,6,0,0,0.296188,0.300655,0.204228E-01,0.823004E-02,0.677233E-02,4.37570,0.291933E-02,0.128331E-06,0.508155E-02,0.101844E-02,0.846034E-01,0.511558E-03,0.645768E-05,16.0000,0.00000,247.000,43.7500,1.84689,98600.5,1.16955,21.9961,96.5024,0.500959,13.2565,293.783,3602.97
CH-CHA_202001010100.csv,2020-01-01,06:30,1.2707,0,36000,36000,-0.159020E-01,0,0.205297E-02,6.61336,0,0.434149,3.44319,0,0.624754,1.62097,0,0.209205,0.772366E-01,0,0.140143E-01,0.196175E-01,1,0.672237E-02,0.295673E-03,0,0.306051E-04,-0.764274E-01,-0.305403,-0.111225,-0.685070E-02,-0.578090E-03,-0.695697E-05,-0.524354E-10,-0.761095E-12,-0.237768E-12,-0.342266E-13,20.2507,496.704,500.311,0.400000,0,293.937,7.20960,7.26196,0.400000,0,0.918268E-01,2.25230,2.26866,0.200000,0,0.132184E-01,0.324217,0.326572,1.55000,0,284.867,284.217,96559.5,1.18038,1009.24,0.245277E-01,0.500493E-02,0.529674E-02,694.749,1314.46,0.448731E-02,52.8545,619.706,274.932,0.743409,-1.37672,0.198128E-01,1.56474,-0.858304E-13,-0.258932E-14,1.56474,3.12770,248.139,298.368,0.725501,-9999,0.116069,0.239582,-20.1039,-0.999804E-01,1.92071,-0.478292E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.157286E-01,1.01102,6.65817,1.02007,2.69388,1.17394,1.01124,1.17394,0.604284E-01,1.17394,0.164716E-01,1.19099,0.248258E-03,1.19099,800000000,800000000,800000000,800000011,800011010,800011010,800010111,810110111,80100,81100,80,81,11,7,3,82,19,1,0,0,0.201616,0.256993,0.205555E-01,0.105055E-01,0.179820E-02,23.1443,0.933788E-03,0.118114E-06,0.558908E-02,0.101124E-02,0.604284E-01,0.406939E-03,0.613333E-05,16.0000,0.00000,247.000,43.7500,1.81698,98600.2,1.16810,22.0000,96.5008,0.500819,13.2606,293.781,3598.16
CH-CHA_202001010100.csv,2020-01-01,07:00,1.2916,0,35990,35990,-0.921272E-02,1,0.129581E-02,5.65197,0,0.518926,5.35644,0,0.620395,0.864133,1,0.103829,0.120151,0,0.139162E-01,-0.479056E-02,2,0.605635E-02,0.224484E-03,0,0.294794E-04,-0.393642E-01,-0.283330E-01,-0.842417E-01,-0.635543E-03,-0.137446E-02,-0.739464E-05,0.201531E-09,0.292956E-11,0.906473E-12,0.131900E-12,20.1899,495.167,498.757,0.450000,0,293.491,7.19801,7.25020,0.450000,0,0.908128E-01,2.22723,2.24338,7.65000,0,0.132141E-01,0.324082,0.326432,1.05000,0,284.842,284.192,96559.5,1.18049,1009.23,0.245255E-01,0.778580E-02,0.528870E-02,693.634,1312.30,0.448010E-02,52.8563,618.669,274.909,0.410339,-0.970865,0.160706E-01,1.05414,-0.233366E-12,0.998178E-14,1.05414,2.28029,251.264,292.911,0.873518,-9999,0.883412E-01,0.273919,-10.3717,-0.193797,1.05517,-0.537014E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.909861E-02,1.01254,5.81190,1.02009,4.35271,1.17158,0.399231,1.17158,0.976363E-01,1.17158,-0.404041E-02,1.18566,0.189332E-03,1.18566,800000000,800000000,800000000,800000000,800000010,800010010,801110111,811110111,81011,81111,80,81,1,1,0,55,36,1,0,0,0.204795,0.330221,0.128228E-01,0.960176E-02,0.178929E-02,6.50173,0.578789E-03,0.116173E-06,0.487829E-02,0.399231E-03,0.976363E-01,-0.998101E-04,0.467706E-05,16.0000,0.00000,247.000,43.7500,1.76895,98600.3,1.16760,22.0000,96.5006,0.500639,13.2600,293.780,3598.35
CH-CHA_202001010700.csv,2020-01-01,07:30,1.3124,0,36000,36000,-0.139464E-01,1,0.290191E-02,9.74589,1,0.797600,4.20281,1,0.479541,1.50779,1,0.156183,0.942752E-01,1,0.107568E-01,-0.629315E-03,2,0.131500E-02,0.254747E-03,1,0.300626E-04,0.228117E-01,0.133272,-0.474926E-01,0.298949E-02,-0.887044E-03,-0.314845E-05,0.858667E-10,0.125987E-11,0.384089E-12,0.562875E-13,20.1532,494.301,497.912,0.450000,0,295.694,7.25255,7.30553,0.550000,0,0.901468E-01,2.21105,2.22720,9.85000,0,0.132108E-01,0.324025,0.326392,1.75000,0,284.861,284.207,96559.5,1.18040,1009.26,0.245272E-01,0.610903E-02,0.532841E-02,698.878,1313.55,0.451405E-02,53.2053,614.671,275.014,0.262179,-0.750763,0.365611E-01,0.796065,-0.126796E-12,0.426070E-14,0.796065,2.30636,260.237,289.250,2.63237,-9999,0.108696,0.158768,-11.2044,-0.179395,2.31890,-0.752615E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.137489E-01,1.01436,9.76053,1.02091,3.23648,1.17194,0.751917,1.17194,0.725991E-01,1.17194,-0.531174E-03,1.18476,0.215019E-03,1.18476,800000000,800000000,800000000,800000000,800000000,800010000,811110111,811110111,80111,80111,80,81,0,18,2,61,60,0,0,0,0.167284,0.136332,0.139190E-01,0.197777E-01,0.909698E-03,7.33718,0.235911E-04,0.115899E-06,0.819294E-02,0.751917E-03,0.725991E-01,-0.131232E-04,0.531227E-05,16.0000,0.00000,247.009,43.8078,1.93082,98600.5,1.16934,22.0000,96.5006,0.500611,13.2603,293.787,3601.21
