file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,variances,,,,,,,,covariances,,,,,custom_variables,,,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,n2o_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,n2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_irga75_mean,status_code_irga75_mean,ga_diag_code_irga75_mean,agc_mean,fast_t_mean,air_p_mean,cooler_v_mean,data_size_lgr_mean,status_code_lgr_mean,h2o_mean,ch4_mean,n2o_mean,int_p_mean,cell_t_mean,t_unknown_mean,mirror_ringdowntime_lgr_mean,fit_flag_lgr_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CH-CHA_202201010100.csv,2022-01-01,01:30,1.0624,0,36000,36000,-0.218605E-02,1,0.678880E-03,0.771322,1,0.160947,-9999,-9999,-9999,2.07145,0,0.954286,-9999,-9999,-9999,-0.408248E-01,1,0.205610E-01,0.268021E-03,0,0.575641E-04,-9999,-9999,-9999,-9999,-9999,-9999,-0.831073E-10,-9999,-0.285848E-12,-0.319072E-13,35.8328,846.270,846.270,0.250000,0,-9999,-9999,-9999,-9999,0,0.123247,2.91075,2.91075,9.90000,0,0.137572E-01,0.324907,0.324907,2.10000,0,274.292,274.292,96559.5,1.22642,1005.17,0.236172E-01,-9999,-9999,-9999,661.876,-9999,-9999,-9999,-9999,0.568882,0.236166,0.198783E-01,0.616276,0.665624E-13,-0.231931E-14,0.616276,1.78911,163.542,22.5454,1.84843,-9999,0.422192E-01,0.865991E-01,-8.28484,-0.242612,-9999,-0.148199E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.215030E-02,1.01662,0.754565,1.02221,-9999,-9999,1.68824,1.17857,-9999,-9999,-0.331662E-01,1.23092,0.213332E-03,1.25636,800000000,800000000,800000000,800000100,800010000,800110000,811110111,811110111,80011,81011,80,81,2,0,3,18,9,0,0,0,0.518172E-01,0.116489,0.489213E-02,0.135631E-01,0.105040,-9999,0.205271E-01,0.430903E-05,0.612090E-03,0.168824E-02,-9999,-0.783291E-03,0.503830E-05,16.0000,0.00000,255.000,93.7500,2.75606,98283.0,1.19353,33.0000,0.509361,6.40512,2.89165,0.322826,6193.51,318.822,46.5818,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,02:00,1.0833,0,36000,36000,-0.409995E-02,0,0.568275E-03,1.41078,0,0.362967,-9999,-9999,-9999,-0.759405,1,0.653970,-9999,-9999,-9999,0.271248E-01,0,0.130086E-01,0.237356E-03,0,0.621248E-04,-0.514490,-9999,-0.407795,-9999,0.429394E-02,0.156041E-04,0.151844E-10,-9999,0.541554E-13,0.588521E-14,35.5677,839.055,839.055,8.60000,0,-9999,-9999,-9999,-9999,0,0.126853,2.99251,2.99251,4.25000,0,0.137854E-01,0.325204,0.325204,1.80000,0,273.981,273.981,96559.5,1.22781,1005.17,0.235904E-01,-9999,-9999,-9999,647.191,-9999,-9999,-9999,-9999,0.402548,0.403790,0.235904E-01,0.570656,0.249750E-13,0.426914E-15,0.570656,1.49218,143.649,45.0882,2.36923,-9999,0.577860E-01,0.537858E-01,-11.6144,-0.173061,-9999,-0.197817E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.402973E-02,1.01743,1.37947,1.02270,-9999,-9999,-0.769820,1.17924,-9999,-9999,0.222234E-01,1.22055,0.190798E-03,1.24402,800000000,800000000,800000000,800000100,800010000,800110000,811110111,811110111,80000,80110,80,80,0,0,2,11,13,2,0,0,0.589808E-01,0.433140E-01,0.527677E-02,0.135318E-01,0.492092E-01,-9999,0.678454E-02,0.410195E-05,0.111774E-02,-0.769820E-03,-9999,0.524259E-03,0.450099E-05,16.0000,0.00000,255.000,93.7500,2.52189,98254.5,1.18649,33.0000,0.509389,6.18054,2.97422,0.323193,6181.27,318.827,46.5913,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,02:30,1.1041,0,36000,36000,0.201838E-02,1,0.633773E-03,-0.626730,1,0.153021,-9999,-9999,-9999,1.65609,1,0.284206,-9999,-9999,-9999,0.685240E-02,2,0.417503E-02,0.218094E-03,1,0.309629E-04,-0.299507,-9999,-0.873947E-01,-9999,0.271562E-02,0.283728E-04,0.152635E-09,-9999,0.554800E-12,0.593665E-13,35.5257,837.510,837.510,-0.200000,0,-9999,-9999,-9999,-9999,0,0.129129,3.04418,3.04418,-1.00000,0,0.138175E-01,0.325744,0.325744,2.00000,0,273.799,273.799,96559.5,1.22863,1005.17,0.235748E-01,-9999,-9999,-9999,638.781,-9999,-9999,-9999,-9999,0.384379,0.448289,0.266679E-01,0.591119,0.161480E-13,0.429648E-14,0.591119,1.38845,138.789,49.3890,2.58574,-9999,0.405313E-01,0.480303E-01,9.02152,0.222801,-9999,0.125208E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.198138E-02,1.01867,-0.604457,1.03685,-9999,-9999,1.24302,1.38528,-9999,-9999,0.453234E-02,1.51189,0.138077E-03,1.57951,800000000,800110000,800000000,800000100,800000000,800000100,811110111,811110111,80101,80101,80,81,0,3,3,23,18,9,0,0,0.664061E-01,0.281668E-01,0.148783E-02,0.961245E-02,0.333081E-01,-9999,0.972541E-02,0.426299E-05,-0.489448E-03,0.124302E-02,-9999,0.106849E-03,0.325514E-05,16.0000,0.00000,255.000,93.7500,2.34666,98254.1,1.18582,33.0000,0.508972,6.02397,3.02581,0.323778,6171.10,318.828,46.5925,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,03:00,1.1249,0,36000,36000,-0.342184E-01,1,0.505668E-02,-3.31533,1,1.00606,-9999,-9999,-9999,13.7373,1,1.98486,-9999,-9999,-9999,0.122285E-01,2,0.113416E-01,0.124337E-02,1,0.238920E-03,-0.203647,-9999,0.427792,-9999,-0.126717E-02,0.852215E-04,0.123725E-08,-9999,0.442163E-11,0.479287E-12,35.8625,845.070,845.070,0.500000E-01,0,-9999,-9999,-9999,-9999,0,0.128164,3.02008,3.02008,7.95000,0,0.138925E-01,0.327365,0.327365,1.75000,0,273.676,273.676,96559.5,1.22918,1005.17,0.235642E-01,-9999,-9999,-9999,633.121,-9999,-9999,-9999,-9999,0.214337,0.148235,0.240868E-01,0.261714,-0.600513E-13,0.344998E-13,0.261714,1.54386,152.382,34.6677,5.28067,-9999,0.166848,0.141763,118.967,0.168955E-01,-9999,0.160824E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.336077E-01,1.01817,-3.23756,1.02402,-9999,-9999,11.5505,1.21977,-9999,-9999,0.103578E-01,1.18061,0.104334E-02,1.19172,800000000,800100000,800000000,800000100,800010000,800011000,811110111,811110111,80001,80001,80,81,12,5,3,4,10,0,0,0,0.255341,0.227560E-01,0.542881E-02,0.174623E-01,0.102300,-9999,0.212952E-02,0.497372E-05,-0.262039E-02,0.115505E-01,-9999,0.244073E-03,0.245854E-04,16.0000,0.00000,255.000,93.7500,2.25524,98264.3,1.18319,33.0000,0.509167,5.87863,3.00220,0.325435,6165.76,318.832,46.5978,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,03:30,1.1458,0,36000,36000,-0.886704E-02,0,0.138526E-02,2.77552,0,0.304665,-9999,-9999,-9999,4.02439,0,2.74259,-9999,-9999,-9999,-0.388308E-02,1,0.718035E-02,0.789087E-03,0,0.246777E-03,-0.858657,-9999,-0.383433,-9999,0.923431E-03,-0.918594E-04,-0.169878E-09,-9999,-0.615554E-12,-0.659851E-13,35.6429,838.306,838.306,0.150000,0,-9999,-9999,-9999,-9999,0,0.129153,3.03761,3.03761,-1.00000,0,0.138447E-01,0.325621,0.325621,2.00000,0,273.158,273.158,96559.5,1.23151,1005.16,0.235196E-01,-9999,-9999,-9999,609.785,-9999,-9999,-9999,-9999,-0.998508,-0.204979,0.536831E-01,1.02074,-0.559846E-14,-0.476610E-14,1.02074,1.82439,355.686,191.601,3.01470,-9999,0.848536E-01,0.549883E-01,-18.6917,-0.107534,-9999,-0.264242E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.875568E-02,1.01272,2.72070,1.02015,-9999,-9999,3.17187,1.17654,-9999,-9999,-0.292847E-02,1.32597,0.577256E-03,1.36696,800000000,800010000,800000000,800000100,800000000,800000100,810110111,811110111,80001,80001,80,80,3,4,0,6,1,0,0,0,0.682169E-01,0.314090E-01,0.103506E-01,0.361351E-02,0.281967,-9999,0.120265E-02,0.504787E-05,0.219790E-02,0.317187E-02,-9999,-0.688764E-04,0.135768E-04,16.0000,0.00000,255.000,93.7500,1.97465,98293.7,1.17963,33.0000,0.509056,5.85339,3.01981,0.323714,6175.26,318.829,46.5775,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,04:00,1.1666,0,36000,36000,-0.635974E-01,1,0.874080E-02,16.7367,1,2.46927,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.180027,1,0.325358E-01,0.758663E-03,1,0.260543E-03,-0.406647E-01,-9999,-9999,-9999,0.217431E-02,-0.831754E-04,-9999,-9999,0.513921E-11,0.540883E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.130919,3.07889,3.07889,9.55000,0,0.137788E-01,0.324042,0.324042,1.85000,0,273.134,273.134,96559.5,1.23162,1005.16,0.235175E-01,-9999,-9999,-9999,608.699,-9999,-9999,-9999,-9999,0.110361,-0.186894E-01,0.240819E-01,0.114494,-0.140484E-13,0.392548E-13,0.114494,1.29453,176.023,350.388,12.1419,-9999,0.227238,0.148391,-59.5328,-0.337629E-01,-9999,-0.594945E-01,0,50.2903,-7.63175,17.2630,42.9874,65.5585,91.9467,137.753,-0.602858E-01,1.05493,15.9745,1.04771,-9999,-9999,-9999,-9999,-9999,-9999,-0.155045,1.16112,0.651988E-03,1.16362,800000000,800000100,800000000,800000100,800000000,800010000,811110111,811110111,80001,80001,80,81,2,2,0,10,0,0,0,0,0.205666,0.757537E-01,0.153630E-01,0.215629E-01,-9999,-9999,0.333289E-02,0.416000E-05,0.129037E-01,-9999,-9999,-0.364627E-02,0.153331E-04,16.0000,0.00000,255.000,93.7500,2.14785,98300.8,1.18002,33.0000,0.509417,5.95824,3.06022,0.322109,6105.07,318.834,46.5897,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,04:30,1.1874,0,36000,36000,0.678636E-03,1,0.130894E-02,2.35730,1,0.721558,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.196812E-01,1,0.972687E-02,0.719606E-04,1,0.469432E-04,0.202861,-9999,-9999,-9999,-0.493764E-03,-0.431537E-04,-9999,-9999,-0.283458E-12,-0.298484E-13,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.130462,3.06951,3.06951,10.0000,0,0.137378E-01,0.323222,0.323222,2.50000,0,273.256,273.256,96559.5,1.23107,1005.16,0.235280E-01,-9999,-9999,-9999,614.135,-9999,-9999,-9999,-9999,-0.733284E-01,0.234325,0.242589E-01,0.246727,-0.770152E-13,-0.217272E-14,0.246727,0.836959,76.8314,107.377,5.64261,-9999,0.234789E-01,0.355061E-01,-0.466230,-4.31118,-9999,-0.811372E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.658214E-03,1.03103,2.28515,1.03157,-9999,-9999,-9999,-9999,-9999,-9999,-0.169673E-01,1.15995,0.615962E-04,1.16826,800000000,800000000,800000000,800000100,800000100,800001100,811110111,811110111,80011,80011,80,81,6,0,0,26,0,0,0,0,0.327903E-01,0.337391E-01,0.448273E-02,0.294816E-01,-9999,-9999,0.195174E-02,0.430438E-05,0.184670E-02,-9999,-9999,-0.399207E-03,0.144924E-05,16.0000,0.00000,255.000,93.7500,2.63670,98300.6,1.18474,33.0000,0.510194,6.11267,3.05132,0.321245,6019.71,318.844,46.5994,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,05:00,1.2082,0,36000,36000,-0.543133E-02,1,0.976976E-03,7.94304,0,0.919879,12.3307,2,8.75470,4.72354,1,1.47834,0.273666,2,0.194300,0.333659E-01,1,0.153713E-01,-0.224022E-03,1,0.183810E-03,-0.381448,-9999,-9999,-9999,-0.453148E-02,-0.116541E-03,-0.646869E-10,-0.595275E-12,-0.277181E-12,-0.298245E-13,29.5566,696.236,700.726,0.800000,0,271.992,6.40704,6.44836,10.0000,0,0.126649,2.98335,3.00259,1.90000,0,0.136274E-01,0.321007,0.323076,8.90000,0,273.582,273.026,96559.5,1.22913,1008.61,0.235560E-01,0.177335E-01,0.490129E-02,617.568,603.917,0.398760E-02,100.000,0.00000,273.297,0.161956,0.225993,0.206125E-01,0.278796,-0.990927E-13,-0.218858E-14,0.278796,0.869080,141.187,54.3730,4.23997,-9999,0.664743E-01,0.637205E-01,-3.14339,-0.639437,0.644165,-0.963850E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.528142E-02,1.02838,8.29582,1.02982,10.0545,1.18995,3.22682,1.18995,0.223146,1.18995,0.286685E-01,1.16385,-0.190866E-03,1.17371,800000000,800000000,800000000,800000000,800010000,800010000,811110111,811110111,80101,80101,80,81,0,2,0,37,16,16,0,0,0.195067E-01,0.100103,0.783167E-02,0.264033E-01,0.574170E-01,877.190,0.333014E-02,0.493782E-05,0.669170E-02,0.322682E-02,0.223146,0.679662E-03,-0.452499E-05,16.0000,0.00000,255.000,93.7500,2.91659,98301.1,1.18711,33.0000,0.509417,6.28251,2.98377,0.321048,5988.07,318.853,46.5809,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,05:30,1.2291,0,36000,36000,-0.225835E-01,1,0.305887E-02,8.84185,1,0.987106,11.8768,2,9.82914,-5.67494,1,2.03889,0.263603,2,0.218156,-0.207613E-01,1,0.146620E-01,-0.715439E-03,1,0.208008E-03,0.874716E-01,-1.70290,-0.768702,-0.377957E-01,-0.317008E-02,-0.429327E-04,-0.117185E-09,-0.985217E-12,-0.501778E-12,-0.549642E-13,28.9806,682.656,686.596,5.20000,0,243.650,5.73932,5.77245,10.0000,0,0.124093,2.92307,2.93995,8.20000,0,0.135930E-01,0.320190,0.322038,10.0000,0,273.577,273.079,96559.5,1.22920,1008.25,0.235556E-01,0.170815E-01,0.439057E-02,553.325,606.246,0.357188E-02,91.2707,52.9213,271.793,0.891043E-01,0.849638E-01,0.314389E-01,0.127070,-0.500027E-13,-0.404358E-14,0.127070,0.886228,130.645,43.6374,14.3245,-9999,0.135545,0.715835E-01,-23.9379,-0.839674E-01,0.744466,-0.526341E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.214912E-01,1.05083,9.01212,1.04492,9.49002,1.21411,-5.44574,1.21411,0.210630,1.21411,-0.179163E-01,1.15879,-0.615823E-03,1.16176,800000000,800000000,800000000,800000000,800010100,800010100,811110111,811110111,81011,81011,80,81,0,1,0,52,1,2,0,0,0.476277E-01,0.818050E-01,0.137343E-01,0.342267E-01,0.413878E-01,457.324,0.127483E-02,0.525715E-05,0.727169E-02,-0.544574E-02,0.210630,-0.424461E-03,-0.145897E-04,16.0000,0.00000,255.000,93.7500,3.15395,98300.9,1.19315,33.0000,0.509028,6.48009,2.92070,0.319946,5895.56,318.873,46.5711,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,06:00,1.2499,0,36000,36000,-0.133998E-01,1,0.186579E-02,4.15398,1,0.364399,-27.4636,1,5.34770,-1.88772,1,0.761105,-0.609473,1,0.118676,-0.519116E-01,1,0.118328E-01,0.260726E-03,1,0.972518E-04,-0.225082,2.13797,0.527789,0.474459E-01,0.711311E-02,0.472260E-04,-0.184719E-09,-0.175578E-11,-0.816389E-12,-0.857122E-13,29.3832,691.978,696.559,5.80000,0,279.291,6.57734,6.62088,0.350000,0,0.129863,3.05829,3.07854,1.45000,0,0.136342E-01,0.321088,0.323214,-0.900000,0,273.513,272.944,96559.5,1.22943,1008.70,0.235501E-01,-0.394939E-01,0.503282E-02,633.948,600.285,0.409363E-02,100.000,0.00000,273.659,-0.156116,0.120504,0.318422E-01,0.199768,0.456985E-13,-0.628655E-14,0.199768,1.26353,33.0278,142.336,9.17182,-9999,0.104399,0.133057,-23.2843,-0.863243E-01,-0.151254,-0.320849E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.129309E-01,1.03626,2.73045,1.03508,-22.8985,1.19823,-1.52506,1.19823,-0.508164,1.19823,-0.448979E-01,1.15621,0.224317E-03,1.16231,800000000,800000000,800000000,800000000,800000000,810010010,811110111,811110111,81001,81001,80,81,0,0,0,22,15,1,0,0,0.548124E-01,0.204884,0.641726E-02,0.686941E-02,0.177987E-01,352.860,0.208619E-02,0.483613E-05,0.220175E-02,-0.152506E-02,-0.508164,-0.106434E-02,0.531761E-05,16.0000,0.00000,255.000,93.7500,3.18053,98315.9,1.19259,33.0000,0.508944,6.41048,3.05874,0.321142,5993.72,318.858,46.5767,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,06:30,1.2707,0,36000,36000,-0.218386E-02,1,0.469050E-03,5.27957,0,0.469393,-16.4741,1,8.81604,0.760590,1,1.12626,-0.365594,1,0.195646,0.971811E-02,0,0.924305E-02,-0.128179E-03,1,0.648149E-04,0.142894E-02,-1.70442,-0.482794,-0.378245E-01,-0.583398E-02,0.403068E-04,0.195660E-10,0.169176E-12,0.843793E-13,0.921412E-14,29.0272,683.452,687.515,0.500000E-01,0,250.981,5.90940,5.94452,0.200000,0,0.125181,2.94741,2.96493,1.95000,0,0.136696E-01,0.321854,0.323767,5.90000,0,273.456,272.944,96559.5,1.22973,1008.34,0.235452E-01,-0.236905E-01,0.452267E-02,569.691,600.333,0.367777E-02,94.8958,30.6421,272.190,0.492320,0.434193,0.189889E-01,0.656706,-0.251593E-13,0.674059E-15,0.656706,1.33375,146.057,41.4101,1.65696,-9999,0.421412E-01,0.583048E-01,-1.20479,-1.66834,-0.320477,-0.101035,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.214946E-02,1.01600,4.38478,1.02184,-14.0510,1.17809,0.472993,1.17809,-0.311821,1.17809,0.783568E-02,1.24024,-0.101137E-03,1.26738,800000000,800000000,800000000,800000000,800010000,800010000,811110111,811110111,80001,80011,80,80,0,1,0,22,2,0,0,0,0.621918E-01,0.460820E-01,0.833588E-02,0.876546E-02,0.684787E-01,1157.49,0.169677E-02,0.462692E-05,0.353615E-02,0.472993E-03,-0.311821,0.185588E-03,-0.239543E-05,16.0000,0.00000,255.000,93.7500,3.09499,98319.0,1.19067,33.0000,0.509694,6.43241,2.94598,0.321683,5996.02,318.860,46.5854,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,07:00,1.2916,0,36000,36000,-0.896397E-02,0,0.178047E-02,9.09211,0,1.32402,10.8482,0,3.46617,-3.60267,1,1.31659,0.240752,0,0.769237E-01,-0.294876E-01,0,0.148719E-01,-0.786857E-03,1,0.152125E-03,0.559810E-01,-3.71820,-1.22526,-0.825171E-01,-0.722191E-02,-0.394468E-04,-0.525677E-10,-0.353674E-12,-0.223211E-12,-0.255049E-13,28.1181,661.823,664.783,1.75000,0,189.178,4.45273,4.47264,4.75000,0,0.119394,2.81021,2.82278,9.65000,0,0.136424E-01,0.321105,0.322541,4.15000,0,273.364,272.978,96559.5,1.23025,1007.55,0.235373E-01,0.156007E-01,0.340898E-02,429.461,601.827,0.277096E-02,71.3595,172.366,268.392,0.596686,0.264880,0.389389E-01,0.653997,-0.120454E-13,-0.186953E-14,0.653997,1.45976,161.609,23.9373,3.41340,-9999,0.853597E-01,0.611585E-01,-5.81270,-0.345795,0.838120,-0.859313E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.882243E-02,1.01604,9.41494,1.02186,8.97272,1.17812,-3.83438,1.17812,0.199129,1.17812,-0.237878E-01,1.23961,-0.621216E-03,1.26664,800000000,800000000,800000000,800000000,800010000,800010000,811110111,811110111,80101,80101,80,80,0,2,0,17,3,16,0,0,0.579225E-01,0.553497E-01,0.904481E-02,0.390719E-01,0.463653E-01,167.218,0.341751E-02,0.443256E-05,0.759551E-02,-0.383438E-02,0.199129,-0.562401E-03,-0.146871E-04,16.0000,0.00000,255.000,93.7500,2.91767,98300.8,1.18813,33.0000,0.509500,6.37091,2.80506,0.320487,5992.07,318.862,46.5972,0.950000,3.00000
CH-CHA_202201010700.csv,2022-01-01,07:30,1.3124,0,36000,36000,-0.565798E-02,1,0.277495E-02,5.98208,0,1.45383,-9.46818,1,6.08848,-1.50113,1,0.556074,-0.210006,1,0.135043,-0.215043E-01,1,0.151410E-01,0.119801E-03,0,0.647512E-04,-0.996765,-0.700702,-0.459086,-0.155417E-01,-0.246690E-03,0.218249E-05,0.143470E-09,0.917127E-12,0.615705E-12,0.704790E-13,27.8381,653.737,656.480,9.85000,0,177.954,4.17899,4.19653,0.00000,0,0.119468,2.80553,2.81730,1.95000,0,0.136754E-01,0.321146,0.322494,1.40000,0,272.740,272.379,96559.5,1.23309,1007.39,0.234836E-01,-0.136084E-01,0.320673E-02,403.095,576.090,0.260057E-02,69.9708,172.995,267.556,0.545014,0.183460,0.282761E-01,0.575758,-0.424796E-13,0.515373E-14,0.575758,1.54149,156.313,18.6040,2.81499,-9999,0.677382E-01,0.128996,-4.41479,-0.455288,-0.631809,-0.710929E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.556159E-02,1.01733,5.40224,1.02264,-8.11640,1.17916,-1.57415,1.17916,-0.180023,1.17916,-0.176019E-01,1.22170,0.961950E-04,1.24539,800000000,800000000,800000000,800000000,800010000,800010000,811110111,811110111,81101,81101,80,81,0,0,0,11,7,2,0,0,0.194390,0.556870E-01,0.791522E-02,0.562965E-01,0.992899E-02,612.386,0.446502E-02,0.438014E-05,0.434892E-02,-0.157415E-02,-0.180023,-0.415089E-03,0.226847E-05,16.0000,0.00000,255.000,93.7500,2.45271,98294.1,1.18072,33.0000,0.509750,6.00760,2.80030,0.320554,6099.54,318.841,46.6013,0.950000,3.00000
