file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,variances,,,,,,,,covariances,,,,,custom_variables,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,n2o_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,n2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_irga75_mean,status_code_irga75_mean,ga_diag_code_irga75_mean,agc_mean,fast_t_mean,air_p_mean,cooler_v_mean,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean,no2_mean,h2o_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CH-CHA_200908281951.csv,2009-08-28,20:30,240.8540,0,36000,36000,-0.529026E-02,1,0.178313E-02,-0.735340,2,1.12157,6.12747,1,2.61238,12.5442,1,3.62643,0.139646,1,0.595366E-01,-0.291917E-01,1,0.115233E-01,0.120632E-03,2,0.838414E-04,-9999,-9999,-9999,-9999,-9999,-9999,-0.166906E-09,-0.977816E-11,-0.771848E-12,-0.117991E-12,17.9690,469.203,482.465,-0.500000E-01,0,1052.72,27.4883,28.2652,-0.500000E-01,0,0.830972E-01,2.16981,2.23114,6.95000,0,0.127029E-01,0.331694,0.341069,7.00000,0,303.264,300.638,96559.5,1.10750,1020.88,0.261117E-01,0.904908E-02,0.189700E-01,2631.77,3653.13,0.171286E-01,72.0415,1021.36,295.086,-0.140196,0.246136,0.275971E-01,0.284604,-0.432956E-13,-0.928850E-14,0.284604,1.46325,49.2230,119.665,5.56453,-9999,0.691140E-01,0.192689,38.3237,0.524480E-01,-0.120007,0.941032E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.520000E-02,1.01736,-0.399836,1.02449,4.95684,1.22263,10.2386,1.22263,0.112967,1.22263,-0.217884E-01,1.33978,0.900387E-04,1.33978,800000000,800000000,800000000,800000011,800000000,800000010,811110111,811110111,80011,80011,80,81,0,3,1,10,11,0,0,0,0.120231,0.261263,0.388324E-02,0.578101E-01,0.820849,255.048,0.547811E-02,0.110176E-05,-0.353642E-03,0.102386E-01,0.112967,-0.584874E-03,0.241694E-05,16.0000,7.48444,250.297,64.3576,21.3825,97277.5,1.74824,17.5400,80.6477,0.430116,33.5957,0.00000
CH-CHA_200908281951.csv,2009-08-28,21:00,240.8748,0,36000,36000,-0.167509E-01,1,0.301033E-02,-1.13528,2,1.56462,11.3485,1,3.58928,24.6746,1,5.35740,0.258581,1,0.817836E-01,0.157991E-01,2,0.863392E-02,0.880020E-03,1,0.150014E-03,-0.319418,0.373240,0.501098,0.850447E-02,0.532810E-03,0.796882E-04,-0.334240E-09,-0.192990E-10,-0.152257E-11,-0.232724E-12,18.3534,478.929,492.550,10.0000,0,1059.73,27.6533,28.4398,-0.150000,0,0.836057E-01,2.18167,2.24372,5.00000,0,0.127791E-01,0.333468,0.342951,7.20000,0,303.067,300.427,96559.5,1.10821,1020.97,0.260948E-01,0.167560E-01,0.190963E-01,2647.43,3608.27,0.172316E-01,73.3714,960.833,295.183,-0.300161E-01,0.316157,0.288075E-01,0.318882,-0.116236E-12,-0.182113E-13,0.318882,1.41372,87.8614,95.4234,5.18311,-9999,0.122944,0.165517,139.730,0.143849E-01,-0.100038,0.816131E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.164820E-01,1.01632,-0.511749,1.02234,9.30985,1.20224,20.4727,1.20224,0.212130,1.20224,0.120745E-01,1.30847,0.672559E-03,1.30847,800000000,800000000,800000000,800000011,800000010,801010010,811110111,811110111,81000,81000,80,81,0,0,0,3,0,0,0,0,0.237483,0.898549E-01,0.369499E-02,0.698910E-01,1.30102,383.867,0.328774E-02,0.119206E-05,-0.452296E-03,0.204727E-01,0.212130,0.323964E-03,0.180450E-04,16.0000,0.00000,250.418,65.1127,21.1864,97299.4,1.74152,17.5604,80.6350,0.426923,36.1581,0.00000
CH-CHA_200908281951.csv,2009-08-28,21:30,240.8956,0,36000,36000,-0.232643E-01,1,0.635775E-02,-9.62038,1,4.70670,47.5264,1,17.3535,25.0033,1,9.14510,1.08316,1,0.395499,0.926370E-01,1,0.313203E-01,0.715670E-03,1,0.241809E-03,0.356745,-1.81854,-1.17158,-0.414458E-01,0.490129E-02,0.285290E-04,-0.896230E-10,-0.527479E-11,-0.450070E-12,-0.656396E-13,17.4723,456.177,468.763,10.0000,0,1028.34,26.8485,27.5892,10.0000,0,0.877425E-01,2.29084,2.35404,14.2500,0,0.127967E-01,0.334103,0.343321,15.9000,0,303.228,300.663,96559.5,1.10767,1020.52,0.261086E-01,0.701889E-01,0.185306E-01,2571.04,3658.67,0.167293E-01,70.2726,1087.63,294.704,0.214027E-01,0.279193,0.251510E-01,0.281140,-0.174613E-12,-0.512944E-14,0.281140,3.86597,99.6634,85.6163,5.13258,-9999,0.144924,0.419930,27.0042,0.744329E-01,-0.202422,0.587249E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.228603E-01,1.01767,-6.95638,1.02644,38.1939,1.24465,20.0922,1.24465,0.870468,1.24465,0.674291E-01,1.37384,0.520925E-03,1.37384,800000000,800000000,800000000,800000011,800100100,800110110,811110111,811110111,80000,80000,80,81,1,0,1,0,2,0,0,0,0.449112,0.378234,0.125143E-01,0.268500,1.31629,2399.81,0.120114E-01,0.104474E-05,-0.615392E-02,0.200922E-01,0.870468,0.180864E-02,0.139727E-04,16.0000,7.48111,250.134,63.3359,21.0551,97299.9,1.74355,17.5444,80.6406,0.424904,35.1910,0.00000
CH-CHA_200908281951.csv,2009-08-28,22:00,240.9165,0,36000,36000,-0.598790E-02,1,0.914933E-03,4.82051,1,1.05650,-5.23607,1,2.86675,5.79057,2,5.40579,-0.119275,1,0.653032E-01,0.302067E-01,1,0.808003E-02,0.153390E-03,2,0.150427E-03,-0.766476,1.63561,1.30701,0.372585E-01,0.246117E-03,0.615577E-04,-0.200103E-09,-0.114575E-10,-0.954264E-12,-0.139410E-12,18.4699,481.522,495.174,9.45000,0,1057.55,27.5710,28.3527,-1.00000,0,0.880802E-01,2.29631,2.36142,6.90000,0,0.128678E-01,0.335472,0.344984,15.3000,0,302.787,300.157,96559.5,1.10924,1020.91,0.260707E-01,-0.772904E-02,0.190570E-01,2639.62,3551.66,0.171802E-01,74.3206,912.046,295.135,-0.232335,0.751212E-01,0.155667E-01,0.244674,-0.354096E-13,-0.108340E-13,0.244674,0.881022,31.8070,162.082,3.64775,-9999,0.734723E-01,0.852742E-01,-7.02325,-0.286192,-0.920635,-0.579367E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.580664E-02,1.03122,4.39749,1.03170,-4.84327,1.18749,4.70368,1.18749,-0.110328,1.18749,0.237758E-01,1.27048,0.120734E-03,1.27048,800000000,800100000,800000000,800000011,800000000,810000000,811110111,811110111,81111,81111,80,81,0,0,4,0,10,0,0,0,0.457543E-01,0.122895,0.189935E-02,0.656805E-01,2.19898,498.560,0.387269E-02,0.183760E-05,0.388320E-02,0.470368E-02,-0.110328,0.637272E-03,0.323609E-05,16.0000,0.00000,250.404,65.0229,20.9812,97300.0,1.73789,17.5462,80.6416,0.426770,37.8519,0.00000
CH-CHA_200908281951.csv,2009-08-28,22:30,240.9373,0,36000,36000,-0.159578E-01,1,0.245476E-02,3.73645,1,1.39257,-5.09821,1,2.33896,4.37401,1,5.50116,-0.116114,1,0.532708E-01,0.352310E-01,1,0.120036E-01,-0.167566E-03,1,0.688999E-04,-0.280938,-0.400940,0.889967E-01,-0.913159E-02,0.393513E-02,0.284542E-05,0.376343E-11,0.213339E-12,0.185644E-13,0.261309E-14,18.5485,483.246,496.857,3.95000,0,1051.47,27.3940,28.1656,-1.00000,0,0.914965E-01,2.38377,2.45091,5.00000,0,0.128789E-01,0.335535,0.344986,5.00000,0,302.583,299.972,96559.5,1.11000,1020.81,0.260531E-01,-0.752419E-02,0.189474E-01,2622.83,3513.31,0.170698E-01,74.6540,890.481,295.030,-0.252397,0.113229,0.247569E-01,0.277737,-0.827415E-13,0.202897E-15,0.277737,2.11542,49.9698,155.838,5.11402,-9999,0.119902,0.221335,-39.3787,-0.510429E-01,-0.732894,-0.275021E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.155162E-01,1.02846,3.35896,1.02987,-4.61502,1.18466,3.56704,1.18466,-0.105109,1.18466,0.278059E-01,1.26703,-0.132251E-03,1.26703,800000000,800000000,800000000,800000011,800000000,800010100,811110111,811110111,81011,81011,80,81,1,0,2,7,0,1,0,0,0.161472,0.275299,0.589918E-02,0.668519E-01,1.18429,395.336,0.385300E-02,0.108987E-05,0.296440E-02,0.356704E-02,-0.105109,0.744657E-03,-0.354175E-05,16.0000,7.16000,250.402,65.0156,20.8161,97300.1,1.73155,17.5449,80.6417,0.426264,35.1673,0.00000
CH-CHA_200908281951.csv,2009-08-28,23:00,240.9581,0,36000,36000,-0.346879E-02,1,0.441979E-03,-0.468583,1,0.208922,3.63750,1,1.26430,2.58377,1,0.933789,0.828264E-01,1,0.287884E-01,0.773300E-02,1,0.271209E-02,0.213828E-03,1,0.648549E-04,-0.361353,0.407299,1.00847,0.927426E-02,-0.340688E-02,0.538365E-04,0.381331E-10,0.209133E-11,0.175059E-12,0.255395E-13,19.3123,502.775,517.031,-0.300000,0,1059.14,27.5736,28.3555,-0.250000,0,0.886576E-01,2.30811,2.37355,15.9000,0,0.129343E-01,0.336731,0.346279,7.00000,0,302.360,299.734,96559.5,1.11081,1020.91,0.260339E-01,0.536715E-02,0.190857E-01,2639.87,3464.40,0.171818E-01,76.1999,824.532,295.136,0.122440,0.364790,0.319285E-01,0.386112,0.104672E-12,0.197455E-14,0.386112,0.953782,115.948,71.4459,4.74333,-9999,0.558817E-01,0.812016E-01,31.7892,0.632291E-01,-0.128820,0.739422E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.341711E-02,1.01513,-0.270496,1.02390,2.93394,1.22776,2.09252,1.22776,0.668064E-01,1.22776,0.573564E-02,1.34824,0.158599E-03,1.34824,800000000,800100000,800000000,800000011,800010000,800010000,811110111,811110111,81100,81100,80,81,0,3,2,4,2,0,0,0,0.409771E-01,0.120233,0.119263E-02,0.114963E-01,1.05776,262.172,0.117238E-02,0.137083E-05,-0.238526E-03,0.209252E-02,0.668064E-01,0.153518E-03,0.424500E-05,16.0000,1.45000,250.394,64.9639,20.7263,97307.8,1.72675,17.6502,80.5934,0.427882,38.9945,0.00000
CH-CHA_200908281951.csv,2009-08-28,23:30,240.9790,0,36000,36000,-0.282951E-02,1,0.124745E-02,-0.965930,2,0.425341,12.1232,1,3.59174,22.1729,1,5.88143,0.276011,1,0.817741E-01,-0.168607E-02,2,0.224802E-02,0.754818E-03,1,0.162994E-03,-0.201416,-0.994977,-0.286228E-01,-0.226529E-01,-0.111123E-02,-0.221381E-04,-0.104930E-09,-0.566941E-11,-0.477084E-12,-0.702511E-13,19.3022,502.221,516.229,-0.500000,0,1042.91,27.1352,27.8921,6.55000,0,0.877612E-01,2.28344,2.34713,5.00000,0,0.129229E-01,0.336240,0.345618,6.65000,0,302.185,299.601,96559.5,1.11148,1020.66,0.260188E-01,0.178855E-01,0.187932E-01,2598.26,3437.59,0.169083E-01,75.5838,839.330,294.876,-0.131045,0.296091,0.230431E-01,0.324613,0.117264E-13,-0.543616E-14,0.324613,1.13256,89.2203,113.873,4.07063,-9999,0.504550E-01,0.115131,11.3498,0.177096,-0.796764E-01,0.168756E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.278307E-02,1.01669,-0.327721,1.02634,9.54920,1.24902,17.6861,1.24902,0.217409,1.24902,-0.122103E-02,1.38085,0.546631E-03,1.38085,800000000,800100000,800000000,800000011,800010000,800010000,811110111,811110111,81100,81100,80,81,6,0,0,11,7,11,0,0,0.101582,0.126469,0.221038E-02,0.204280E-01,2.80940,565.909,0.367997E-03,0.190322E-05,-0.288884E-03,0.176861E-01,0.217409,-0.326483E-04,0.146160E-04,16.0000,5.08778,250.111,63.1960,20.6176,97316.9,1.72306,17.6467,80.5945,0.427240,30.3458,0.00000
CH-CHA_200908282300.csv,2009-08-29,00:00,241.0000,0,36000,36000,0.270983E-02,1,0.595941E-03,0.920266,2,0.408615,-6.32876,2,2.19096,-7.63050,2,3.05960,-0.144055,2,0.498704E-01,-0.295593E-02,2,0.194310E-02,-0.270305E-03,2,0.112721E-03,-0.366630,-0.285638,0.316329,-0.650166E-02,-0.178370E-02,-0.141220E-04,0.122284E-09,0.649733E-11,0.539783E-12,0.808096E-13,19.5538,508.337,522.448,8.55000,0,1038.95,27.0095,27.7592,8.35000,0,0.863137E-01,2.24388,2.30617,15.6500,0,0.129218E-01,0.335926,0.345251,14.9000,0,301.930,299.360,96559.5,1.11243,1020.58,0.259968E-01,-0.933475E-02,0.187219E-01,2586.33,3389.07,0.168298E-01,76.3139,802.739,294.801,-0.482255E-01,0.407696,0.206781E-01,0.411059,-0.519817E-13,0.625373E-14,0.411059,1.02728,85.9800,96.7460,2.88344,-9999,0.493555E-01,0.609712E-01,-11.1507,-0.180258,-0.145410,-0.164233E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.265256E-02,1.02159,0.558470,1.02535,-5.33422,1.17784,-6.46168,1.17784,-0.121417,1.17784,-0.234833E-02,1.25874,-0.214743E-03,1.25874,800000000,800100000,800000000,800000011,800000000,800010000,811110111,811110111,81100,81100,80,81,0,0,1,1,1,0,0,0,0.360753E-01,0.842720E-01,0.159516E-02,0.159355E-01,1.59218,421.745,0.431758E-03,0.174037E-05,0.491906E-03,-0.646168E-02,-0.121417,-0.627294E-04,-0.573628E-05,16.0000,4.96889,250.080,62.9977,20.4906,97309.2,1.71854,17.7036,80.5696,0.429344,27.0569,0.00000
CH-CHA_200908282300.csv,2009-08-29,00:30,241.0208,0,36000,36000,0.175032E-02,2,0.992449E-03,-1.85548,0,0.294846,20.0753,1,3.82675,21.4734,1,4.28966,0.456862,1,0.870869E-01,0.450411E-02,1,0.100148E-02,0.747097E-03,1,0.118385E-03,-0.309511,-0.743380E-01,0.146314,-0.169174E-02,-0.544907E-03,0.132171E-04,-0.803164E-10,-0.423871E-11,-0.350671E-12,-0.528282E-13,19.6761,511.165,525.336,-0.150000,0,1038.41,26.9768,27.7247,-0.150000,0,0.859085E-01,2.23181,2.29368,5.75000,0,0.129420E-01,0.336219,0.345541,6.95000,0,301.721,299.157,96559.5,1.11320,1020.56,0.259789E-01,0.296046E-01,0.187122E-01,2583.23,3348.57,0.168094E-01,77.1441,765.347,294.781,0.185725,0.405271,0.222053E-01,0.446353,0.705898E-13,-0.408192E-14,0.446353,1.38989,115.189,65.3792,2.85154,-9999,0.396527E-01,0.873614E-01,2.86791,0.700858,-0.924262E-01,0.411884E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.170979E-02,1.02371,-0.912737,1.04674,13.4738,1.46858,14.5373,1.46858,0.306629,1.46858,0.261431E-02,1.72287,0.433636E-03,1.72287,800000000,800000000,800000000,800000011,800000000,800000000,811110111,811110111,80011,80011,80,81,0,0,0,0,5,10,0,0,0.966361E-01,0.745556E-01,0.353095E-02,0.714615E-02,1.60082,587.691,0.649733E-04,0.116059E-05,-0.803409E-03,0.145373E-01,0.306629,0.697839E-04,0.115750E-04,16.0000,1.72222,250.125,63.2806,20.3559,97301.2,1.71421,17.6489,80.5953,0.429139,27.0415,0.00000
CH-CHA_200908282300.csv,2009-08-29,01:00,241.0416,0,36000,36000,-0.138810E-01,1,0.297601E-02,1.82924,2,1.14019,-5.72463,2,3.86921,7.68536,1,3.94160,-0.130284,2,0.880573E-01,0.492382E-01,2,0.131574E-01,0.535174E-03,1,0.179952E-03,0.734830E-01,-1.20855,-1.03608,-0.275048E-01,0.285282E-02,0.114819E-04,-0.125262E-09,-0.674466E-11,-0.585329E-12,-0.858148E-13,18.9056,491.144,504.486,-0.100000,0,1017.96,26.4453,27.1637,10.0000,0,0.883427E-01,2.29503,2.35737,16.0000,0,0.129519E-01,0.336474,0.345614,7.30000,0,301.719,299.205,96559.5,1.11324,1020.26,0.259787E-01,-0.844239E-02,0.183436E-01,2532.76,3358.33,0.164778E-01,75.4175,825.561,294.459,0.958117E-02,0.193405,0.143933E-01,0.194176,0.496417E-13,-0.662566E-14,0.194176,1.23713,130.613,87.1639,4.25096,-9999,0.111665,0.151127,-64.9591,-0.309426E-01,-0.319539,-0.144231E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.133853E-01,1.03703,1.46499,1.03559,-4.87218,1.19356,6.40692,1.19356,-0.110883,1.19356,0.385306E-01,1.27790,0.418792E-03,1.27790,800000000,800000000,800000000,800000011,800000000,800111010,811110111,811110111,80011,80011,80,81,3,0,0,20,2,19,0,0,0.243704,0.536696E-01,0.488124E-02,0.679513E-01,0.969036,378.970,0.498558E-02,0.152482E-05,0.128984E-02,0.640692E-02,-0.110883,0.102794E-02,0.111728E-04,16.0000,6.21000,250.018,62.6137,20.1937,97304.0,1.71258,17.5964,80.6200,0.429072,24.2184,0.00000
CH-CHA_200908282300.csv,2009-08-29,01:30,241.0624,0,36000,36000,-0.153800E-02,1,0.327280E-03,0.213141,2,0.512765,6.98039,1,2.77174,-15.4433,1,3.21406,0.158829,1,0.630669E-01,0.521755E-02,1,0.289624E-02,-0.240996E-03,1,0.606014E-04,-0.336967,-0.353362,1.75536,-0.804025E-02,0.269324E-02,0.383208E-04,0.131366E-09,0.657785E-11,0.589146E-12,0.843990E-13,20.2262,525.037,539.212,8.90000,0,1012.78,26.2901,26.9999,-0.150000,0,0.907100E-01,2.35467,2.41825,9.80000,0,0.129948E-01,0.337322,0.346430,15.7500,0,301.481,298.983,96559.5,1.11412,1020.17,0.259582E-01,0.102921E-01,0.182504E-01,2518.02,3314.66,0.163809E-01,75.9661,796.642,294.364,-0.156844E-01,0.428101,0.105803E-01,0.428519,-0.110710E-12,0.649483E-14,0.428519,1.16288,87.0601,92.0982,1.41480,-9999,0.371545E-01,0.589732E-01,-20.5360,-0.978771E-01,0.305342E-01,-0.504721E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.150638E-02,1.02099,0.582688,1.02496,5.75099,1.17727,-13.1989,1.17727,0.130855,1.17727,0.414736E-02,1.25804,-0.191564E-03,1.25804,800000000,800100000,800000000,800000011,800000000,800100100,811110111,811110111,81000,81000,80,81,2,1,0,6,1,1,0,0,0.634233E-01,0.529455E-01,0.157754E-02,0.294863E-01,2.18534,1095.87,0.135907E-02,0.103796E-05,0.512663E-03,-0.131989E-01,0.130855,0.110541E-03,-0.510582E-05,16.0000,0.00000,250.290,64.3142,20.1956,97302.1,1.71174,17.5956,80.6220,0.430693,23.0416,0.00000
CH-CHA_200908282300.csv,2009-08-29,02:00,241.0833,0,36000,36000,-0.119247E-01,1,0.188574E-02,-3.98607,1,0.827097,5.30379,1,3.43130,6.12168,1,3.83128,0.120651,1,0.780556E-01,-0.419881E-01,1,0.659418E-02,0.136224E-03,1,0.115136E-03,-0.375707,-0.319591,-1.25250,-0.727009E-02,-0.188318E-02,0.314752E-05,0.566293E-10,0.295652E-11,0.261511E-12,0.381458E-13,19.3122,500.875,514.324,-0.200000,0,1008.26,26.1498,26.8520,-0.150000,0,0.891824E-01,2.31301,2.37512,5.00000,0,0.130088E-01,0.337392,0.346452,7.15000,0,301.219,298.737,96559.5,1.11510,1020.08,0.259357E-01,0.781820E-02,0.181688E-01,2504.70,3266.59,0.162934E-01,76.6762,761.892,294.278,0.423482E-01,0.310195,0.246146E-01,0.314039,-0.116580E-12,0.293231E-14,0.314039,1.25132,104.531,82.2260,4.49550,-9999,0.103411,0.134189,23.6749,0.848999E-01,-0.751552,0.338867E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.117227E-01,1.01723,-3.61939,1.02777,4.49996,1.26360,4.97648,1.26360,0.102366,1.26360,-0.299194E-01,1.40337,0.970691E-04,1.40337,800000000,800100000,800000000,800000011,800010000,800010100,811110111,811110111,80000,80000,80,81,0,0,3,13,1,9,0,0,0.142879,0.122720,0.277913E-02,0.332089E-01,1.31475,492.926,0.153874E-02,0.124800E-05,-0.318190E-02,0.497648E-02,0.102366,-0.796645E-03,0.258460E-05,16.0000,6.09111,250.000,62.5000,19.9259,97300.1,1.70325,17.6484,80.5962,0.429833,24.7337,0.00000
CH-CHA_200908282300.csv,2009-08-29,02:30,241.1041,0,36000,36000,-0.784384E-02,1,0.113625E-02,-0.875519,2,0.897290,10.7406,1,2.40522,17.6174,1,3.47816,0.244347,1,0.547183E-01,-0.169406E-01,1,0.207013E-01,0.696192E-03,1,0.131805E-03,0.119441,-0.633713,-0.395698,-0.144169E-01,0.582960E-02,-0.130486E-04,-0.477082E-10,-0.250241E-11,-0.236201E-12,-0.326060E-13,19.0145,493.240,506.340,3.50000,0,997.357,25.8717,26.5588,7.60000,0,0.941400E-01,2.44201,2.50687,7.05000,0,0.129954E-01,0.337103,0.346056,10.8000,0,301.272,298.815,96559.5,1.11492,1019.93,0.259402E-01,0.158337E-01,0.179724E-01,2478.28,3281.92,0.161198E-01,75.5132,803.635,294.105,-0.145077,0.188721,0.208081E-01,0.238947,0.485307E-13,-0.250904E-14,0.238947,1.13539,53.2809,127.551,4.99577,-9999,0.838768E-01,0.970702E-01,57.5138,0.349481E-01,-0.815149E-01,0.917931E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.769602E-02,1.01921,-0.295306,1.02416,8.74773,1.20922,14.5109,1.20922,0.199010,1.20922,-0.128474E-01,1.31860,0.527978E-03,1.31860,800000000,800100000,800000000,800000011,800000000,800100010,811110111,811110111,80000,80000,80,81,1,0,2,0,6,15,0,0,0.641142E-01,0.127269,0.275688E-02,0.430726E-01,0.805107,205.366,0.244560E-01,0.121983E-05,-0.259692E-03,0.145109E-01,0.199010,-0.342042E-03,0.140566E-04,16.0000,3.83111,250.000,62.5016,19.8819,97300.1,1.70336,17.6476,80.5966,0.429801,24.2365,0.00000
