file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,data_size_irga75_mean,status_code_irga75_mean,ga_diag_code_irga75_mean,agc_mean,fast_t_mean,air_p_mean,cooler_v_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--
CH-CHA_202312311900.csv,2023-12-31,19:30,365.812,0,36000,36000,-0.142892E-02,2,0.838207E-03,-0.625210,1,0.431074,-9999,-9999,-9999,1.55669,1,0.730524,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.458570E-10,-9999,19.2953,460.332,460.332,0.250000,0,-9999,-9999,-9999,-9999,1,277.079,277.079,96559.5,1.21409,1005.21,0.238571E-01,-9999,-9999,-9999,807.045,-9999,-9999,-999900.,-9999,-0.180084E-01,0.453082,-0.118389E-02,0.453442,-0.268386E-13,0.237659E-14,0.453442,1.37935,86.5880,92.2761,-0.149593,-9999,0.343067E-01,0.566651E-01,5.48427,0.366503,-9999,-0.149327E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.139551E-02,1.02394,-0.596978,1.04729,-9999,-9999,1.07484,1.48149,-9999,-9999,800000099,800100099,800000099,800000199,800001099,800101199,811110199,811110199,80000,80000,80,81,17,3,2,4,1,0,0.850492E-01,0.261456E-01,0.213548E-02,0.407329E-01,0.969949E-01,-9999,-0.489158E-03,0.107484E-02,-9999,16.0000,0.00000,255.000,93.7500,5.47417,96609.8,1.25086
CH-CHA_202312311900.csv,2023-12-31,20:00,365.833,0,36000,36000,0.353269E-02,2,0.224614E-02,-1.62215,1,0.524587,-9999,-9999,-9999,14.6443,2,12.8142,-9999,-9999,-9999,-0.409768,-9999,7.06381,-9999,0.788208E-10,-9999,24.5887,586.085,586.085,0.500000E-01,0,-9999,-9999,-9999,-9999,1,276.828,276.828,96559.5,1.21518,1005.22,0.238356E-01,-9999,-9999,-9999,792.932,-9999,-9999,-999900.,-9999,0.315599,0.401200,0.402111E-02,0.510470,-0.431312E-13,0.320557E-14,0.510470,1.99304,137.515,51.8101,0.451339,-9999,0.539178E-01,0.167164,8.20566,0.244953,-9999,-0.246296E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.346423E-02,1.01976,-1.56177,1.03866,-9999,-9999,10.5848,1.39467,-9999,-9999,800000099,800000199,800000099,800000199,800000199,801100199,811110099,811110099,80000,80000,80,81,0,0,1,4,0,0,0.227467,0.102279,0.458230E-02,0.315972E-01,13.1976,-9999,-0.127855E-02,0.105848E-01,-9999,16.0000,0.00000,255.000,93.7500,5.39960,96622.3,1.24729
CH-CHA_202312311900.csv,2023-12-31,20:30,365.854,0,36000,36000,-0.791783E-02,1,0.208939E-02,-6.60693,1,3.52996,-9999,-9999,-9999,-7.43937,2,5.98844,-9999,-9999,-9999,-1.73704,-9999,-4.49614,-9999,0.195275E-09,-9999,21.3249,506.349,506.349,9.85000,0,-9999,-9999,-9999,-9999,1,275.770,275.770,96559.5,1.21985,1005.20,0.237445E-01,-9999,-9999,-9999,735.708,-9999,-9999,-999900.,-9999,-0.296500,0.233311,0.228487E-01,0.377979,-0.720608E-13,0.915714E-14,0.377979,1.23475,55.0270,141.801,3.46563,-9999,0.805658E-01,0.128927,6.72130,0.299049,-9999,-0.668792E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.774422E-02,1.02242,-6.33384,1.04312,-9999,-9999,-4.89476,1.43474,-9999,-9999,800000099,800000099,800000099,800000199,800100199,800100199,811100199,811110199,81100,81100,80,81,2,1,6,6,0,6,0.143164,0.109776,0.491344E-02,0.447558,1.71168,-9999,-0.516548E-02,-0.489476E-02,-9999,16.0000,0.00000,254.505,90.6568,4.38348,96605.5,1.23232
CH-CHA_202312311900.csv,2023-12-31,21:00,365.875,0,36000,36000,-0.621136E-01,1,0.863158E-02,-24.3588,1,5.83381,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.780559,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,275.296,275.296,96559.5,1.22195,1005.19,0.237036E-01,-9999,-9999,-9999,711.248,-9999,-9999,-999900.,-9999,0.554010E-01,0.932143E-01,0.160951E-01,0.109623,-0.248225E-13,-0.409022E-13,0.109623,1.96005,131.607,59.2753,8.44283,-9999,0.225459,0.387306,39.9522,0.503102E-01,-9999,-0.879607E-01,0,54.8917,-8.33002,18.8425,46.9206,71.5568,100.359,150.357,-0.602811E-01,1.03040,-23.5910,1.03255,-9999,-9999,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800001199,800000199,801000199,811101199,811111199,80000,80100,80,81,1,0,2,1,2,0,0.307149,0.455671,0.117920E-01,0.215105,-9999,-9999,-0.192064E-01,-9999,-9999,16.0000,0.00000,254.975,93.5911,3.11076,96622.4,1.22075
CH-CHA_202312311900.csv,2023-12-31,21:30,365.896,0,36000,36000,-0.155696,1,0.213065E-01,-15.9517,2,11.7133,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.00152,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,274.688,274.688,96559.5,1.22465,1005.19,0.236513E-01,-9999,-9999,-9999,680.984,-9999,-9999,-999900.,-9999,-0.139888,-0.203003,0.430944E-01,0.250272,0.139022E-12,-0.302352E-13,0.250272,2.33067,305.420,235.430,9.91521,-9999,0.356560,0.498300,241.315,0.832937E-02,-9999,-0.363427E-01,0,48.0817,-7.29659,16.5049,41.0995,62.6794,87.9088,131.703,-0.152833,1.01873,-15.5832,1.02365,-9999,-9999,-9999,-9999,-9999,-9999,800000099,800000199,800000099,800001199,800100199,800100199,811110099,811110099,80000,80000,80,81,0,0,1,2,0,0,0.629612,0.325446,0.415414E-01,0.719671,-9999,-9999,-0.126590E-01,-9999,-9999,16.0000,0.00000,255.000,93.7500,2.34184,96682.4,1.20944
CH-CHA_202312311900.csv,2023-12-31,22:00,365.917,0,36000,36000,-0.161674E-01,1,0.541141E-02,-5.40135,2,3.41587,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.365187,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,274.910,274.910,96559.5,1.22366,1005.19,0.236704E-01,-9999,-9999,-9999,691.893,-9999,-9999,-999900.,-9999,0.266737,0.661925,0.339582E-01,0.714456,0.681158E-13,0.366680E-14,0.714456,2.80382,116.724,68.0519,2.72430,-9999,0.114945,0.322293,23.8759,0.841852E-01,-9999,-0.382036E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.159491E-01,1.01369,-5.26323,1.02624,-9999,-9999,-9999,-9999,-9999,-9999,800000099,800000199,800000099,800001199,800000199,800100199,800100099,811110099,80000,80000,80,80,1,0,2,1,0,0,0.463855,0.159759,0.209714E-01,0.746308,-9999,-9999,-0.427902E-02,-9999,-9999,16.0000,0.00000,255.000,93.7500,2.56738,96699.4,1.21198
CH-CHA_202312311900.csv,2023-12-31,22:30,365.937,0,36000,36000,-0.292573E-01,1,0.537982E-02,-28.8304,0,4.30951,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.990124,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,275.512,275.512,96559.5,1.22099,1005.19,0.237223E-01,-9999,-9999,-9999,722.321,-9999,-9999,-999900.,-9999,0.511651,1.52837,0.151119E-01,1.61181,0.106940E-12,0.392277E-14,1.61181,5.06895,116.197,71.4911,0.537198,-9999,0.154796,0.413970,10.9252,0.183979,-9999,-0.151750,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.287660E-01,1.01708,-27.8313,1.03590,-9999,-9999,-9999,-9999,-9999,-9999,800000099,800000199,800000099,800001199,800000199,800100199,800000199,800100199,81000,81000,80,81,23,26,8,0,0,0,0.491418,0.279361,0.571607E-01,0.257985,-9999,-9999,-0.226763E-01,-9999,-9999,16.0000,0.00000,255.000,93.7500,2.84959,96700.0,1.21744
CH-CHA_202312311900.csv,2023-12-31,23:00,365.958,0,36000,36000,-0.410254E-01,1,0.512038E-02,-29.8175,0,2.40976,38.2001,1,21.0139,8.69136,1,4.22888,0.849590,1,0.467360,-0.439358,-9999,-9999,-9999,-0.108031E-09,-0.796711E-12,17.7871,421.958,423.275,0.250000,0,131.177,3.11187,3.12159,6.95000,0,275.517,275.245,96559.5,1.22074,1006.86,0.237227E-01,0.550535E-01,0.236381E-02,300.265,708.682,0.193638E-02,42.3695,408.417,263.750,1.54629,1.38066,0.527061E-01,2.07365,-0.362660E-12,-0.607356E-14,2.07365,4.68139,142.519,41.7612,1.45645,-9999,0.183322,0.519674,17.5542,0.114502,-0.780560,-0.132332,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.404304E-01,1.01472,-27.2603,1.03150,29.5162,1.30780,7.57065,1.30780,0.656457,1.30780,800000099,800000099,800000099,800000199,800000099,800001199,800100199,810110199,80000,80000,80,81,22,8,1,1,5,38,0.588884,0.388645,0.618189E-01,0.102015,0.268448,3004.91,-0.221790E-01,0.757065E-02,0.656457,16.0000,0.00000,252.618,78.8630,3.31746,96700.4,1.22070
CH-CHA_202312311900.csv,2023-12-31,23:30,365.979,0,36000,36000,-0.493260E-01,0,0.414596E-02,-31.2302,0,2.99843,-3.03734,0,0.456992,1.11919,0,0.313347,-0.675569E-01,0,0.101645E-01,0.121048,2.23585,0.374688,0.497301E-01,0.575091E-10,0.535841E-12,18.0572,428.600,430.319,0.250000,0,168.248,3.99348,4.00949,0.500000,0,275.668,275.319,96559.5,1.22001,1007.33,0.237356E-01,-0.437769E-02,0.303183E-02,385.223,712.404,0.248510E-02,54.0737,327.181,266.962,1.64735,1.76270,0.641356E-01,2.41350,-0.754365E-13,0.318483E-14,2.41350,5.48719,140.207,46.9374,1.52274,-9999,0.201075,0.366036,22.1189,0.908723E-01,10.2821,-0.126381,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.486162E-01,1.01460,-30.4150,1.03156,-1.78972,1.30022,2.16487,1.30022,-0.398071E-01,1.30022,800000099,800000099,800000099,800000099,800000099,800000099,800000199,800100199,80000,81100,80,80,11,15,7,1,43,117,0.362940,0.297040,0.720917E-01,0.142535,0.283906E-02,4.99876,-0.247488E-01,0.216487E-02,-0.398071E-01,16.0000,0.00000,252.000,75.0000,3.29935,96718.9,1.22063
CH-CHA_202312311900.csv,2024-01-01,00:00,1.000,0,36000,36000,-0.413941E-01,0,0.391014E-02,-38.8249,0,5.15236,-5.70769,1,1.11451,1.61499,0,0.668810,-0.126918,1,0.247825E-01,-0.456330,-0.356364,0.112885,-0.792419E-02,0.194261E-10,0.173832E-12,18.1605,430.599,432.265,0.300000,0,162.507,3.85315,3.86805,0.250000,0,275.378,275.042,96559.5,1.22130,1007.25,0.237107E-01,-0.822427E-02,0.292837E-02,371.703,698.443,0.239775E-02,53.2188,326.740,266.496,1.30383,1.64827,0.414019E-01,2.10202,0.348426E-13,0.106969E-14,2.10202,4.92326,135.988,51.6550,1.12859,-9999,0.184102,0.334372,13.6559,0.147189,6.80220,-0.171431,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.407206E-01,1.01654,-37.7540,1.03524,-3.60972,1.34280,2.79528,1.34280,-0.802667E-01,1.34280,800000099,800000099,800000099,800000099,800000099,800100099,800000199,800000199,80000,80000,80,80,12,14,11,0,32,81,0.289999,0.314368,0.643769E-01,0.279882,0.708786E-02,14.6097,-0.306904E-01,0.279528E-02,-0.802667E-01,16.0000,0.00000,252.000,75.0000,3.35420,96750.6,1.22292
CH-CHA_202312311900.csv,2024-01-01,00:30,1.020,0,36000,36000,-0.334664E-01,1,0.578250E-02,-22.1768,0,2.67853,-4.14459,0,0.946423,1.67158,0,0.551374,-0.920985E-01,0,0.210309E-01,-1.16034,-0.645810,0.167295,-0.143508E-01,0.515954E-10,0.428383E-12,18.3335,433.554,435.120,0.350000,0,152.218,3.59968,3.61268,0.150000,0,274.653,274.339,96559.5,1.22454,1007.10,0.236482E-01,-0.596798E-02,0.274296E-02,347.279,664.110,0.223999E-02,52.2924,316.830,265.615,1.18236,0.779623,0.400433E-01,1.41682,0.988418E-13,0.281427E-14,1.41682,4.28899,156.785,33.4000,1.61955,-9999,0.165318,0.433789,17.3097,0.116120,5.35079,-0.108776,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.329970E-01,1.01423,-21.7211,1.02972,-2.82355,1.30356,2.23481,1.30356,-0.627433E-01,1.30356,800000099,800000099,800000099,800000099,800000099,800100099,800000199,800110199,80000,80100,80,81,10,13,14,5,29,42,0.544473,0.276132,0.469732E-01,0.966240E-01,0.469325E-02,10.6766,-0.176130E-01,0.223481E-02,-0.627433E-01,16.0000,0.00000,252.000,75.0000,2.98488,96771.8,1.21486
CH-CHA_202312311900.csv,2024-01-01,01:00,1.041,0,36000,35980,-0.112289E-01,1,0.186033E-02,-16.7110,0,1.77675,-7.14388,0,3.31412,1.25933,0,0.541638,-0.158651,0,0.735998E-01,-1.05568,-1.16355,0.163940,-0.258401E-01,0.388564E-10,0.279946E-12,18.5013,436.443,437.819,0.100000,0,133.295,3.14440,3.15432,0.100000,0,273.974,273.701,96559.5,1.22761,1006.85,0.235898E-01,-0.102806E-01,0.240197E-02,303.400,634.248,0.195663E-02,47.8362,330.848,263.882,1.12748,0.985314,0.284846E-01,1.49762,0.128167E-12,0.210020E-14,1.49762,3.52172,148.169,41.1505,1.08983,-9999,0.956396E-01,0.247879,4.44743,0.451946,2.33920,-0.141364,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.109343E-01,1.02694,-16.0919,1.05568,-4.37293,1.56073,1.43678,1.56073,-0.971138E-01,1.56073,800000099,800000099,800000099,800000099,800000099,800000099,800100199,800100199,80000,80000,80,81,4,0,2,3,9,10,0.233510,0.239171,0.230766E-01,0.169340,0.205429E-01,242.902,-0.130191E-01,0.143678E-02,-0.971138E-01,16.0000,0.00000,252.133,75.8303,2.61051,96795.2,1.20896
CH-CHA_202401010100.csv,2024-01-01,01:30,1.062,0,36000,36000,-0.105441E-01,1,0.114335E-02,-10.9990,1,2.10108,-8.63126,1,4.80164,-3.56373,2,4.71223,-0.191555,1,0.106564,-1.16604,-4.84395,-2.68961,-0.107503,-0.485382E-10,-0.156677E-12,16.5512,389.204,389.694,-1.00000,0,53.4257,1.25631,1.25789,0.100000,0,273.107,272.998,96559.5,1.23165,1005.82,0.235152E-01,-0.124128E-01,0.962731E-03,121.293,602.729,0.781661E-03,20.1240,481.436,252.771,0.935174,0.691762,0.385624E-01,1.16386,0.888376E-15,-0.293261E-14,1.16386,2.44432,150.761,36.4909,1.89874,-9999,0.925255E-01,0.156983,6.11636,0.328627,1.27433,-0.959589E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.103161E-01,1.02210,-10.8489,1.04567,-5.81691,1.46850,-2.00947,1.46850,-0.129096,1.46850,800000099,800000099,800000099,800000199,800000099,800100099,801100199,811110199,80100,80100,80,81,2,0,8,2,0,0,0.907564E-01,0.211971,0.112381E-01,0.235680,1.71526,881.864,-0.875742E-02,-0.200947E-02,-0.129096,16.0000,0.00000,253.587,84.9175,1.90133,96769.7,1.19851
CH-CHA_202401010100.csv,2024-01-01,02:00,1.083,0,36000,36000,-0.690703E-02,1,0.267054E-02,-2.73657,1,3.40774,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.87160,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,271.874,271.874,96559.5,1.23733,1005.14,0.234090E-01,-9999,-9999,-9999,555.201,-9999,-9999,-999900.,-9999,0.195016,0.437451,0.185744E-01,0.479311,-0.334035E-13,-0.700559E-14,0.479311,1.89729,113.541,65.9727,2.22090,-9999,0.747142E-01,0.246613,12.9413,0.155316,-9999,-0.294504E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.679062E-02,1.01714,-2.65100,1.03228,-9999,-9999,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800001199,800000199,800100199,801100199,811110199,80000,80000,80,81,0,0,2,2,0,0,0.222798,0.264489,0.593935E-02,0.400585,-9999,-9999,-0.213156E-02,-9999,-9999,16.0000,0.00000,255.000,93.7500,1.04226,96725.7,1.18650
CH-CHA_202401010100.csv,2024-01-01,02:30,1.104,0,36000,36000,-0.364738E-01,1,0.487283E-02,3.44818,1,3.51767,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.30565,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,270.497,270.497,96559.5,1.24363,1005.12,0.232904E-01,-9999,-9999,-9999,501.499,-9999,-9999,-999900.,-9999,0.826616E-02,-0.172012,0.182719E-01,0.173177,0.926389E-13,-0.824175E-15,0.173177,1.53496,270.435,272.751,6.05656,-9999,0.171256,0.210108,-123.685,-0.162510E-01,-9999,0.161077E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.350599E-01,1.04033,3.32254,1.03781,-9999,-9999,-9999,-9999,-9999,-9999,800000099,800100199,800000099,800001199,800000099,800101099,811110199,811110199,80000,81000,80,81,0,8,4,1,5,0,0.225873,0.189517,0.482693E-02,0.256429,-9999,-9999,0.265803E-02,-9999,-9999,16.0000,0.00000,255.000,93.7500,0.756889,96714.1,1.17507
CH-CHA_202401010100.csv,2024-01-01,03:00,1.124,0,36000,36000,-0.439132E-02,2,0.163328E-02,-5.33466,1,1.36661,-9999,-9999,-9999,-12.6587,1,17.4808,-9999,-9999,-9999,-0.810730,-9999,-9999,-9999,0.118670E-09,-9999,22.5153,523.452,523.452,10.0000,0,-9999,-9999,-9999,-9999,1,270.013,270.013,96559.5,1.24586,1005.11,0.232488E-01,-9999,-9999,-9999,483.774,-9999,-9999,-999900.,-9999,0.360333,0.292275,0.156986E-01,0.464232,-0.987237E-13,0.527064E-14,0.464232,1.91215,136.251,39.0464,1.93790,-9999,0.593695E-01,0.206389,3.33080,0.603459,-9999,-0.717562E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.425859E-02,1.03117,-5.02068,1.06254,-9999,-9999,-7.50823,1.63866,-9999,-9999,800000099,800100199,800000099,800000199,800000199,800010199,811110099,811110099,80000,80000,80,81,0,0,2,2,0,0,0.293915,0.116749,0.211496E-02,0.158484,36.1901,-9999,-0.400938E-02,-0.750823E-02,-9999,16.0000,0.00000,255.000,93.7500,0.457222,96719.2,1.17306
CH-CHA_202401010100.csv,2024-01-01,03:30,1.145,0,36000,36000,-0.318929E-01,1,0.333242E-02,-7.35427,1,1.61416,-9999,-9999,-9999,-3.29552,1,6.10684,-9999,-9999,-9999,0.564744,-9999,9.11932,-9999,0.162597E-09,-9999,29.2983,681.999,681.999,10.0000,0,-9999,-9999,-9999,-9999,1,270.350,270.350,96559.5,1.24430,1005.13,0.232778E-01,-9999,-9999,-9999,496.077,-9999,-9999,-999900.,-9999,-0.885621E-01,0.304989,0.348169E-01,0.319490,0.158371E-12,0.554971E-14,0.319490,2.45497,104.378,106.192,6.25633,-9999,0.160097,0.526874,47.3785,0.424243E-01,-9999,-0.367290E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.313746E-01,1.01652,-7.17492,1.02500,-9999,-9999,-2.14943,1.23673,-9999,-9999,800000099,800000199,800000099,800000199,800000199,800000199,801100099,811110099,80000,80000,80,81,0,1,1,0,0,0,0.118140,0.928635,0.697288E-02,0.609191E-01,0.790003,-9999,-0.573684E-02,-0.214943E-02,-9999,16.0000,0.00000,255.000,93.7500,1.14039,96733.3,1.18352
CH-CHA_202401010100.csv,2024-01-01,04:00,1.166,0,36000,36000,-0.102793E-01,1,0.180788E-02,-7.40021,1,1.45316,-9999,-9999,-9999,44.7917,1,10.6741,-9999,-9999,-9999,0.355010,-9999,-7.90158,-9999,-0.767431E-10,-9999,23.3737,544.516,544.516,0.450000,0,-9999,-9999,-9999,-9999,1,270.562,270.562,96559.5,1.24333,1005.12,0.232961E-01,-9999,-9999,-9999,503.958,-9999,-9999,-999900.,-9999,-0.834051,-0.460461,0.324871E-01,0.953269,-0.182367E-12,-0.328331E-14,0.953269,2.74075,346.825,208.902,1.95300,-9999,0.909263E-01,0.317638,8.62567,0.233025,-9999,-0.651252E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.100942E-01,1.01834,-7.13239,1.03755,-9999,-9999,32.6350,1.38818,-9999,-9999,800000099,800000199,800000099,800000199,800000199,800100199,810110099,811110099,80000,80000,80,81,2,0,4,0,0,0,0.290741,0.336522,0.801356E-02,0.968878E-01,7.22502,-9999,-0.570729E-02,0.326350E-01,-9999,16.0000,0.00000,255.000,93.7500,1.75144,96785.5,1.18935
CH-CHA_202401010100.csv,2024-01-01,04:30,1.187,0,36000,36000,-0.504431E-01,1,0.806387E-02,-8.97923,1,3.76657,-9999,-9999,-9999,9.16697,1,8.21068,-9999,-9999,-9999,2.19921,-9999,-10.4189,-9999,-0.191166E-09,-9999,15.4784,362.346,362.346,3.70000,0,-9999,-9999,-9999,-9999,1,271.883,271.883,96559.5,1.23729,1005.14,0.234098E-01,-9999,-9999,-9999,555.568,-9999,-9999,-999900.,-9999,-0.354331,0.523964,0.512661E-01,0.634600,-0.314619E-12,-0.123505E-13,0.634600,4.15119,75.6631,124.069,4.63369,-9999,0.201914,0.752266,77.8458,0.258203E-01,-9999,-0.357581E-01,0,36.9484,-5.60706,12.6832,31.5829,48.1659,67.5534,101.207,-0.498275E-01,1.01235,-8.78804,1.02176,-9999,-9999,7.85240,1.21976,-9999,-9999,800000099,800000199,800000099,800000199,800001199,800101199,800110099,801110099,80000,81000,80,81,0,1,6,10,11,0,0.408941,1.06969,0.258962E-01,0.286296,1.10185,-9999,-0.706634E-02,0.785240E-02,-9999,16.0000,0.00000,255.000,93.7500,2.41094,96816.5,1.20101
CH-CHA_202401010100.csv,2024-01-01,05:00,1.208,0,36000,36000,-0.826008E-02,2,0.173313E-02,-10.7808,0,1.73625,-9999,-9999,-9999,-19.9057,1,12.8939,-9999,-9999,-9999,1.01878,-9999,1.93294,-9999,0.455574E-10,-9999,16.8873,396.219,396.219,10.0000,0,-9999,-9999,-9999,-9999,1,272.496,272.496,96559.5,1.23450,1005.15,0.234626E-01,-9999,-9999,-9999,581.085,-9999,-9999,-999900.,-9999,1.41448,0.735503,0.605322E-01,1.59543,-0.131317E-14,0.269773E-14,1.59543,3.44443,158.449,27.4736,2.17439,-9999,0.817987E-01,0.507517,4.31087,0.466263,-9999,-0.106214,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.803907E-02,1.02749,-10.2012,1.05682,-9999,-9999,-12.3457,1.56875,-9999,-9999,800000099,800000099,800000099,800000199,800001199,800011199,800010199,800110199,81100,81100,80,80,0,0,2,5,2,0,0.320301,0.677120,0.176138E-01,0.111710,5.63103,-9999,-0.822106E-02,-0.123457E-01,-9999,16.0000,0.00000,255.000,93.7500,2.55447,96849.1,1.20234
