file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,,custom_variables,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,h2o_strg,ch4_strg,n2o_strg,h2o_v-adv,ch4_v-adv,n2o_v-adv,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean,cell_t_mean,int_p_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--
CH-CHA_201801010100.csv,2018-01-01,01:30,1.0624,0,36000,36000,-0.741323E-01,1,0.109963E-01,-21.6590,1,4.79909,-2.40278,1,2.44590,-0.538553E-01,1,0.548218E-01,0.599824E-01,1,0.356634E-01,0.381123E-02,1,0.196200E-02,-9999,-9999,-9999,-9999,-9999,-0.201150E-11,-0.874753E-12,-0.112780E-12,236.815,5.78882,5.82253,0.150000,0,0.102985,2.51742,2.53207,3.25000,0,0.132776E-01,0.324564,0.326454,5.00000,0,283.901,283.380,96559.5,1.18450,1008.44,0.244445E-01,-0.348983E-02,0.426740E-02,558.088,1243.20,0.360270E-02,44.8914,685.108,271.909,-0.179727,0.286999,0.501378E-01,0.342322,-0.436248E-13,-0.849399E-14,0.342322,3.91533,57.0708,122.056,8.42206,-9999,0.250170,0.618650,61.4501,0.327095E-01,9.01412,0.724794E-01,0,56.1435,-8.52000,19.2723,47.9906,73.1888,102.648,153.786,-0.729727E-01,1.01589,-21.3058,1.02401,-1.95948,1.22623,-0.439193E-01,1.22623,0.489159E-01,1.22623,0.310808E-02,1.22623,800009000,800009111,800009000,800009011,800109111,800109111,810119111,811119111,80000,80000,80,81,0,0,1,2,0,0,0,0.487847,0.735314,0.141400E-01,0.173597,0.260314,0.219412,0.152840E-03,-0.178365E-01,-0.107983E-02,0.120268E-02,0.764171E-04,21.0139,97.1183,0.761402,296.164,3465.89
CH-CHA_201801010100.csv,2018-01-01,02:00,1.0833,0,36000,36000,-0.429452E-01,0,0.266073E-02,-60.9899,0,9.89922,-17.9482,1,5.23675,-0.402790,1,0.117522,-0.233312,0,0.685303E-01,-0.641267E-02,0,0.217140E-02,2.08284,1.07945,0.242249E-01,-0.427673E-02,-0.841269E-04,-0.234963E-11,-0.905986E-12,-0.120460E-12,256.354,6.29640,6.33630,2.15000,0,0.988468E-01,2.42781,2.44319,1.70000,0,0.131427E-01,0.322801,0.324846,0.800000,0,285.257,284.688,96559.5,1.17883,1008.75,0.245613E-01,-0.261008E-01,0.461951E-02,606.925,1356.20,0.391872E-02,44.7520,749.273,273.058,1.82270,0.744348,0.707797E-01,1.97010,0.387035E-13,-0.916556E-14,1.97010,4.79897,165.029,22.2140,2.05891,-9999,0.190867,0.401211,9.69251,0.207377,3.39811,0.268715,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.421499E-01,1.01887,-59.5272,1.03984,-12.7257,1.41039,-0.285588,1.41039,-0.165424,1.41039,-0.454675E-02,1.41039,800009000,800009111,800009000,800009011,800119111,800119111,800109011,800109111,80110,80110,80,80,22,26,22,57,0,0,0,0.312561,0.433982,0.558787E-01,0.961764,0.344846,0.315526,0.186493E-03,-0.500589E-01,-0.705879E-02,-0.408873E-02,-0.112380E-03,21.1739,97.0605,0.761105,296.173,3465.49
CH-CHA_201801010100.csv,2018-01-01,02:30,1.1041,0,36000,36000,-0.106223,1,0.188028E-01,-79.8346,0,21.3839,-15.1118,0,6.31560,-0.340906,0,0.142474,0.305994,1,0.108153,0.105476E-01,1,0.356853E-02,8.46944,2.33819,0.527472E-01,-0.225510E-01,-0.652411E-03,-0.944146E-12,-0.247531E-12,-0.392850E-13,296.474,7.42304,7.47855,2.05000,0,0.777279E-01,1.94613,1.96069,3.15000,0,0.123360E-01,0.308866,0.311176,1.70000,0,290.791,290.107,96559.5,1.15632,1009.48,0.250378E-01,-0.220907E-01,0.534245E-02,715.268,1926.40,0.462022E-02,37.1298,1211.13,275.339,1.48133,-2.09208,0.408210E-01,2.56375,0.365273E-12,-0.318459E-14,2.56375,8.29343,236.574,305.301,0.912322,-9999,0.303089,1.78048,29.6584,0.677718E-01,5.28295,0.225656,0,27.6612,-4.19769,9.49518,23.6443,36.0591,50.5734,75.7682,-0.104779,1.01378,-78.3978,1.03001,-11.5821,1.30475,-0.261282,1.30475,0.234524,1.30475,0.808400E-02,1.30475,800009000,800009111,800009000,800009011,800009111,800109111,800009111,800009111,80000,80000,80,81,9,0,11,7,0,0,0,2.14863,1.29053,0.121811,2.75836,0.316124,0.376470,0.221419E-03,-0.671628E-01,-0.659073E-02,0.591577E-02,0.203916E-03,21.1883,97.0543,0.760546,296.182,3460.08
CH-CHA_201801010100.csv,2018-01-01,03:00,1.1249,0,36000,36000,-0.229232,1,0.156799E-01,-63.0299,0,11.7825,17.2808,1,6.07734,0.389758,1,0.137071,-0.358776,0,0.113016,0.653340E-02,0,0.308680E-02,-0.331897,0.127607,0.287810E-02,-0.648757E-02,-0.208124E-03,-0.183315E-11,-0.442746E-12,-0.745617E-13,299.140,7.48447,7.54091,3.30000,0,0.722488E-01,1.80766,1.82129,0.350000,0,0.121672E-01,0.304424,0.306719,4.55000,0,290.584,289.895,96559.5,1.15714,1009.51,0.250199E-01,0.252563E-01,0.539050E-02,721.173,1900.63,0.465847E-02,37.9440,1179.45,275.454,2.64756,-4.53426,0.466690E-01,5.25083,0.276175E-13,-0.612807E-14,5.25083,11.2803,245.879,300.281,0.509248,-9999,0.445086,2.68868,118.965,0.168958E-01,-3.64740,0.121229,0,27.0903,-4.11106,9.29923,23.1564,35.3150,49.5298,74.2046,-0.225549,1.01633,-60.1168,1.03736,12.9277,1.33673,0.291576,1.33673,-0.268399,1.33673,0.488761E-02,1.33673,800009000,800009111,800009000,800009011,800009111,800009111,800009111,800009111,80000,80000,80,80,25,5,15,3,0,0,0,2.77164,2.32896,0.276744,1.46892,0.190575,0.219046,0.129613E-03,-0.514636E-01,0.735011E-02,-0.676585E-02,0.123208E-03,21.2161,97.0447,0.761022,296.194,3453.77
CH-CHA_201801010100.csv,2018-01-01,03:30,1.1458,0,36000,36000,-0.159861,1,0.144401E-01,-63.4364,0,5.36708,19.4593,0,7.09094,0.437616,0,0.159466,0.373864,0,0.154244,-0.878689E-02,0,0.376667E-02,-4.78953,0.167089,0.375761E-02,0.395035E-02,0.533609E-03,0.104558E-11,0.261414E-12,0.436397E-13,305.498,7.56384,7.62148,3.65000,0,0.763802E-01,1.89110,1.90551,3.70000,0,0.127507E-01,0.315694,0.318101,4.00000,0,287.553,286.865,96559.5,1.16933,1009.48,0.247590E-01,0.283575E-01,0.550508E-02,728.802,1564.28,0.470789E-02,46.5903,835.477,275.602,3.01730,-3.45144,0.669867E-01,4.58487,0.540770E-12,0.342253E-14,4.58487,12.0912,234.892,311.160,0.837143,-9999,0.369745,2.65039,67.7605,0.296633E-01,-3.25995,0.145345,0,22.8894,-3.47355,7.85719,19.5655,29.8386,41.8491,62.6976,-0.157373,1.01581,-60.5142,1.03576,14.6194,1.33106,0.328771,1.33106,0.280876,1.33106,-0.660140E-02,1.33106,800009000,800009111,800009000,800009011,800009111,800009111,800009111,800009111,80000,80000,80,81,26,11,12,1,0,0,0,2.50577,2.50397,0.291034,0.211785,0.216554,0.336694,0.165681E-03,-0.512651E-01,0.820196E-02,0.700711E-02,-0.164687E-03,21.2906,97.0181,0.761354,296.180,3456.78
CH-CHA_201801010100.csv,2018-01-01,04:00,1.1666,0,36000,36000,-0.124879,1,0.132712E-01,-89.3394,1,15.1510,-19.3543,0,6.97425,-0.434734,0,0.156655,-0.401071,0,0.147096,0.118406E-01,0,0.370435E-02,-1.97243,-0.547778,-0.123042E-01,0.216090E-03,0.603697E-05,-0.308825E-11,-0.801387E-12,-0.133514E-12,296.356,7.30510,7.35886,4.80000,0,0.769032E-01,1.89564,1.90959,4.40000,0,0.128124E-01,0.315821,0.318145,4.80000,0,286.284,285.622,96559.5,1.17453,1009.32,0.246497E-01,-0.281708E-01,0.534034E-02,703.930,1442.27,0.454678E-02,48.8072,738.337,275.115,3.01729,-1.95498,0.684668E-01,3.59592,0.186944E-12,-0.104207E-13,3.59592,9.63323,220.210,327.060,1.09098,-9999,0.326071,1.98561,32.9970,0.609146E-01,4.61601,0.231120,0,22.8914,-3.47386,7.85788,19.5672,29.8413,41.8528,62.7031,-0.122954,1.01566,-87.4155,1.03464,-14.5000,1.33478,-0.325697,1.33478,-0.300477,1.33478,0.887083E-02,1.33478,800009000,800009111,800009000,800009011,800009111,800109111,800009111,800009111,80111,80111,80,80,15,15,13,3,0,0,0,1.86963,1.87530,0.226292,0.835806,0.240424,0.371331,0.179840E-03,-0.737389E-01,-0.808732E-02,-0.746108E-02,0.220270E-03,21.1144,97.0818,0.761292,296.147,3460.04
CH-CHA_201801010100.csv,2018-01-01,04:30,1.1874,0,36000,36000,-0.662220E-01,1,0.858967E-02,-34.9388,0,5.04182,-19.2447,0,7.47754,-0.431431,0,0.167632,-0.693277,0,0.154637,0.122105E-01,0,0.403693E-02,-3.25725,0.533571,0.119616E-01,0.840001E-03,-0.306293E-04,0.250092E-12,0.633329E-13,0.104336E-13,308.666,7.55486,7.61237,1.90000,0,0.781662E-01,1.91318,1.92775,1.80000,0,0.128773E-01,0.315182,0.317581,3.20000,0,284.265,283.584,96559.5,1.18286,1009.41,0.244758E-01,-0.279567E-01,0.556216E-02,727.939,1260.24,0.470230E-02,57.7620,532.299,275.585,3.29231,-0.616156,0.104050,3.35108,0.173245E-12,0.810235E-15,3.35108,7.97627,196.960,349.400,1.77930,-9999,0.236611,1.18523,32.2385,0.623477E-01,1.81550,0.123672,0,20.6914,-3.14000,7.10268,17.6867,26.9733,37.8304,56.6769,-0.652290E-01,1.01522,-34.7434,1.03358,-14.4876,1.32836,-0.324785,1.32836,-0.521905,1.32836,0.919220E-02,1.32836,800009000,800009111,800009000,800009011,800009111,800009111,800009111,800009111,80111,80111,80,81,12,27,5,2,0,0,0,0.916880,1.30018,0.153398,0.207181,0.341869,0.544512,0.279477E-03,-0.290985E-01,-0.800977E-02,-0.128711E-01,0.226696E-03,21.0998,97.0881,0.369726,295.733,3455.64
CH-CHA_201801010100.csv,2018-01-01,05:00,1.2082,0,36000,36000,-0.812113E-01,1,0.105278E-01,-35.2943,1,20.3903,7.00317,0,4.76368,0.156946,0,0.106758,0.279647,0,0.103185,-0.729249E-02,0,0.279336E-02,-0.548197,-0.272373,-0.610408E-02,-0.120507E-02,0.229967E-04,-0.224614E-11,-0.570959E-12,-0.954580E-13,303.844,7.42757,7.48315,0.950000,0,0.772358E-01,1.88805,1.90218,4.25000,0,0.129130E-01,0.315661,0.318024,1.00000,0,283.910,283.242,96559.5,1.18435,1009.34,0.244453E-01,0.101701E-01,0.547528E-02,715.703,1231.72,0.462303E-02,58.1061,516.015,275.348,3.51193,-1.66025,0.645117E-01,3.88513,-0.149070E-12,-0.739241E-14,3.88513,8.89679,212.430,334.698,0.951427,-9999,0.261860,1.26882,43.2583,0.464651E-01,-5.03976,0.112751,0,21.3736,-3.24353,7.33688,18.2699,27.8627,39.0778,58.5457,-0.799825E-01,1.01536,-33.8925,1.03430,5.27622,1.32731,0.118244,1.32731,0.210688,1.32731,-0.549420E-02,1.32731,800009000,800009111,800009000,800009011,800019111,800019111,800019111,800019111,80000,80000,80,80,26,21,5,7,0,0,0,1.37509,0.989302,0.173247,3.03085,0.150646,0.230706,0.121206E-03,-0.283523E-01,0.291209E-02,0.518878E-02,-0.135310E-03,21.1311,97.0775,0.761979,296.150,3454.40
CH-CHA_201801010100.csv,2018-01-01,05:30,1.2291,0,36000,36000,-0.123918,0,0.120536E-01,-44.5541,0,8.47993,-9.40589,0,6.80050,-0.211120,0,0.152641,-0.313177,0,0.101616,0.804749E-02,0,0.283558E-02,2.57670,-1.62818,-0.365454E-01,0.207372E-03,-0.173061E-04,0.248048E-12,0.704679E-13,0.117409E-13,271.014,6.66129,6.70596,3.45000,0,0.769923E-01,1.89240,1.90509,0.500000E-01,0,0.128279E-01,0.315299,0.317413,3.45000,0,285.463,284.861,96559.5,1.17795,1008.95,0.245791E-01,-0.136806E-01,0.488368E-02,642.023,1371.79,0.414590E-02,46.8018,729.768,273.834,3.68034,-1.58661,0.905753E-01,4.00879,0.193489E-13,0.915259E-15,4.00879,9.40753,210.113,336.679,1.29466,-9999,0.324342,1.14353,65.1099,0.308709E-01,4.73683,0.115581,0,25.1823,-3.82151,8.64427,21.5254,32.8277,46.0413,68.9782,-0.122128,1.01465,-43.6487,1.03300,-7.16062,1.31356,-0.160724,1.31356,-0.238419,1.31356,0.612647E-02,1.31356,800009000,800009111,800009000,800009011,800009111,800009111,800009111,800009111,80111,80111,80,80,23,13,8,1,0,0,0,1.27253,0.838125,0.176398,0.559072,0.364057,0.298904,0.164229E-03,-0.367260E-01,-0.397689E-02,-0.589933E-02,0.151591E-03,21.2094,97.0477,0.761547,296.163,3462.81
CH-CHA_201801010100.csv,2018-01-01,06:00,1.2499,0,36000,36000,-0.988127E-01,1,0.107788E-01,-38.2633,0,2.85012,-12.1031,0,5.27166,-0.271940,0,0.118447,-0.195122,0,0.760176E-01,0.995107E-02,0,0.250952E-02,1.69868,-1.23188,-0.276787E-01,-0.537149E-03,0.206278E-04,-0.549606E-12,-0.170075E-12,-0.285463E-13,246.437,6.07885,6.11602,0.150000,0,0.762597E-01,1.88110,1.89260,0.500000E-01,0,0.127998E-01,0.315733,0.317664,0.250000,0,286.484,285.933,96559.5,1.17380,1008.65,0.246670E-01,-0.176217E-01,0.444079E-02,585.995,1472.02,0.378327E-02,39.8089,886.026,272.576,3.05355,-2.07914,0.474131E-01,3.69449,0.550040E-13,-0.223021E-14,3.69449,9.48188,221.175,325.749,0.735323,-9999,0.290142,1.64459,54.2678,0.370385E-01,3.16144,0.111388,0,22.3957,-3.39863,7.68770,19.1435,29.1950,40.9464,61.3452,-0.974110E-01,1.01439,-37.6932,1.03221,-9.23556,1.31049,-0.207510,1.31049,-0.148892,1.31049,0.759340E-02,1.31049,800009000,800009111,800009000,800009011,800009111,801109111,800009111,800009111,80111,80111,80,80,8,21,9,5,0,0,0,1.41382,1.68612,0.189250,0.590417E-01,0.136843,0.117024,0.775535E-04,-0.318367E-01,-0.514991E-02,-0.369514E-02,0.188450E-03,20.9167,97.1556,0.762261,296.170,3463.45
CH-CHA_201801010100.csv,2018-01-01,06:30,1.2707,0,36000,36000,-0.514182E-01,0,0.567094E-02,-27.2657,0,2.64535,-12.5564,0,5.06021,-0.282216,0,0.113732,-0.236575,0,0.967915E-01,0.555187E-02,0,0.250381E-02,0.527422,0.419122,0.942011E-02,0.123115E-02,0.125522E-04,-0.408522E-12,-0.124108E-12,-0.205648E-13,254.170,6.27732,6.31697,0.550000,0,0.772165E-01,1.90704,1.91908,0.500000E-01,0,0.127948E-01,0.315997,0.317993,4.25000,0,286.836,286.266,96559.5,1.17234,1008.77,0.246973E-01,-0.182876E-01,0.458015E-02,605.089,1504.45,0.390683E-02,40.2200,899.359,273.016,2.79472,-1.26877,0.633935E-01,3.06989,0.318849E-13,-0.160728E-14,3.06989,6.79519,211.685,335.582,1.18325,-9999,0.209426,0.622779,28.6410,0.701791E-01,2.17146,0.110088,0,22.0546,-3.34687,7.57064,18.8520,28.7504,40.3229,60.4110,-0.506575E-01,1.01502,-27.0159,1.03294,-9.46695,1.32634,-0.212777,1.32634,-0.178366,1.32634,0.418585E-02,1.32634,800009000,800009111,800009000,800009011,800009111,801009111,800009111,800019111,80000,80000,80,80,7,11,6,5,0,0,0,0.546159,0.596943,0.102456,0.746849E-01,0.304155,0.332395,0.177320E-03,-0.228440E-01,-0.528816E-02,-0.443294E-02,0.104031E-03,21.1106,97.0845,0.762449,296.174,3467.36
CH-CHA_201801010100.csv,2018-01-01,07:00,1.2916,0,35990,35990,-0.549252E-01,1,0.669280E-02,-28.8350,0,3.10328,-16.0218,0,6.99617,-0.360388,0,0.157369,-0.280322,0,0.118513,0.739864E-02,0,0.264469E-02,1.29585,-0.292773,-0.658550E-02,0.559951E-03,-0.182040E-04,0.704972E-12,0.220383E-12,0.362482E-13,247.837,6.13818,6.17609,1.40000,0,0.774768E-01,1.91887,1.93072,1.25000,0,0.127433E-01,0.315612,0.317562,1.70000,0,287.646,287.087,96559.5,1.16905,1008.71,0.247670E-01,-0.233531E-01,0.446602E-02,591.703,1587.06,0.382021E-02,37.2829,995.361,272.709,2.38630,-1.38916,0.362961E-01,2.76143,0.774294E-13,0.284450E-14,2.76143,6.08685,217.868,329.795,0.753113,-9999,0.216755,0.675241,30.0259,0.669423E-01,1.79973,0.112811,0,22.1316,-3.35855,7.59705,18.9177,28.8507,40.4635,60.6218,-0.541568E-01,1.01419,-28.7561,1.03102,-12.2118,1.31200,-0.274687,1.31200,-0.213661,1.31200,0.563923E-02,1.31200,800009000,800009111,800009000,800009011,800009111,800009111,800009111,800009111,80111,80111,80,80,20,10,3,4,0,0,0,0.745801,0.495880,0.108801,0.992809E-01,0.465223,0.460663,0.251905E-03,-0.243853E-01,-0.684511E-02,-0.532437E-02,0.140528E-03,20.8741,97.1704,0.762322,296.178,3465.80
CH-CHA_201801010700.csv,2018-01-01,07:30,1.3124,0,36000,36000,-0.266294E-01,0,0.339216E-02,-26.5633,0,1.97385,-15.6548,0,5.42865,-0.352256,0,0.122152,-0.245759,0,0.852128E-01,0.787822E-02,0,0.248217E-02,0.575044,-0.280580,-0.631344E-02,0.320564E-03,0.158311E-04,-0.121323E-11,-0.389076E-12,-0.638370E-13,242.147,6.00462,6.04089,1.90000,0,0.776552E-01,1.92565,1.93728,1.10000,0,0.127411E-01,0.315947,0.317856,1.50000,0,287.999,287.451,96559.5,1.16763,1008.65,0.247974E-01,-0.228262E-01,0.436349E-02,578.853,1625.04,0.373706E-02,35.6209,1046.18,272.408,2.46642,-0.954264,0.349111E-01,2.64481,0.638041E-13,-0.501030E-14,2.64481,5.32584,207.316,338.848,0.756317,-9999,0.151018,0.389001,11.0232,0.182343,1.69681,0.149352,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.261138E-01,1.01974,-26.2029,1.04204,-11.0116,1.42167,-0.247776,1.42167,-0.172866,1.42167,0.554152E-02,1.42167,800009000,800009111,800009000,800009011,800009111,800009111,800009111,800009111,80111,80111,80,80,22,8,4,2,0,0,0,0.378008,0.338722,0.612732E-01,0.834612E-01,0.466498,0.450458,0.243985E-03,-0.222488E-01,-0.618125E-02,-0.431248E-02,0.138244E-03,21.2339,97.0381,0.760795,296.189,3468.06
CH-CHA_201801010700.csv,2018-01-01,08:00,1.3332,0,36000,36000,-0.338834E-01,0,0.358534E-02,-28.7570,0,3.33257,9.88970,0,4.28162,0.222608,0,0.963752E-01,-0.160279,0,0.672589E-01,0.505756E-02,0,0.206659E-02,0.556416,-0.455868,-0.102612E-01,-0.231216E-02,-0.240082E-03,0.782614E-12,0.253782E-12,0.420378E-13,233.113,5.78730,5.82099,2.50000,0,0.755928E-01,1.87668,1.88760,4.30000,0,0.125216E-01,0.310863,0.312672,4.80000,0,288.333,287.805,96559.5,1.16629,1008.54,0.248262E-01,0.144250E-01,0.420070E-02,557.942,1662.59,0.360176E-02,33.5587,1104.65,271.906,1.17365,-2.10121,0.168881E-01,2.40683,-0.109745E-13,0.335723E-14,2.40683,5.35964,248.965,299.186,0.402032,-9999,0.170447,0.761065,14.6392,0.137302,-2.90777,0.143435,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.333281E-01,1.01666,-27.3791,1.03572,7.25425,1.36330,0.163286,1.36330,-0.117567,1.36330,0.370980E-02,1.36330,800009000,800009111,800009000,800009011,800009111,800109111,800009111,800009111,80000,80000,80,81,23,20,14,1,0,0,0,0.380610,1.07284,0.686819E-01,0.193043,0.258165,0.235292,0.146240E-03,-0.232766E-01,0.407733E-02,-0.293571E-02,0.926355E-04,20.8783,97.1707,0.763633,296.202,3468.33
CH-CHA_201801010700.csv,2018-01-01,08:30,1.3541,1,36000,36000,-0.204126,1,0.161567E-01,-65.9424,0,9.00213,10.3281,0,6.34789,0.232500,0,0.142900,0.222409,0,0.106148,-0.510690E-02,0,0.303947E-02,0.176734,0.787200,0.177210E-01,0.144497E-02,0.260555E-03,-0.643682E-12,-0.199210E-12,-0.330451E-13,248.112,6.16280,6.20102,0.200000,0,0.767870E-01,1.90730,1.91912,4.20000,0,0.127375E-01,0.316384,0.318346,4.95000,0,288.480,287.917,96559.5,1.16567,1008.74,0.248388E-01,0.150660E-01,0.447098E-02,594.072,1674.66,0.383554E-02,35.4742,1080.59,272.764,1.53407,-4.95799,0.296858E-01,5.18998,-0.644971E-13,-0.259432E-14,5.18998,14.9067,260.517,287.193,0.327724,-9999,0.418467,2.80154,94.4793,0.212745E-01,-6.38477,0.134013,0,27.9636,-4.24358,9.59899,23.9028,36.4533,51.1263,76.5965,-0.200800,1.01656,-63.2031,1.03776,7.70199,1.34096,0.173383,1.34096,0.165858,1.34096,-0.380839E-02,1.34096,800009000,800009111,800009000,800009011,800009111,800109111,800009111,800009111,80111,80111,80,80,32,12,14,0,0,0,0,3.45673,1.92038,0.225977,0.752355,0.417595,0.274061,0.150279E-03,-0.537505E-01,0.433329E-02,0.414521E-02,-0.951814E-04,21.1994,97.0512,0.760988,296.198,3468.03
CH-CHA_201801010700.csv,2018-01-01,09:00,1.3749,1,36000,36000,-0.146198,1,0.108151E-01,-60.1425,0,6.97932,-22.0529,0,4.45564,-0.495194,0,0.100051,-0.329555,0,0.813588E-01,0.920284E-02,0,0.208742E-02,-4.17040,0.940006,0.211077E-01,-0.359979E-03,0.376706E-05,-0.424183E-11,-0.121985E-11,-0.203205E-12,268.366,6.60605,6.64998,3.15000,0,0.771755E-01,1.89974,1.91237,2.65000,0,0.128561E-01,0.316463,0.318567,3.15000,0,285.890,285.292,96559.5,1.17620,1008.93,0.246158E-01,-0.320886E-01,0.483595E-02,636.710,1411.34,0.411151E-02,45.1137,774.634,273.719,1.95735,-4.51537,0.435835E-01,4.92156,0.244664E-12,-0.158061E-13,4.92156,10.8254,254.894,293.436,0.507397,-9999,0.352558,1.85549,61.9491,0.324460E-01,2.72719,0.143751,0,26.0574,-3.95431,8.94466,22.2735,33.9685,47.6412,71.3753,-0.143769,1.01689,-59.0295,1.03816,-16.3602,1.34796,-0.367366,1.34796,-0.244485,1.34796,0.682724E-02,1.34796,800009000,800009111,800009000,800009011,800009111,800009111,800009111,800009111,80111,80111,80,81,41,7,14,0,0,0,0,1.89746,1.62216,0.191363,0.481046,0.153694,0.167393,0.932007E-04,-0.497426E-01,-0.910304E-02,-0.605814E-02,0.169174E-03,21.0706,97.0980,0.761631,296.151,3471.99
