file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,,custom_variables,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,h2o_strg,ch4_strg,n2o_strg,h2o_v-adv,ch4_v-adv,n2o_v-adv,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--
not_enough_data,2012-01-17,23:30,17.979,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
CH-CHA_201201172321.csv,2012-01-18,00:00,18.0000,0,36000,36000,0.696744E-02,1,0.105233E-02,-0.499761,2,2.16989,0.128730,2,0.175393,0.288068E-02,2,0.392487E-02,0.299112E-02,2,0.241771E-02,0.466684E-03,1,0.317522E-03,-9999,-9999,-9999,-9999,-9999,-0.169857E-11,-0.132692E-11,-0.170487E-12,137.840,3.34681,3.35805,0.700000,0,0.107680,2.61451,2.62329,5.00000,0,0.138351E-01,0.335921,0.337049,5.00000,0,281.995,281.696,96559.5,1.19268,1007.09,0.242804E-01,0.186668E-03,0.248388E-02,322.910,1109.99,0.208260E-02,29.0912,787.080,264.678,0.588478E-01,0.838903E-01,-0.841833E-02,0.102818,-0.527555E-13,-0.123228E-13,0.102818,0.516624,132.247,54.9509,-4.69641,-9999,0.764319E-01,0.272454E-01,75.9153,0.264769E-01,-3.88224,0.544372E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.674384E-02,1.03316,-0.478686,1.03199,0.104327,1.23391,0.233459E-02,1.23391,0.242409E-02,1.23391,0.378215E-03,1.23391,800009000,800109000,800009000,800009011,800019111,800019111,811119111,811119111,80000,80000,80,81,0,0,0,3,1,0,0,0.454760E-01,0.798214E-02,0.103269E-02,0.213903,0.149561E-02,0.342749E-03,0.593603E-05,-0.398527E-03,0.568750E-04,0.590554E-04,0.921404E-05,13.9957,96.5119,0.509170
CH-CHA_201201172321.csv,2012-01-18,00:30,18.0208,0,36000,36000,0.137196E-02,1,0.305493E-03,-3.26944,2,5.06573,-0.483999E-01,2,0.585466E-01,-0.107688E-02,2,0.130264E-02,-0.105289E-01,1,0.165168E-02,-0.196926E-02,1,0.211918E-03,-9.89774,-0.322598,-0.717766E-02,0.755009E-03,0.516363E-04,0.890042E-13,0.731149E-13,0.936850E-14,134.735,3.20132,3.21161,3.80000,0,0.110682,2.62981,2.63826,0.500000E-01,0,0.141821E-01,0.336968,0.338050,0.500000E-01,0,275.952,275.672,96559.5,1.21881,1006.91,0.237601E-01,-0.697816E-04,0.242793E-02,308.887,730.554,0.199205E-02,42.2812,421.667,264.111,-0.138379,0.160810,0.647667E-02,0.212251,0.290440E-13,0.660586E-15,0.212251,0.536377,63.5724,130.712,1.74860,-9999,0.335508E-01,0.230629E-01,0.981403,2.04809,67.5505,0.794046E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.127976E-02,1.07204,-2.86435,1.14304,-0.200167E-01,2.41798,-0.445362E-03,2.41798,-0.435441E-02,2.41798,-0.814425E-03,2.41798,800009000,800109000,800009000,800009011,800009011,810009011,811119111,811119111,80111,80111,80,81,0,0,0,0,5,0,0,0.298108E-01,0.159952E-01,0.319868E-03,8.18892,0.244536E-02,0.774165E-03,0.135681E-04,-0.233400E-02,-0.106158E-04,-0.103793E-03,-0.194129E-04,13.9980,96.5094,0.508154
CH-CHA_201201172321.csv,2012-01-18,01:00,18.0416,0,36000,36000,0.853160E-03,2,0.397125E-03,0.802429E-02,2,0.461422E-01,-0.951277E-01,2,0.104185,-0.212507E-02,2,0.232741E-02,-0.292948E-02,1,0.128283E-02,-0.803553E-04,2,0.125143E-03,6.83211,0.976621E-01,0.218169E-02,0.196993E-02,0.937535E-04,-0.898825E-12,-0.739376E-12,-0.938350E-13,134.562,3.24622,3.25680,0.100000,0,0.110692,2.67035,2.67905,5.00000,0,0.140480E-01,0.338897,0.340001,0.500000E-01,0,280.182,279.893,96559.5,1.20041,1007.00,0.241243E-01,-0.137705E-03,0.242482E-02,313.215,981.495,0.202000E-02,31.9120,668.280,264.288,-0.273091,0.206322,0.134976E-01,0.342534,0.349595E-13,-0.667961E-14,0.342534,0.729452,47.0804,142.929,2.25834,-9999,0.266595E-01,0.295986E-01,-200.629,-0.100185E-01,-0.843528E-01,-0.248998E-03,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.832758E-03,1.02450,0.315161E-02,1.02725,-0.805028E-01,1.18167,-0.179837E-02,1.18167,-0.247910E-02,1.18167,-0.680015E-04,1.18167,800009000,800109000,800009000,800009011,800009001,800019001,811119111,811119111,80111,80111,80,81,3,6,2,8,4,0,0,0.471423E-01,0.116540E-01,0.400994E-03,0.281273E-01,0.213637E-02,0.434993E-03,0.146663E-04,0.260719E-05,-0.435255E-04,-0.600012E-04,-0.164583E-05,14.0000,96.5081,0.508056
CH-CHA_201201172321.csv,2012-01-18,01:30,18.0624,0,36000,36000,0.964067E-03,1,0.452568E-03,1.09375,1,0.338894,0.585835,1,0.161961,0.130862E-01,1,0.361783E-02,-0.406203E-02,2,0.188915E-01,-0.126861E-02,1,0.209065E-03,-0.114639,-0.763349E-01,-0.170514E-02,0.831447E-02,-0.132829E-04,-0.637605E-12,-0.564193E-12,-0.672373E-13,133.143,3.21114,3.22148,3.60000,0,0.117814,2.84142,2.85057,5.00000,0,0.140404E-01,0.338624,0.339715,0.500000E-01,0,280.108,279.822,96559.5,1.20073,1006.98,0.241179E-01,0.847985E-03,0.239924E-02,309.833,976.726,0.199816E-02,31.7216,666.893,264.150,0.423806,0.190434,0.160032E-01,0.464901,-0.564683E-13,-0.478886E-14,0.464901,1.12792,156.944,24.1964,1.97267,-9999,0.283356E-01,0.342410E-01,-1.76735,-1.13730,1.86699,-0.319242E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.945276E-03,1.01988,1.09778,1.02424,0.497471,1.17763,0.111123E-01,1.17763,-0.344934E-02,1.17763,-0.107726E-02,1.17763,800009000,800109000,800009000,800009011,800009000,800009010,811119111,811119111,80000,80000,80,81,0,1,4,1,2,0,0,0.504302E-01,0.175780E-01,0.473835E-03,0.329766E-01,0.315001E-02,0.683292E-01,0.797646E-05,0.907928E-03,0.268869E-03,-0.834586E-04,-0.260650E-04,13.9963,96.5110,0.508683
CH-CHA_201201172321.csv,2012-01-18,02:00,18.0833,0,36000,36000,0.201542E-02,1,0.434884E-03,0.307634,2,0.312718,0.338028,1,0.140250,0.755071E-02,1,0.313284E-02,-0.239782E-01,1,0.114171E-01,-0.403647E-03,1,0.158359E-03,-0.811660E-02,-0.374773E-01,-0.837150E-03,0.201798E-02,-0.176237E-03,-0.443145E-12,-0.399998E-12,-0.464799E-13,132.432,3.19392,3.20415,0.350000,0,0.119538,2.88294,2.89218,0.750000,0,0.138903E-01,0.334998,0.336072,0.500000E-01,0,280.101,279.817,96559.5,1.20075,1006.97,0.241173E-01,0.489286E-03,0.238643E-02,308.173,976.390,0.198744E-02,31.5625,668.217,264.081,0.475129,0.535403,0.432836E-01,0.717132,0.312455E-13,-0.334620E-14,0.717132,1.11270,137.683,48.4134,3.46028,-9999,0.409690E-01,0.199004E-01,-18.9922,-0.105833,0.910084,-0.621021E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.198522E-02,1.01521,0.318175,1.02138,0.287700,1.17493,0.642652E-02,1.17493,-0.204082E-01,1.17493,-0.343550E-03,1.17493,800009000,800109000,800009000,800009011,800009000,800009010,811119111,811119111,80111,80111,80,80,0,0,2,7,4,0,0,0.334172E-01,0.560342E-02,0.780165E-03,0.243920E-01,0.220203E-02,0.251152E-01,0.474695E-05,0.263144E-03,0.155487E-03,-0.493767E-03,-0.831204E-05,13.9980,96.5091,0.507835
CH-CHA_201201172321.csv,2012-01-18,02:30,18.1041,0,36000,36000,0.107304E-02,1,0.256180E-03,1.10958,1,0.268514,0.648344,1,0.145324,0.144803E-01,1,0.324572E-02,-0.161945E-01,1,0.547111E-02,-0.252812E-03,1,0.726333E-04,-0.243501,-0.907190E-01,-0.202615E-02,-0.190044E-03,0.583902E-04,-0.237207E-12,-0.216647E-12,-0.252989E-13,130.777,3.15225,3.16222,2.25000,0,0.119442,2.87903,2.88813,0.500000E-01,0,0.139478E-01,0.336199,0.337262,0.500000E-01,0,279.947,279.667,96559.5,1.20142,1006.95,0.241041E-01,0.938325E-03,0.235660E-02,304.157,966.338,0.196151E-02,31.4752,662.181,263.914,0.383884,0.438362,0.304461E-01,0.583486,-0.797215E-14,-0.181383E-14,0.583486,0.838212,138.082,48.7906,2.99103,-9999,0.298855E-01,0.139324E-01,-2.04391,-0.983409,1.71140,-0.306899E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.105491E-02,1.01719,1.11813,1.02255,0.551428,1.17575,0.123158E-01,1.17575,-0.137737E-01,1.17575,-0.215021E-03,1.17575,800009000,800109000,800009000,800009011,800009000,800009000,811119111,811119111,80000,80000,80,80,1,0,0,12,6,0,0,0.124445E-01,0.147939E-01,0.626331E-03,0.168910E-01,0.189508E-02,0.462700E-02,0.263771E-05,0.924252E-03,0.297799E-03,-0.333053E-03,-0.519926E-05,14.0000,96.5073,0.507347
CH-CHA_201201180200.csv,2012-01-18,03:00,18.1249,0,36000,36000,0.126254E-02,1,0.359222E-03,0.563705E-01,2,0.407803,0.496123,1,0.174313,0.110787E-01,1,0.389249E-02,-0.416328E-02,1,0.199083E-02,0.241609E-03,1,0.193323E-03,-0.292471,0.142612E-01,0.318461E-03,0.345785E-02,-0.135577E-04,-0.281215E-12,-0.262635E-12,-0.299056E-13,131.133,3.15880,3.16881,0.550000,0,0.122468,2.95009,2.95944,0.500000E-01,0,0.139452E-01,0.335920,0.336985,5.00000,0,279.767,279.487,96559.5,1.20219,1006.95,0.240886E-01,0.717898E-03,0.236301E-02,304.788,954.392,0.196559E-02,31.9353,649.604,263.940,0.266281E-02,0.489895,0.226210E-01,0.490424,0.102284E-13,-0.214451E-14,0.490424,1.08190,95.5401,89.6886,2.64373,-9999,0.324067E-01,0.517101E-01,-51.2970,-0.391836E-01,0.113622,-0.143693E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.123876E-02,1.01919,0.795065E-01,1.02381,0.421479,1.17710,0.941185E-02,1.17710,-0.353690E-02,1.17710,0.205258E-03,1.17710,800009000,800109000,800009000,800009011,800009000,801009001,811119111,811119111,80000,80000,80,81,0,0,1,2,8,0,0,0.319771E-01,0.706633E-01,0.779769E-03,0.352276E-01,0.309103E-02,0.750333E-03,0.618123E-05,0.656783E-04,0.227436E-03,-0.854687E-04,0.496003E-05,14.0000,96.5086,0.508569
CH-CHA_201201180200.csv,2012-01-18,03:30,18.1458,0,36000,36000,-0.376202E-02,2,0.160144E-03,-1.57458,1,0.713462,0.899230,1,0.192209,0.200744E-01,1,0.429089E-02,-0.107609E-02,1,0.458165E-03,0.194834E-02,1,0.386685E-03,-0.491716,-0.366921,-0.819116E-02,0.207452E-02,0.295113E-03,0.293072E-12,0.293269E-12,0.335123E-13,124.294,2.99067,2.99964,0.600000,0,0.124378,2.99267,3.00165,0.800000,0,0.142129E-01,0.341978,0.343004,0.250000,0,279.448,279.183,96559.5,1.20357,1006.85,0.240612E-01,0.130082E-02,0.223978E-02,288.580,934.624,0.186095E-02,30.8766,646.044,263.247,-0.815504E-01,-0.176103,0.251611E-02,0.194085,-0.141143E-12,0.235789E-14,0.194085,1.26242,297.982,245.152,0.742801,-9999,0.559080E-01,0.131825,9.42935,0.213164,-1.75103,0.232409E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.367564E-02,1.02350,-1.47877,1.03909,0.657997,1.36662,0.146892E-01,1.36662,-0.787410E-03,1.36662,0.142567E-02,1.36662,800009000,800109000,800009000,800009011,800009010,801019010,811119111,811119111,80111,80111,80,81,12,1,29,1,0,0,0,0.201857,0.606524E-01,0.114059E-02,0.682475E-01,0.214520E-02,0.186377E-03,0.134209E-04,-0.122029E-02,0.354498E-03,-0.190028E-04,0.344061E-04,14.0000,96.5078,0.507792
CH-CHA_201201180200.csv,2012-01-18,04:00,18.1666,0,36000,36000,-0.467910E-02,1,0.747386E-03,-3.34088,1,0.931913,-2.35866,1,0.434304,-0.526411E-01,1,0.969286E-02,0.114946E-01,1,0.443309E-02,0.325257E-02,1,0.494836E-03,-0.448580,-0.381035,-0.850399E-02,-0.143767E-02,0.246040E-03,-0.963290E-12,-0.101353E-11,-0.118696E-12,117.170,2.81629,2.82425,4.95000,0,0.123281,2.96319,2.97156,1.65000,0,0.144376E-01,0.347023,0.348003,1.10000,0,279.157,278.907,96559.5,1.20484,1006.75,0.240360E-01,-0.341114E-02,0.211140E-02,271.770,916.924,0.175242E-02,29.6393,645.154,262.489,-0.207758,0.143955,0.201506E-01,0.253559,0.791753E-13,-0.822132E-14,0.253559,1.01178,40.4189,145.282,4.55814,-9999,0.623183E-01,0.964433E-01,6.15455,0.326587,1.41643,0.441967E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.456390E-02,1.02524,-3.28767,1.04688,-1.62135,1.45475,-0.361856E-01,1.45475,0.790145E-02,1.45475,0.223583E-02,1.45475,800009000,800109000,800009000,800009011,800009000,800009010,811119111,811119111,80000,80000,80,81,1,1,0,0,0,0,0,0.580698E-01,0.133730,0.108690E-02,0.113994,0.840844E-02,0.214682E-02,0.230926E-04,-0.271040E-02,-0.872214E-03,0.190455E-03,0.538922E-04,14.0000,96.5083,0.508292
CH-CHA_201201180200.csv,2012-01-18,04:30,18.1874,0,36000,36000,-0.193615E-02,1,0.554538E-03,-0.628868,1,0.889578,0.405376,1,0.136046,0.904743E-02,1,0.303635E-02,0.360551E-01,1,0.153834E-01,0.468819E-03,1,0.215586E-03,0.338076E-01,0.140612,0.313826E-02,0.539995E-02,-0.205302E-03,0.427324E-12,0.455995E-12,0.508538E-13,119.836,2.88065,2.88897,4.05000,0,0.127876,3.07393,3.08281,2.40000,0,0.142611E-01,0.342813,0.343803,0.500000E-01,0,279.183,278.928,96559.5,1.20472,1006.79,0.240383E-01,0.586273E-03,0.215944E-02,277.974,918.247,0.179248E-02,30.2723,640.273,262.774,0.390955,0.697510E-01,0.125490E-01,0.397327,0.898585E-13,0.356591E-14,0.397327,0.791644,178.798,10.1158,1.80991,-9999,0.400891E-01,0.575599E-01,8.70428,0.230921,-1.55132,0.129332E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.189829E-02,1.01995,-0.589537,1.03774,0.294814,1.37502,0.657984E-02,1.37502,0.262215E-01,1.37502,0.340954E-03,1.37502,800009000,800109000,800009000,800009011,800009000,800119011,811119111,811119111,80000,80000,80,81,26,0,76,0,2,0,0,0.443872E-01,0.700128E-01,0.719931E-03,0.148486,0.216770E-02,0.403075E-01,0.343688E-04,-0.486054E-03,0.158625E-03,0.632139E-03,0.821963E-05,14.0000,96.5085,0.508472
CH-CHA_201201180200.csv,2012-01-18,05:00,18.2083,0,36000,36000,0.101584E-02,1,0.428091E-03,1.45197,1,0.665940,0.877116,1,0.190698,0.195680E-01,1,0.425437E-02,-0.151896E-02,2,0.830669E-02,-0.353391E-03,1,0.201946E-03,-0.700942,0.113012,0.252124E-02,-0.128163E-02,-0.890822E-04,0.215559E-12,0.224043E-12,0.250669E-13,122.170,2.93227,2.94090,0.550000,0,0.126979,3.04768,3.05665,5.00000,0,0.142069E-01,0.340989,0.341992,0.500000E-01,0,278.756,278.497,96559.5,1.20657,1006.81,0.240016E-01,0.126801E-02,0.220150E-02,282.951,891.183,0.182460E-02,31.7501,608.232,262.998,0.185720,0.414140,0.233439E-01,0.454477,-0.179264E-13,0.176442E-14,0.454477,0.940532,113.264,65.8462,2.94425,-9999,0.290160E-01,0.660283E-01,-1.42945,-1.40613,1.65539,-0.411928E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.995744E-03,1.02018,1.46154,1.02444,0.744665,1.17787,0.166131E-01,1.17787,-0.128959E-02,1.17787,-0.300026E-03,1.17787,800009000,800109000,800009000,800009011,800009000,801009000,811119111,811119111,80111,80111,80,81,0,2,9,2,3,0,0,0.635341E-01,0.677793E-01,0.743070E-03,0.121234,0.432788E-02,0.113807E-01,0.108824E-04,0.120313E-02,0.399911E-03,-0.310430E-04,-0.722225E-05,14.0000,96.5077,0.507708
CH-CHA_201201180200.csv,2012-01-18,05:30,18.2291,0,36000,36000,-0.421859E-02,1,0.824028E-03,-2.17179,1,0.508593,0.214348,1,0.130877,0.478115E-02,1,0.291928E-02,0.424567E-03,2,0.177160E-02,0.773529E-03,2,0.244631E-03,-0.297621,-0.187475,-0.418174E-02,-0.120907E-02,-0.108138E-03,-0.753288E-12,-0.799923E-12,-0.896460E-13,118.686,2.84671,2.85483,3.10000,0,0.126034,3.02294,3.03157,2.60000,0,0.141244E-01,0.338776,0.339743,1.95000,0,278.566,278.314,96559.5,1.20740,1006.76,0.239852E-01,0.309819E-03,0.213873E-02,274.702,879.915,0.177135E-02,31.2192,605.213,262.624,0.148330,0.130998,0.113512E-01,0.198220,-0.673676E-13,-0.634688E-14,0.198220,0.654905,137.985,41.4495,3.28289,-9999,0.591097E-01,0.700425E-01,8.07914,0.248789,-10.1321,0.302262E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.411849E-02,1.02430,-2.07776,1.04177,0.153641,1.39513,0.342704E-02,1.39513,0.304321E-03,1.39513,0.554451E-03,1.39513,800009000,800109000,800009000,800009011,800009000,810009000,811119111,811119111,80000,80000,80,81,17,5,90,0,2,0,0,0.110604,0.289080E-01,0.572625E-03,0.479363E-01,0.200405E-02,0.115493E-02,0.111356E-04,-0.170930E-02,0.824326E-04,0.732002E-05,0.133365E-04,13.9997,96.5085,0.508334
CH-CHA_201201180200.csv,2012-01-18,06:00,18.2499,0,36000,36000,-0.159151E-02,2,0.621842E-03,-0.261175,2,0.462317,-0.338872,2,0.119101,-0.755740E-02,2,0.265616E-02,-0.629395E-02,2,0.168810E-02,-0.293365E-03,1,0.109111E-03,-0.297482,-0.790327E-01,-0.176256E-02,0.902677E-03,0.402671E-04,0.168403E-12,0.182228E-12,0.203473E-13,117.262,2.81067,2.81859,4.75000,0,0.126888,3.04140,3.04997,3.45000,0,0.141682E-01,0.339600,0.340557,3.50000,0,278.380,278.132,96559.5,1.20821,1006.74,0.239691E-01,-0.489720E-03,0.211306E-02,271.227,868.784,0.174892E-02,31.2192,597.557,262.464,0.101238,0.150719,0.957472E-02,0.181816,-0.151542E-12,0.143613E-14,0.181816,0.807094,78.9633,56.1108,3.01868,-9999,0.362940E-01,0.834637E-01,15.5516,0.129247,0.770720,0.591615E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.155622E-02,1.02268,-0.267529,1.03443,-0.257826,1.31434,-0.574996E-02,1.31434,-0.478868E-02,1.31434,-0.223204E-03,1.31434,800009000,800109000,800009000,800009011,800009000,800009000,811119111,811119111,80110,80110,80,81,18,5,66,0,4,0,0,0.106173,0.602516E-01,0.503084E-03,0.637452E-01,0.227417E-02,0.762093E-03,0.422491E-05,-0.219945E-03,-0.138210E-03,-0.115104E-03,-0.536507E-05,14.0000,96.5077,0.507708
CH-CHA_201201180200.csv,2012-01-18,06:30,18.2707,0,36000,36000,0.106965E-02,1,0.247907E-03,0.490089,1,0.188934,0.350282,1,0.915280E-01,0.780955E-02,1,0.204062E-02,-0.166622E-02,1,0.195327E-02,-0.118836E-02,1,0.265045E-03,-0.511438,-0.323036E-01,-0.720210E-03,-0.836331E-03,0.163700E-04,0.253552E-13,0.274261E-13,0.308270E-14,116.780,2.79596,2.80380,3.70000,0,0.126319,3.02432,3.03280,4.55000,0,0.141982E-01,0.339934,0.340887,3.35000,0,278.064,277.818,96559.5,1.20958,1006.73,0.239420E-01,0.506059E-03,0.210438E-02,269.809,849.959,0.173977E-02,31.7438,580.150,262.398,-0.247815,0.164087,0.927264E-02,0.297360,-0.271629E-13,0.217119E-15,0.297360,0.602412,33.0301,146.490,1.78696,-9999,0.297375E-01,0.217480E-01,-4.55867,-0.440918,1.39913,-0.135340E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.104143E-02,1.02709,0.493700,1.02896,0.295810,1.18415,0.659508E-02,1.18415,-0.140711E-02,1.18415,-0.100356E-02,1.18415,800009000,800119000,800009000,800009011,800009000,810109000,811119111,811119111,80000,80000,80,81,6,7,13,6,7,0,0,0.236144E-01,0.195532E-01,0.328368E-03,0.179651E-01,0.213611E-02,0.202317E-02,0.285779E-04,0.405433E-03,0.158342E-03,-0.337833E-04,-0.240945E-04,14.0000,96.5082,0.508208
CH-CHA_201201180200.csv,2012-01-18,07:00,18.2916,0,36000,36000,0.623265E-02,1,0.553841E-03,-1.43883,1,1.12396,-0.730374,2,0.193743,-0.162859E-01,2,0.432008E-02,-0.109084,2,0.287949E-01,-0.503714E-03,2,0.215780E-03,0.227383,0.148308,0.330696E-02,0.969099E-02,-0.962994E-04,0.867468E-12,0.976167E-12,0.102382E-12,119.540,2.86354,2.87176,0.500000E-01,0,0.134520,3.22236,3.23161,5.00000,0,0.141086E-01,0.337966,0.338937,5.00000,0,278.210,277.957,96559.5,1.20894,1006.76,0.239545E-01,-0.105532E-02,0.215412E-02,276.325,858.287,0.178183E-02,32.1949,581.963,262.699,0.557225,0.253402,0.305006E-01,0.612897,-0.109523E-12,0.725669E-14,0.612897,1.14039,163.734,24.4540,2.85248,-9999,0.718016E-01,0.546595E-01,21.8574,0.919599E-01,1.97000,0.164643E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.614394E-02,1.01444,-1.43487,1.02720,-0.572056,1.27675,-0.127557E-01,1.27675,-0.854386E-01,1.27675,-0.394527E-03,1.27675,800009000,800109000,800009000,800009011,800019010,810019010,811119111,811119111,80111,80111,80,81,41,3,23,5,3,0,0,0.326155E-01,0.755232E-01,0.118030E-02,0.156506,0.196854E-02,0.682732E-01,0.457744E-05,-0.117891E-02,-0.306434E-03,-0.205251E-02,-0.947784E-05,13.9957,96.5108,0.508142
