file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,,custom_variables,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,h2o_strg,ch4_strg,n2o_strg,h2o_v-adv,ch4_v-adv,n2o_v-adv,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean,dummy_mean,cell_t_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--
not_enough_data,2018-11-26,15:00,330.624,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
CH-CHA_201811261457.csv,2018-11-26,15:30,330.6457,1,36000,36000,-0.178367E-01,1,0.292167E-02,-10.2808,1,2.10476,0.261936E-01,1,0.632435E-02,0.587147E-03,1,0.141765E-03,-0.796368E-02,1,0.141970E-02,-0.462957E-04,2,0.109445E-03,-9999,-9999,-9999,-9999,-9999,0.147243E-10,0.232902E-11,0.367392E-12,535.190,13.1171,13.2914,5.00000,0,0.846536E-01,2.07479,2.10237,5.00000,0,0.133538E-01,0.327290,0.331640,4.75000,0,284.652,283.471,96559.5,1.18087,1012.48,0.245092E-01,0.380471E-04,0.964413E-02,1261.64,1250.48,0.816700E-02,100.000,0.00000,283.564,-0.685725,0.717842E-01,-0.537736E-02,0.689493,-0.270507E-13,0.275123E-13,0.689493,1.73000,14.1378,174.024,-0.446855,-9999,0.122901,0.742883E-01,15.3686,0.130786,-392.493,0.699654E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.175680E-01,1.01529,-10.0232,1.02987,0.194550E-01,1.34637,0.436097E-03,1.34637,-0.591494E-02,1.34637,-0.343856E-04,1.34637,800009000,800019100,800009000,800009011,800009010,800019110,811119111,811119111,80111,80111,80,81,11,3,2,11,25,0,0,0.709670E-01,0.601740E-01,0.174355E-01,0.230781E-01,0.272284E-06,0.116112E-04,0.977097E-07,-0.838338E-02,0.108299E-04,-0.146890E-03,-0.853921E-06,21.9589,96.5146,0.499165,0.687529E+09,294.079
CH-CHA_201811261457.csv,2018-11-26,16:00,330.6665,1,36000,36000,-0.384839E-02,0,0.125477E-02,-1.60306,1,1.79244,0.875244E-02,1,0.240354E-02,0.196238E-03,1,0.538898E-04,0.243234E-02,0,0.107533E-02,0.118085E-03,0,0.455339E-04,0.394577,0.949843E-03,0.212964E-04,0.279226E-03,-0.161318E-04,-0.176042E-14,-0.279247E-15,-0.438769E-16,534.744,13.1175,13.2919,5.00000,0,0.848240E-01,2.08078,2.10844,1.40000,0,0.133280E-01,0.326944,0.331290,1.30000,0,284.900,283.718,96559.5,1.17984,1012.48,0.245305E-01,0.127162E-04,0.963608E-02,1261.69,1271.25,0.816728E-02,99.2480,9.55955,283.565,-0.423458,0.526166E-01,0.103617E-01,0.426840,-0.114505E-13,-0.329207E-17,0.426840,1.37775,18.2605,172.917,1.39101,-9999,0.571121E-01,0.737220E-01,9.89075,0.203220,-183.156,0.234969E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.377653E-02,1.01903,-1.55340,1.03604,0.621837E-02,1.40751,0.139422E-03,1.40751,0.172811E-02,1.40751,0.838964E-04,1.40751,800009000,800019100,800009000,800009011,800009000,800009100,811119111,811119111,80000,80000,80,80,2,0,1,8,199,0,0,0.513561E-01,0.856962E-01,0.103917E-01,0.568732E-01,0.143308E-06,0.193187E-04,0.776345E-07,-0.130038E-02,0.346537E-05,0.429527E-04,0.208527E-05,21.9589,96.5145,0.499054,0.690931E+09,294.100
CH-CHA_201811261457.csv,2018-11-26,16:30,330.6873,1,36000,36000,-0.150529E-01,1,0.269356E-02,-5.79345,1,3.29757,0.108593E-01,1,0.380459E-02,0.243756E-03,1,0.854005E-04,0.181977E-02,1,0.535940E-03,0.340501E-03,1,0.844904E-04,1.90715,-0.138483E-02,-0.310849E-04,-0.159773E-03,0.640465E-05,0.143362E-11,0.227044E-12,0.357487E-13,532.469,13.1169,13.2912,5.00000,0,0.843279E-01,2.07734,2.10495,5.00000,0,0.132776E-01,0.327082,0.331429,2.45000,0,286.102,284.916,96559.5,1.17488,1012.50,0.246341E-01,0.157954E-04,0.959509E-02,1261.62,1376.39,0.816687E-02,91.6618,114.765,283.564,-0.835150,-0.287657E-01,0.550664E-01,0.837457,-0.420593E-15,0.269240E-14,0.837457,2.14681,5.79432,181.973,3.77016,-9999,0.113191,0.936033E-01,21.3060,0.943394E-01,-533.502,0.430263E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.148498E-01,1.01367,-5.66449,1.02696,0.825790E-02,1.31502,0.185363E-03,1.31502,0.138383E-02,1.31502,0.258932E-03,1.31502,800009000,800019100,800009000,800009011,800009000,800019001,800119111,811119111,80111,80111,80,80,2,0,1,0,195,0,0,0.106494,0.648223E-01,0.158905E-01,0.141519,0.191601E-06,0.421496E-05,0.140934E-06,-0.476179E-02,0.462669E-05,0.345407E-04,0.646300E-05,21.9850,96.5112,0.505629,0.686310E+09,294.121
CH-CHA_201811261457.csv,2018-11-26,17:00,330.7082,1,36000,36000,-0.887148E-02,0,0.194227E-02,-1.21695,0,1.49555,0.431048E-02,1,0.361497E-02,0.968311E-04,1,0.812071E-04,-0.116865E-02,0,0.986039E-03,0.262183E-03,0,0.605722E-04,1.28431,-0.891793E-03,-0.200334E-04,-0.235934E-04,-0.424452E-05,-0.158432E-11,-0.250858E-12,-0.394969E-13,530.945,13.1164,13.2908,3.85000,0,0.840687E-01,2.07683,2.10443,2.45000,0,0.132363E-01,0.326990,0.331336,1.95000,0,286.914,285.724,96559.5,1.17156,1012.52,0.247040E-01,0.627465E-05,0.956762E-02,1261.58,1451.65,0.816660E-02,86.9067,190.069,283.564,-0.677617,0.194141,0.226633E-01,0.705244,-0.378756E-13,-0.298397E-14,0.705244,2.01316,26.1753,164.013,1.84154,-9999,0.870195E-01,0.109692,46.0878,0.436124E-01,-282.324,0.117894E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.876219E-02,1.01247,-1.19432,1.02303,0.340601E-02,1.26555,0.765130E-04,1.26555,-0.923434E-03,1.26555,0.207170E-03,1.26555,800009100,800019100,800009000,800009011,800009000,800009000,811119111,811119111,80111,80111,80,81,2,9,0,4,444,0,0,0.105033,0.941919E-01,0.201588E-01,0.305886E-01,0.175215E-06,0.114747E-04,0.851026E-07,-0.100683E-02,0.191520E-05,-0.231145E-04,0.518567E-05,21.9811,96.5131,0.505978,0.682126E+09,294.123
CH-CHA_201811261457.csv,2018-11-26,17:30,330.7290,0,36000,36000,-0.366296E-02,0,0.121682E-02,0.597910,1,0.713702,0.390317E-02,0,0.997067E-03,0.877309E-04,0,0.224109E-04,-0.524640E-02,0,0.352920E-02,0.686870E-04,0,0.316178E-04,0.932446,0.285289E-03,0.641239E-05,0.864404E-03,0.774916E-05,0.770570E-12,0.123108E-12,0.192198E-13,529.859,13.1166,13.2909,3.60000,0,0.846512E-01,2.09553,2.12338,5.00000,0,0.132159E-01,0.327158,0.331506,2.95000,0,287.505,286.312,96559.5,1.16915,1012.53,0.247548E-01,0.568496E-05,0.954806E-02,1261.59,1508.65,0.816668E-02,83.6238,247.060,283.564,-0.211903,0.118429,0.451833E-02,0.242794,-0.279066E-13,0.145429E-14,0.242794,1.07791,30.8358,150.800,1.06632,-9999,0.559734E-01,0.345401E-01,-24.9645,-0.805145E-01,153.185,-0.902354E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.355147E-02,1.03139,0.582090,1.03182,0.322645E-02,1.20974,0.725202E-04,1.20974,-0.433678E-02,1.20974,0.567781E-04,1.20974,800009000,800019100,800009000,800009011,800019100,800119110,811119111,811119111,80000,80000,80,81,5,6,0,19,354,0,0,0.411522E-01,0.212802E-01,0.664785E-02,0.121192E-01,0.904882E-07,0.218390E-03,0.636082E-07,0.491714E-03,0.181899E-05,-0.108778E-03,0.142414E-05,22.0000,96.5063,0.506292,0.683343E+09,294.129
CH-CHA_201811261457.csv,2018-11-26,18:00,330.7498,0,36000,36000,-0.185304E-02,0,0.678732E-03,-0.309766,2,3.00747,0.104035E-01,1,0.434997E-02,0.233805E-03,1,0.977593E-04,-0.216949E-02,2,0.322553E-02,0.237334E-03,0,0.646999E-04,-0.237853,0.261508E-02,0.587702E-04,0.260594E-02,0.341691E-04,0.730666E-12,0.119859E-12,0.182639E-13,530.188,13.1179,13.2922,5.00000,0,0.869726E-01,2.15187,2.18047,2.85000,0,0.132527E-01,0.327897,0.332255,1.90000,0,287.354,286.162,96559.5,1.16976,1012.53,0.247419E-01,0.151505E-04,0.955399E-02,1261.72,1493.94,0.816748E-02,84.4558,232.221,283.565,-0.133316,-0.293730,0.469694E-02,0.322603,0.308354E-13,0.137813E-14,0.322603,1.19147,304.317,245.588,0.834229,-9999,0.398010E-01,0.442967E-01,17.3244,0.116021,-29.7751,0.657108E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.182048E-02,1.01788,-0.301401,1.03044,0.780445E-02,1.33303,0.175394E-03,1.33303,-0.162750E-02,1.33303,0.178042E-03,1.33303,800009000,800009100,800009000,800009011,800009000,800119000,811119111,811119111,80000,80000,80,81,7,5,5,15,2,0,0,0.246540E-01,0.587644E-01,0.517510E-02,0.451175,0.481505E-06,0.869192E-03,0.214592E-06,-0.254473E-03,0.439703E-05,-0.408005E-04,0.446342E-05,21.9961,96.5079,0.506487,0.693431E+09,294.141
CH-CHA_201811261457.csv,2018-11-26,18:30,330.7707,0,36000,36000,-0.453229E-02,0,0.892270E-03,9.08009,1,7.02490,0.695511E-02,1,0.297409E-02,0.155945E-03,1,0.666840E-04,-0.151263E-02,2,0.223640E-02,0.220799E-03,0,0.479376E-04,-3.85819,0.870700E-03,0.195225E-04,-0.333824E-02,-0.479157E-04,0.179420E-11,0.284526E-12,0.447063E-13,534.713,13.1183,13.2927,5.00000,0,0.847951E-01,2.08030,2.10796,4.40000,0,0.133235E-01,0.326870,0.331215,1.50000,0,284.932,283.750,96559.5,1.17971,1012.49,0.245333E-01,0.101052E-04,0.963553E-02,1261.76,1273.95,0.816774E-02,99.0430,12.1919,283.566,0.296734,-0.613546,0.511611E-02,0.681554,0.383262E-13,0.335545E-14,0.681554,1.49910,251.471,295.810,0.430097,-9999,0.619829E-01,0.817318E-01,-2.23213,-0.900485,1305.53,-0.122647,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.446240E-02,1.01566,8.92530,1.02164,0.581987E-02,1.19506,0.130491E-03,1.19506,-0.126574E-02,1.19506,0.184759E-03,1.19506,800009000,800009100,800009000,800009011,800009000,800009100,811119111,811119111,80000,80000,80,81,1,8,2,4,0,0,0,0.608952E-01,0.938056E-01,0.876273E-02,1.36250,0.243126E-06,0.122963E-03,0.102487E-06,0.747240E-02,0.324376E-05,-0.314638E-04,0.459278E-05,21.9350,96.5293,0.504933,0.696618E+09,294.127
CH-CHA_201811261457.csv,2018-11-26,19:00,330.7915,0,35993,35993,-0.352723E-02,2,0.158799E-02,-5.47395,1,4.57243,-0.187842E-01,2,0.701108E-02,-0.419853E-03,2,0.156707E-03,-0.307787E-01,1,0.106911E-01,-0.138634E-03,2,0.670621E-04,-5.31272,-0.652520E-03,-0.145847E-04,0.421032E-03,-0.499285E-05,0.329500E-11,0.524777E-12,0.820773E-13,540.961,13.1180,13.2923,1.55000,0,0.861559E-01,2.08923,2.11700,5.00000,0,0.134751E-01,0.326764,0.331107,4.65000,0,281.634,280.466,96559.5,1.19352,1012.40,0.242494E-01,-0.272065E-04,0.974812E-02,1261.73,1020.51,0.816754E-02,100.000,0.00000,283.565,-0.359661,-0.694368,0.186842E-01,0.782210,0.632844E-13,0.609102E-14,0.782210,2.55364,306.375,242.617,1.36872,-9999,0.543628E-01,0.188390,2.49783,0.804697,291.412,0.833329E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.340298E-02,1.03651,-5.11773,1.07420,-0.100903E-01,1.86161,-0.225532E-03,1.86161,-0.165333E-01,1.86161,-0.744698E-04,1.86161,800009000,800019100,800009000,800009011,800009000,800109010,811119111,811119111,80111,80111,80,81,3,0,0,7,192,0,0,0.319404,0.476864E-01,0.968942E-02,0.633147,0.834054E-06,0.313501E-02,0.162326E-06,-0.423541E-02,-0.554142E-05,-0.406231E-03,-0.182975E-05,21.9472,96.5258,0.505989,0.693857E+09,294.099
CH-CHA_201811261900.csv,2018-11-26,19:30,330.8123,0,36000,36000,-0.887840E-02,0,0.150330E-02,-1.38187,1,0.609205,0.107272E-01,1,0.412978E-02,0.239497E-03,1,0.922018E-04,-0.256963E-02,2,0.135261E-02,0.482885E-04,2,0.508333E-04,-1.90259,-0.579252E-02,-0.129324E-03,-0.232624E-02,0.115742E-05,0.138221E-11,0.215011E-12,0.344402E-13,543.148,13.1152,13.2895,4.45000,0,0.844896E-01,2.04014,2.06726,3.05000,0,0.135334E-01,0.326788,0.331131,1.70000,0,280.442,279.279,96559.5,1.19859,998.665,0.241467E-01,0.155194E-04,0.978753E-02,1261.47,940.507,0.816584E-02,-9999,-9999,283.562,-0.511850,-0.971903,0.247064E-01,1.09872,0.306694E-13,0.254482E-14,1.09872,2.24664,303.803,242.227,1.28849,-9999,0.860659E-01,0.844464E-01,38.7304,0.518973E-01,-128.819,0.134136E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.877484E-02,1.01180,-1.35510,1.02366,0.839105E-02,1.27841,0.187339E-03,1.27841,-0.201002E-02,1.27841,0.377722E-04,1.27841,800009000,800019100,800009000,800009011,800009000,800019000,800119111,811119111,80111,80111,80,81,9,0,4,2,103,0,0,0.103386,0.528339E-01,0.126728E-01,0.121080E-01,0.371002E-06,0.500695E-04,0.270408E-06,-0.113208E-02,0.458351E-05,-0.491779E-04,0.924148E-06,21.9928,96.5084,0.505683,0.673365E+09,294.073
CH-CHA_201811261900.csv,2018-11-26,20:00,330.8331,0,36000,36000,-0.105093E-01,1,0.173762E-02,2.78260,1,0.437902,0.958888E-02,1,0.380268E-02,0.214074E-03,1,0.848955E-04,0.124994E-02,2,0.208473E-02,0.428358E-03,1,0.718619E-04,-0.648840E-01,-0.157841E-02,-0.352384E-04,-0.585394E-03,0.454751E-04,0.175249E-11,0.270974E-12,0.437968E-13,543.196,13.1145,13.2888,4.60000,0,0.839903E-01,2.02779,2.05474,5.00000,0,0.135751E-01,0.327748,0.332103,2.10000,0,280.401,279.238,96559.5,1.19877,998.686,0.241432E-01,0.138720E-04,0.978840E-02,1261.39,937.880,0.816538E-02,-9999,-9999,283.561,0.708362E-01,-0.547474,0.210951E-01,0.552441,-0.264838E-13,0.322625E-14,0.552441,1.57820,264.476,277.372,2.18839,-9999,0.936310E-01,0.733644E-01,-24.7653,-0.811619E-01,290.190,-0.248237E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.103257E-01,1.01778,2.73209,1.02292,0.801478E-02,1.19640,0.178932E-03,1.19640,0.104475E-02,1.19640,0.358039E-03,1.19640,800009000,800009100,800009000,800009011,800019000,800019010,810119111,811119111,80000,80000,80,81,16,6,1,73,2,0,0,0.783092E-01,0.592456E-01,0.917388E-02,0.113609E-01,0.291630E-06,0.824364E-04,0.152396E-06,0.228208E-02,0.437716E-05,0.255576E-04,0.875862E-05,21.9944,96.5067,0.504612,0.667482E+09,294.038
CH-CHA_201811261900.csv,2018-11-26,20:30,330.8540,0,36000,36000,-0.227707E-02,1,0.475662E-03,0.101548,2,0.170106,0.334026E-02,1,0.151081E-02,0.745546E-04,1,0.337213E-04,0.182157E-01,2,0.716365E-02,0.123543E-03,1,0.334262E-04,-0.390557,0.830101E-04,0.185279E-05,0.353491E-02,0.134706E-04,0.735640E-12,0.117925E-12,0.184004E-13,543.672,13.1145,13.2888,3.70000,0,0.871523E-01,2.10230,2.13024,0.500000E-01,0,0.135988E-01,0.328032,0.332391,2.30000,0,280.157,278.995,96559.5,1.19981,998.804,0.241222E-01,0.483114E-05,0.979696E-02,1261.40,922.216,0.816540E-02,-9999,-9999,283.561,0.353858,0.281715,0.205528E-01,0.452771,-0.684468E-13,0.135310E-14,0.452771,0.885438,150.736,38.5241,2.60174,-9999,0.435644E-01,0.298252E-01,-68.3610,-0.294028E-01,30.4014,-0.194512E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.223192E-02,1.02023,0.996982E-01,1.02447,0.278718E-02,1.19844,0.622100E-04,1.19844,0.151995E-01,1.19844,0.103087E-03,1.19844,800009000,800019100,800009000,800009011,800009000,800019100,811119111,811119111,80000,80000,80,81,1,3,0,13,102,0,0,0.151870E-01,0.415289E-01,0.293441E-02,0.372196E-02,0.175930E-06,0.219175E-02,0.115658E-06,0.831942E-04,0.152050E-05,0.371499E-03,0.251960E-05,21.9650,96.5145,0.501350,0.667616E+09,294.046
CH-CHA_201811261900.csv,2018-11-26,21:00,330.8748,0,36000,36000,-0.981007E-03,1,0.588299E-03,0.993251E-01,2,0.127188,-0.588480E-03,2,0.561908E-03,-0.131352E-04,2,0.125421E-04,0.332896E-02,1,0.203802E-02,0.141919E-03,1,0.362438E-04,0.348018E-01,-0.356085E-03,-0.794800E-05,-0.146109E-02,-0.655634E-04,0.331615E-11,0.523808E-12,0.825978E-13,543.623,13.1144,13.2886,0.300000,0,0.858689E-01,2.07150,2.09903,0.500000E-01,0,0.135404E-01,0.326649,0.330990,3.20000,0,280.179,279.017,96559.5,1.19972,998.794,0.241240E-01,-0.851159E-06,0.979608E-02,1261.38,923.602,0.816530E-02,-9999,-9999,283.561,0.154878,0.307772,0.134467E-01,0.344806,-0.506712E-13,0.610009E-14,0.344806,0.874986,115.302,63.2874,2.23497,-9999,0.285954E-01,0.335102E-01,-19.7656,-0.101692,-168.782,-0.289873E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.957653E-03,1.02439,0.970737E-01,1.02717,-0.489414E-03,1.20242,-0.109240E-04,1.20242,0.276855E-02,1.20242,0.118028E-03,1.20242,800009000,800119100,800009000,800009011,800009000,801019110,811119111,811119111,80111,80111,80,81,6,6,0,17,2,0,0,0.445896E-01,0.204319E-01,0.199891E-02,0.477021E-02,0.232183E-06,0.389952E-03,0.178469E-06,0.810113E-04,-0.267018E-06,0.676727E-04,0.288499E-05,21.9928,96.5044,0.501653,0.666340E+09,294.084
CH-CHA_201811261900.csv,2018-11-26,21:30,330.8956,0,36000,36000,-0.355710E-03,2,0.191409E-03,0.118694,1,0.206595,0.176419E-02,1,0.736601E-03,0.393678E-04,1,0.164372E-04,-0.313230E-02,1,0.140463E-02,0.840257E-04,1,0.230151E-04,-0.423182,0.105227E-02,0.234814E-04,0.415715E-03,0.500030E-05,-0.178485E-11,-0.283110E-12,-0.444692E-13,544.157,13.1149,13.2891,2.90000,0,0.863133E-01,2.08026,2.10790,2.20000,0,0.135576E-01,0.326755,0.331097,2.70000,0,279.914,278.753,96559.5,1.20085,998.921,0.241013E-01,0.255103E-05,0.980571E-02,1261.43,906.886,0.816561E-02,-9999,-9999,283.562,0.217175,0.340373,0.127487E-01,0.403957,0.964045E-13,-0.328002E-14,0.403957,1.12308,116.863,57.4601,1.80854,-9999,0.172109E-01,0.566560E-01,-3.60677,-0.557286,67.2793,-0.574915E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.348104E-03,1.02185,0.116309,1.02551,0.147025E-02,1.19993,0.328084E-04,1.19993,-0.261040E-02,1.19993,0.700254E-04,1.19993,800009100,800119100,800009000,800009011,800009000,810009110,801119111,811119111,80000,80000,80,81,8,19,5,15,367,0,0,0.764442E-01,0.343556E-01,0.251214E-02,0.425210E-02,0.127244E-06,0.182802E-03,0.912145E-07,0.969602E-04,0.801189E-06,-0.637466E-04,0.171004E-05,21.9817,96.5078,0.500973,0.670791E+09,294.114
CH-CHA_201811261900.csv,2018-11-26,22:00,330.9165,0,36000,36000,-0.291830E-02,0,0.698372E-03,0.774431,0,0.213926,-0.783887E-03,2,0.705033E-03,-0.174905E-04,2,0.157311E-04,-0.140987E-01,1,0.502842E-02,0.803526E-04,1,0.401400E-04,-0.177439,0.150807E-02,0.336489E-04,0.402557E-02,0.268265E-04,0.172125E-11,0.284128E-12,0.429564E-13,544.402,13.1156,13.2899,0.500000E-01,0,0.898650E-01,2.16500,2.19377,2.55000,0,0.135864E-01,0.327320,0.331670,2.75000,0,279.803,278.643,96559.5,1.20133,998.974,0.240917E-01,-0.113339E-05,0.981012E-02,1261.50,899.959,0.816605E-02,-9999,-9999,283.563,0.329372,0.276298,0.240917E-01,0.430589,-0.195467E-13,0.316172E-14,0.430589,0.937763,142.723,39.9920,3.20740,-9999,0.492872E-01,0.278853E-01,-12.9831,-0.154816,-987.937,-0.130928E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.285849E-02,1.02092,0.758729,1.02491,-0.653749E-03,1.19906,-0.145868E-04,1.19906,-0.117581E-01,1.19906,0.670128E-04,1.19906,800009100,800019100,800009000,800009011,800009000,800009100,811119111,811119111,80111,80111,80,80,0,19,0,50,503,0,0,0.279399E-01,0.234295E-01,0.440115E-02,0.387071E-02,0.117460E-06,0.950309E-03,0.159258E-06,0.632222E-03,-0.356073E-06,-0.287023E-03,0.163582E-05,21.9967,96.5022,0.500972,0.675690E+09,294.128
CH-CHA_201811261900.csv,2018-11-26,22:30,330.9373,0,36000,36000,-0.312976E-02,1,0.427738E-03,-0.484128,2,1.02760,0.233989E-02,1,0.113492E-02,0.521893E-04,1,0.253135E-04,0.443251E-02,1,0.577987E-02,0.290924E-03,1,0.528343E-04,-0.636181,0.226169E-03,0.504451E-05,0.119894E-02,0.353039E-05,-0.289341E-12,-0.483174E-13,-0.722253E-14,545.180,13.1157,13.2900,2.10000,0,0.910402E-01,2.19020,2.21931,3.85000,0,0.136088E-01,0.327394,0.331745,2.35000,0,279.406,278.247,96559.5,1.20304,999.165,0.240575E-01,0.338187E-05,0.982414E-02,1261.51,875.547,0.816612E-02,-9999,-9999,283.563,0.563940,0.217551,0.181811E-01,0.604721,0.673736E-13,-0.530726E-15,0.604721,1.12379,166.188,21.0951,1.72287,-9999,0.510054E-01,0.336791E-01,23.0213,0.873104E-01,-206.902,0.789639E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.308572E-02,1.01427,-0.473411,1.02669,0.179125E-02,1.30629,0.399522E-04,1.30629,0.339319E-02,1.30629,0.222709E-03,1.30629,800009100,800019100,800009000,800009011,800009100,800009100,811119111,811119111,80000,80000,80,81,1,1,0,4,548,0,0,0.202887E-01,0.431867E-01,0.388282E-02,0.518930E-01,0.807976E-07,0.178981E-02,0.173448E-06,-0.393842E-03,0.973874E-06,0.827124E-04,0.542876E-05,21.9967,96.5026,0.501334,0.676942E+09,294.136
