file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,h2o_strg,ch4_strg,n2o_strg,h2o_v-adv,ch4_v-adv,n2o_v-adv,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--
CH-CHA_201312312000.csv,2013-12-31,20:30,365.854,0,36000,36000,-0.471785E-01,1,0.787933E-02,17.6791,1,4.25673,41.2180,1,5.49523,0.912769,1,0.121692,0.187967E-01,1,0.168651E-01,0.139074E-02,2,0.450688E-03,-9999,-9999,-9999,-9999,-9999,-0.319796E-11,-0.162602E-11,-0.198669E-12,226.071,5.25088,5.27859,2.00000,1,0.114947,2.66983,2.68075,1.15000,1,0.140444E-01,0.326205,0.327540,1.25000,1,284.934,270.702,96898.0,1.24457,1007.95,0.232267E-01,0.591474E-01,0.407380E-02,508.936,509.201,0.327327E-02,99.9480,0.264784,270.660,0.387506,0.227282,0.345800E-01,0.450571,0.130605E-12,-0.141458E-13,0.450571,2.23696,133.835,30.3926,4.40161,-9999,0.194699,0.381852,-35.5669,-0.565132E-01,0.428917,0.723827E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.462400E-01,1.02030,19.1812,1.02451,32.3875,1.27265,0.717221,1.27265,0.180352E-01,1.04223,0.136251E-02,1.02072,800009000,800109000,800009000,800009011,800009000,800019011,811119111,811119111,80000,80000,80,81,0,3,3,2,1,0,0,0.678207,0.805810E-01,0.491641E-02,0.274002,0.131814,0.416311E-02,0.289663E-05,0.152903E-01,0.167466E-01,0.421110E-03,0.318136E-04,14.0000,96.5085,0.508500
CH-CHA_201312312000.csv,2013-12-31,21:00,365.875,0,36000,36000,-0.698905E-02,2,0.207927E-02,-3.42238,1,1.00632,5.20447,1,0.902185,0.115174,1,0.199651E-01,0.356736E-01,2,0.176278E-01,0.531371E-03,1,0.182774E-03,-1.22756,-0.632518,-0.139974E-01,0.859105E-02,-0.404547E-04,-0.220762E-11,-0.126025E-11,-0.144418E-12,214.722,4.97425,4.99912,2.00000,1,0.122577,2.83961,2.85261,1.15000,1,0.140467E-01,0.325406,0.326895,1.25000,1,284.398,269.973,96890.0,1.24795,1007.80,0.231660E-01,0.746325E-02,0.386929E-02,482.085,482.331,0.310051E-02,99.9490,0.245989,269.931,0.575816,0.214879,0.312692E-01,0.615398,-0.104400E-12,-0.102813E-13,0.615398,2.23696,157.597,20.4642,2.91253,-9999,0.748359E-01,0.229959,10.4320,0.192677,-0.657584,-0.363618E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.687077E-02,1.01722,-3.11299,1.03377,3.47440,1.49795,0.768875E-01,1.49795,0.287460E-01,1.24099,0.441886E-03,1.20251,800009000,800109000,800009000,800009011,800009001,800019001,811119111,811119111,80111,80111,80,81,0,0,4,11,5,0,0,0.379115,0.788149E-01,0.198910E-02,0.112353,0.271920E-01,0.258412E-01,0.271488E-05,-0.247518E-02,0.179008E-02,0.669261E-03,0.102879E-04,13.9983,96.5092,0.508154
CH-CHA_201312312000.csv,2013-12-31,21:30,365.896,0,36000,36000,-0.108038E-01,1,0.265725E-02,-6.26247,1,1.75045,-0.364282,2,0.596667,-0.806040E-02,2,0.132024E-01,0.863972E-01,1,0.215518E-01,0.290401E-03,1,0.141770E-03,-0.229103,-0.113767,-0.251732E-02,-0.717134E-02,0.771191E-04,0.155996E-11,0.854637E-12,0.103563E-12,212.663,4.92453,4.94890,2.00000,1,0.116509,2.69795,2.71076,1.15000,1,0.141183E-01,0.326929,0.328481,1.25000,1,284.302,269.837,96881.0,1.24849,1007.77,0.231565E-01,-0.522314E-03,0.383218E-02,477.221,477.460,0.306945E-02,99.9500,0.238730,269.795,-0.194637,0.412040,0.244274E-01,0.456352,-0.239268E-12,0.733537E-14,0.456352,1.46178,70.7683,115.285,3.06836,-9999,0.930241E-01,0.276535,10.9489,0.183580,17.1913,-0.535062E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.106106E-01,1.01821,-6.07778,1.03452,-0.253075,1.43942,-0.559977E-02,1.43942,0.693131E-01,1.24648,0.238507E-03,1.21758,800009000,800109000,800009000,800009011,800009000,810009010,811119111,811119111,80100,80100,80,81,6,0,3,17,3,0,0,0.219105,0.331236,0.272881E-02,0.112670,0.135527E-01,0.122326E-01,0.743191E-06,-0.483057E-02,-0.130313E-03,0.161300E-02,0.555033E-05,14.0000,96.5081,0.508111
CH-CHA_201312312000.csv,2013-12-31,22:00,365.917,0,36000,36000,-0.355232E-01,1,0.306440E-02,-2.47676,1,1.08903,-1.49463,2,0.505256,-0.330706E-01,2,0.111794E-01,-0.242402,1,0.423249E-01,-0.235093E-03,2,0.258988E-03,-0.488599E-01,-0.248437E-01,-0.549697E-03,0.646210E-02,0.842495E-04,-0.489075E-11,-0.281240E-11,-0.327061E-12,212.225,4.91367,4.93793,2.00000,1,0.122039,2.82558,2.83781,1.15000,1,0.141922E-01,0.328593,0.330015,1.25000,1,284.173,269.808,96885.0,1.24868,1007.77,0.231531E-01,-0.214297E-02,0.382430E-02,476.188,476.427,0.306267E-02,99.9500,0.238213,269.766,-0.301526,0.115748,0.342450E-01,0.324789,-0.389904E-12,-0.230451E-13,0.324789,2.25750,47.2714,158.999,6.05238,-9999,0.168667,0.534569,165.026,0.121799E-01,1.65711,-0.116692E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.349584E-01,1.01616,-2.49610,1.02270,-1.20911,1.23614,-0.267532E-01,1.23614,-0.217845,1.11273,-0.214845E-03,1.09424,800009000,800009000,800009000,800009011,800009000,800009000,811119111,811119111,80000,80000,80,81,1,6,2,4,0,0,0,0.192887,0.872143,0.410672E-02,0.724541E-01,0.337798E-02,0.315887E-01,0.138587E-05,-0.198359E-02,-0.622477E-03,-0.506869E-02,-0.499889E-05,14.0000,96.5087,0.508681
CH-CHA_201312312000.csv,2013-12-31,22:30,365.937,0,36000,36000,0.903087E-02,1,0.136651E-02,-5.17895,1,2.21061,-4.71930,1,1.20466,-0.104398,1,0.266489E-01,0.102899,1,0.337449E-01,0.789079E-03,2,0.330611E-03,-0.387850,-0.192474,-0.425780E-02,0.716268E-02,0.454883E-04,-0.120081E-11,-0.737679E-12,-0.819224E-13,208.783,4.82965,4.85308,2.00000,1,0.128259,2.96693,2.97850,1.15000,1,0.142437E-01,0.329491,0.330776,1.25000,1,283.769,269.578,96889.0,1.24984,1007.71,0.231324E-01,-0.676498E-02,0.376227E-02,468.065,468.304,0.301021E-02,99.9490,0.238835,269.536,0.288313,0.397532E-01,0.696250E-02,0.291124,-0.229831E-12,-0.575148E-14,0.291124,1.23118,180.099,7.85055,1.37041,-9999,0.850037E-01,0.146102,10.1023,0.198965,1.09740,-0.483741E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.884636E-02,1.02086,-5.19845,1.03743,-3.41245,1.38297,-0.754884E-01,1.38297,0.818146E-01,1.25771,0.636891E-03,1.23896,800009000,800109000,800009000,800009011,800009001,810019001,811109111,811119111,80100,80100,80,81,0,0,2,2,0,0,0,0.825557E-01,0.207365,0.228410E-02,0.232554,0.274306E-01,0.409516E-01,0.405688E-05,-0.412746E-02,-0.175470E-02,0.190175E-02,0.148043E-04,14.0000,96.5083,0.508306
CH-CHA_201312312000.csv,2013-12-31,23:00,365.958,0,36000,36000,0.577527E-02,1,0.962899E-03,0.139420,1,0.509575,0.649569,1,0.466042,0.143634E-01,1,0.103052E-01,-0.828480E-02,1,0.199318E-01,-0.119679E-03,1,0.215156E-03,-0.750032,-0.364371,-0.805705E-02,-0.700791E-03,-0.925509E-05,-0.221636E-12,-0.140127E-12,-0.156257E-13,202.282,4.67093,4.69285,2.00000,1,0.127890,2.95313,2.96483,1.15000,1,0.142612E-01,0.329309,0.330614,1.25000,1,283.865,269.134,96902.0,1.25214,1007.63,0.230912E-01,0.930749E-03,0.364513E-02,452.744,452.971,0.291111E-02,99.9500,0.226485,269.092,0.148901,0.660872,0.175443E-01,0.677666,-0.445716E-13,-0.109568E-14,0.677666,1.50576,106.089,77.3027,1.48351,-9999,0.679140E-01,0.778522E-01,-191.394,-0.105019E-01,0.214635,0.162710E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.568593E-02,1.01571,0.163086,1.02167,0.453852,1.43124,0.100357E-01,1.43124,-0.769357E-02,1.07685,-0.114660E-03,1.04378,800009000,800109000,800009000,800009011,800009000,800109001,811119111,811119111,80000,80000,80,80,0,0,2,2,1,0,0,0.753695E-01,0.786365E-01,0.169841E-02,0.679838E-01,0.864476E-02,0.232221E-01,0.268052E-05,0.129260E-03,0.232823E-03,-0.178487E-03,-0.266006E-05,13.9983,96.5099,0.508890
CH-CHA_201312312000.csv,2013-12-31,23:30,365.979,0,36000,36000,-0.477338E-02,1,0.732384E-03,-0.302353,1,1.44178,1.31841,1,0.772943,0.291566E-01,1,0.170937E-01,-0.536243E-01,2,0.188248E-01,-0.570922E-03,1,0.241359E-03,0.231347,0.109134,0.241351E-02,-0.225321E-02,0.226605E-04,0.160266E-12,0.987964E-13,0.112003E-13,204.267,4.71849,4.74086,2.00000,1,0.125921,2.90872,2.91966,1.15000,1,0.142754E-01,0.329755,0.330995,1.25000,1,283.625,269.271,96916.0,1.25166,1007.65,0.230996E-01,0.188935E-02,0.368090E-02,457.420,457.654,0.294080E-02,99.9490,0.233403,269.229,0.611889E-01,0.700194E-01,0.340250E-02,0.930504E-01,-0.168786E-12,0.784590E-15,0.930504E-01,0.841724,135.430,48.8503,2.09556,-9999,0.617546E-01,0.939379E-01,66.3618,0.302885E-01,-0.229332,-0.388193E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.460761E-02,1.03598,-0.224293,1.03309,1.18295,1.11451,0.261611E-01,1.11451,-0.496620E-01,1.07979,-0.531296E-03,1.07458,800009000,800109000,800009000,800009011,800009000,800119100,811119111,811119111,80111,80111,80,81,0,0,1,2,0,0,0,0.555338E-01,0.131416,0.926113E-03,0.153232,0.312929E-01,0.342979E-01,0.661153E-05,-0.177835E-03,0.607175E-03,-0.115261E-02,-0.123309E-04,14.0000,96.5080,0.508028
CH-CHA_201312312000.csv,2014-01-01,00:00,1.000,0,36000,36000,-0.137782E-01,1,0.230304E-02,-1.58828,2,4.44308,1.82644,1,1.41086,0.403762E-01,1,0.311892E-01,0.802900E-01,1,0.173666E-01,0.639020E-03,2,0.442649E-03,-0.690121,-0.330454,-0.730519E-02,-0.430096E-02,-0.124080E-04,0.931050E-12,0.574758E-12,0.670617E-13,198.381,4.57478,4.59581,2.00000,1,0.122465,2.82411,2.83430,1.15000,1,0.142890E-01,0.329511,0.330699,1.25000,1,283.198,268.863,96933.0,1.25385,1007.57,0.230605E-01,0.261638E-02,0.357483E-02,443.566,443.833,0.285108E-02,99.9400,0.266300,268.820,-0.149858E-01,0.449200E-01,0.798028E-02,0.480215E-01,-0.248433E-13,0.469324E-14,0.480215E-01,0.968814,69.7778,108.449,9.56587,-9999,0.104827,0.984634E-01,61.7969,0.325259E-01,-0.869603,-0.119931E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.129985E-01,1.05999,-1.42768,1.04516,1.62228,1.12585,0.358630E-01,1.12585,0.725015E-01,1.10743,0.578473E-03,1.10467,800009000,800109000,800009000,800009011,800009000,800009010,811109111,811119111,80111,80111,80,81,0,0,0,2,4,0,0,0.778488E-01,0.116278,0.279980E-02,0.356832,0.191084E-01,0.517590E-02,0.380063E-05,-0.113008E-02,0.830823E-03,0.167961E-02,0.134012E-04,13.9960,96.5110,0.508531
CH-CHA_201312312000.csv,2014-01-01,00:30,1.020,0,36000,36000,-0.380480E-01,1,0.509806E-02,-9.25772,1,9.18404,7.71049,1,5.42974,0.170403,1,0.119998,0.233918,2,0.107767,0.491058E-02,1,0.175164E-02,-0.519962,-0.243884,-0.538988E-02,0.126373E-01,0.161436E-03,-0.287925E-11,-0.197951E-11,-0.214344E-12,194.047,4.46889,4.48895,2.00000,1,0.133409,3.07239,3.08324,1.15000,1,0.144457E-01,0.332683,0.333857,1.25000,1,283.129,268.556,96951.0,1.25557,1007.50,0.230299E-01,0.110421E-01,0.349673E-02,433.380,433.679,0.278498E-02,99.9310,0.299238,268.512,-0.139007E-01,0.210578E-01,0.183528E-01,0.312007E-01,0.117783E-12,-0.148379E-13,0.312007E-01,1.20142,20.4661,123.430,36.0306,-9999,0.174079,0.186704,48.5565,0.413951E-01,-1.20067,-0.420409E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.350925E-01,1.08422,-8.37195,1.05769,6.77836,1.13752,0.149803,1.13752,0.207863,1.12535,0.437070E-02,1.12352,800009000,800109000,800009000,800009011,800009000,800019000,811119111,811119111,80000,80000,80,81,4,0,4,1,0,0,0,0.452987E-01,0.309881,0.182288E-01,0.244688,0.421764E-01,0.302864E-01,0.786920E-05,-0.661817E-02,0.346543E-02,0.480856E-02,0.101109E-03,14.0000,96.5078,0.507792
CH-CHA_201312312000.csv,2014-01-01,01:00,1.041,0,36000,36000,-0.520870E-02,1,0.182720E-02,-5.17242,1,2.24492,2.70596,2,0.811648,0.598054E-01,2,0.179386E-01,0.735203E-01,1,0.123166E-01,0.757667E-03,1,0.699486E-03,0.103298,0.470446E-01,0.103975E-02,-0.931116E-02,-0.243885E-04,0.595363E-12,0.383188E-12,0.440561E-13,194.902,4.48932,4.50957,2.00000,1,0.125443,2.88943,2.89972,1.15000,1,0.144225E-01,0.332203,0.333387,1.25000,1,283.001,268.617,96957.0,1.25535,1007.52,0.230337E-01,0.387539E-02,0.351213E-02,435.388,435.680,0.279773E-02,99.9330,0.291905,268.573,0.271623,0.100767,0.287208E-02,0.289726,-0.200901E-13,0.305468E-14,0.289726,0.925473,167.928,20.3540,0.567988,-9999,0.644142E-01,0.803346E-01,4.40341,0.456464,-1.91149,-0.634882E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.506722E-02,1.02792,-4.81009,1.05385,1.81105,1.49414,0.400267E-01,1.49414,0.540818E-01,1.35943,0.565741E-03,1.33925,800009000,800109000,800009000,800009011,800009000,800019000,811119111,811119111,80111,80111,80,81,0,0,3,3,0,0,0,0.998314E-01,0.590675E-01,0.177039E-02,0.219813,0.143312E-01,0.550499E-02,0.166737E-04,-0.380307E-02,0.926122E-03,0.125133E-02,0.130899E-04,13.9983,96.5097,0.508682
CH-CHA_201312312000.csv,2014-01-01,01:30,1.062,0,36000,36000,0.151642E-01,1,0.171429E-02,-1.90743,1,0.348158,0.705426,1,0.857394,0.155969E-01,1,0.189569E-01,-0.164946E-01,2,0.203001E-01,0.331811E-03,1,0.142223E-03,0.689934,0.321859,0.711627E-02,0.100922E-01,-0.574905E-04,-0.105395E-11,-0.703041E-12,-0.753740E-13,200.691,4.62936,4.65089,2.00000,1,0.133872,3.08802,3.09931,1.15000,1,0.143526E-01,0.331072,0.332283,1.25000,1,283.121,269.025,96964.0,1.25347,1007.60,0.230671E-01,0.101068E-02,0.361646E-02,449.001,449.275,0.288515E-02,99.9390,0.274058,268.982,0.887309,0.532962,0.448283E-01,1.03604,-0.329428E-13,-0.525159E-14,1.03604,2.07128,159.297,30.9911,2.47991,-9999,0.109990,0.138851,59.4539,0.338077E-01,-2.70393,-0.137307E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.149957E-01,1.01123,-1.84265,1.02206,0.454122,1.55338,0.100406E-01,1.55338,-0.142423E-01,1.15814,0.301938E-03,1.09894,800009000,800009000,800009000,800009011,800009000,800009010,811119111,811119111,80011,80011,80,80,4,0,5,3,1,0,0,0.108129,0.165272,0.430142E-02,0.589096E-01,0.137258E-01,0.135527E-01,0.106012E-05,-0.145895E-02,0.232685E-03,-0.330057E-03,0.699721E-05,14.0000,96.5079,0.507903
CH-CHA_201312312000.csv,2014-01-01,02:00,1.083,0,36000,36000,-0.643941E-02,2,0.228678E-02,-3.86301,1,0.558427,1.40032,1,0.540398,0.309693E-01,1,0.119513E-01,0.131314E-01,2,0.195264E-01,0.330748E-03,1,0.128794E-03,0.478147,0.226169,0.500191E-02,-0.301109E-02,-0.323742E-04,-0.802647E-12,-0.514184E-12,-0.560975E-13,204.783,4.72787,4.75033,2.00000,1,0.131186,3.02872,3.04011,1.15000,1,0.143124E-01,0.330435,0.331677,1.25000,1,283.114,269.308,96981.0,1.25233,1007.66,0.230873E-01,0.200681E-02,0.369018E-02,458.636,458.926,0.294666E-02,99.9370,0.289123,269.264,0.564599,0.529058,0.369336E-01,0.774621,-0.174158E-12,-0.391950E-14,0.774621,1.82967,136.357,43.1387,2.73287,-9999,0.717074E-01,0.259669,8.13585,0.247055,-2.75865,-0.426903E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.632006E-02,1.01888,-3.67506,1.03819,0.885681,1.58107,0.195876E-01,1.58107,0.104523E-01,1.25631,0.273874E-03,1.20766,800009000,800009000,800009000,800009011,800009000,800009000,801119111,811119111,80111,80111,80,81,5,2,1,1,2,0,0,0.279973,0.234411,0.495408E-02,0.359740E-01,0.666586E-02,0.164989E-01,0.146475E-05,-0.291229E-02,0.454372E-03,0.242462E-03,0.635304E-05,13.9980,96.5097,0.508460
CH-CHA_201401010200.csv,2014-01-01,02:30,1.104,0,36000,36000,-0.203193E-01,1,0.416315E-02,-1.73995,1,1.10686,-0.501101,2,1.07063,-0.110841E-01,2,0.236816E-01,-0.340280E-01,1,0.200912E-01,0.501184E-03,1,0.157885E-03,0.290474,0.139485,0.308533E-02,-0.473849E-02,0.583981E-05,-0.322252E-11,-0.197534E-11,-0.222443E-12,207.320,4.78866,4.81171,2.00000,1,0.127083,2.93535,2.94614,1.15000,1,0.143108E-01,0.330550,0.331764,1.25000,1,283.194,269.480,96998.0,1.25172,1007.69,0.230980E-01,-0.718248E-03,0.373590E-02,464.615,464.880,0.298462E-02,99.9430,0.264982,269.437,0.430333,0.114279,0.301056E-01,0.446265,0.245612E-13,-0.155437E-13,0.446265,2.07099,182.392,14.8721,3.86818,-9999,0.127409,0.399131,101.335,0.198352E-01,3.47224,-0.108268E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.200396E-01,1.01396,-1.72736,1.02214,-0.387306,1.29381,-0.856698E-02,1.29381,-0.302834E-01,1.12365,0.456383E-03,1.09817,800009000,800009000,800009000,800009011,800009010,801009110,811119111,811119111,80000,80000,80,81,6,0,2,6,0,0,0,0.419597,0.374163,0.450159E-02,0.543361E-01,0.156578E-01,0.971305E-02,0.838378E-06,-0.136946E-02,-0.198832E-03,-0.702852E-03,0.105923E-04,14.0000,96.5081,0.508097
CH-CHA_201401010200.csv,2014-01-01,03:00,1.124,0,36000,36000,-0.214566E-02,2,0.146233E-02,-5.00825,0,0.652059,-0.717507,1,0.663393,-0.158705E-01,1,0.146735E-01,-0.585121E-01,1,0.147174E-01,-0.193326E-04,2,0.100432E-03,-0.422357E-01,-0.231780E-01,-0.512672E-03,0.660030E-02,-0.147452E-04,0.169970E-11,0.109032E-11,0.117471E-12,206.959,4.77857,4.80151,2.00000,1,0.132760,3.06536,3.07695,1.15000,1,0.143035E-01,0.330259,0.331509,1.25000,1,283.418,269.455,97025.0,1.25219,1007.68,0.230894E-01,-0.102841E-02,0.372941E-02,463.765,464.011,0.297831E-02,99.9470,0.245926,269.413,0.607425,0.446109,0.356122E-01,0.754484,-0.976546E-13,0.821274E-14,0.754484,2.69616,151.918,36.2946,2.70541,-9999,0.413948E-01,0.511084,1.20762,1.66443,6.98007,-0.958839E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.202416E-02,1.06003,-4.49795,1.12044,-0.365298,1.96417,-0.807999E-02,1.96417,-0.372989E-01,1.56873,-0.128072E-04,1.50951,800009000,800009000,800009000,800009011,800009011,800109011,810119111,811119111,80011,80011,80,81,0,0,1,1,0,0,0,0.332396,0.682306,0.746475E-02,0.575966E-01,0.123006E-01,0.125120E-01,0.838232E-06,-0.356467E-02,-0.187458E-03,-0.865346E-03,-0.297130E-06,13.9983,96.5095,0.508446
CH-CHA_201401010200.csv,2014-01-01,03:30,1.145,0,36000,36000,0.906449E-02,1,0.239834E-02,-2.49743,1,0.507646,-1.02646,2,0.492649,-0.227098E-01,2,0.108996E-01,0.348813E-01,1,0.810870E-02,0.324956E-03,1,0.110691E-03,0.450764,0.218025,0.482369E-02,-0.849823E-02,0.548790E-05,0.122147E-11,0.726278E-12,0.827990E-13,210.927,4.87365,4.89752,2.00000,1,0.125416,2.89785,2.90901,1.15000,1,0.142980E-01,0.330367,0.331640,1.25000,1,283.363,269.722,97052.0,1.25125,1007.74,0.231058E-01,-0.147160E-02,0.380090E-02,473.124,473.375,0.303768E-02,99.9470,0.250889,269.680,0.494285,0.706563,0.395783E-01,0.863200,-0.124000E-12,0.579095E-14,0.863200,2.63000,126.097,55.0248,2.62797,-9999,0.851137E-01,0.221641,21.0562,0.954589E-01,2.43305,-0.232702E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.894185E-02,1.01372,-2.47480,1.02718,-0.682334,1.50433,-0.150963E-01,1.50433,0.298379E-01,1.16903,0.290449E-03,1.11880,800009000,800009000,800009000,800009011,800009000,800109001,801119111,811119111,80011,80011,80,81,0,0,2,0,2,0,0,0.264579,0.173024,0.567994E-02,0.595399E-01,0.703292E-02,0.305381E-02,0.114541E-05,-0.196266E-02,-0.350521E-03,0.692807E-03,0.674395E-05,13.9960,96.5109,0.508406
CH-CHA_201401010200.csv,2014-01-01,04:00,1.166,0,36000,36000,-0.849986E-02,1,0.135274E-02,-2.04632,1,0.596752,0.699502,2,0.625171,0.154822E-01,2,0.138371E-01,0.494663E-01,1,0.245527E-01,0.327017E-03,1,0.141908E-03,0.706179,0.357106,0.790391E-02,0.563676E-02,0.118687E-04,0.750269E-12,0.448864E-12,0.493147E-13,217.306,5.02971,5.05514,2.00000,1,0.130008,3.00915,3.02129,1.15000,1,0.142834E-01,0.330602,0.331936,1.25000,1,283.534,270.141,97035.0,1.24902,1007.83,0.231458E-01,0.100325E-02,0.391585E-02,488.189,488.409,0.313514E-02,99.9550,0.219784,270.100,0.474043,0.225151E-01,0.330521E-01,0.475727,-0.201790E-12,0.345259E-14,0.475727,1.85981,180.291,2.71927,3.98395,-9999,0.824938E-01,0.255627,23.3950,0.859157E-01,-2.92540,-0.197059E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.837336E-02,1.01511,-1.96610,1.02697,0.509564,1.37275,0.112783E-01,1.37275,0.418439E-01,1.18216,0.283470E-03,1.15362,800009000,800009000,800009000,800009011,800009000,800009000,811119111,811119111,80011,80011,80,81,3,0,2,9,3,0,0,0.827402E-01,0.423193,0.532090E-02,0.165344E-01,0.852457E-02,0.249264E-01,0.101550E-05,-0.156189E-02,0.262365E-03,0.973407E-03,0.659432E-05,13.9970,96.5103,0.508433
